ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
129,2012,2012-12-16,14,29.147,STL,,MIN,L 22-36,*,13,73,5.62,0,10,8,73,9.13,0,80.0%,7.30,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
130,2012,2012-12-23,15,29.154,STL,@,TAM,W 28-13,*,19,81,4.26,1,2,1,-4,-4.00,0,50.0%,-2.00,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
131,2012,2012-12-30,16,29.161,STL,@,SEA,L 13-20,*,11,52,4.73,0,7,7,45,6.43,0,100.0%,6.43,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
132,2013,2013-09-08,1,30.048,ATL,@,NOR,L 17-23,*,11,77,7.00,0,8,5,45,9.00,0,62.5%,5.63,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
133,2013,2013-09-15,2,30.055,ATL,,STL,W 31-24,*,3,0,0.00,0,2,1,8,8.00,1,50.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
134,2013,2013-10-27,7,30.097,ATL,@,ARI,L 13-27,*,11,6,0.55,0,5,3,7,2.33,0,60.0%,1.40,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,1,0
135,2013,2013-11-03,8,30.104,ATL,@,CAR,L 10-34,*,13,57,4.38,0,4,3,19,6.33,0,75.0%,4.75,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
136,2013,2013-11-10,9,30.111,ATL,,SEA,L 10-33,*,9,11,1.22,0,5,3,9,3.00,0,60.0%,1.80,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
137,2013,2013-11-17,10,30.118,ATL,@,TAM,L 28-41,*,11,41,3.73,0,2,2,24,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
138,2013,2013-11-21,11,30.122,ATL,,NOR,L 13-17,*,16,63,3.94,1,4,3,16,5.33,0,75.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
139,2013,2013-12-01,12,30.132,ATL,@,BUF,W 34-31,*,23,84,3.65,2,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0
140,2013,2013-12-08,13,30.139,ATL,@,GNB,L 21-22,*,16,72,4.50,0,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
141,2013,2013-12-15,14,30.146,ATL,,WAS,W 27-26,*,15,38,2.53,2,6,4,5,1.25,0,66.7%,0.83,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0
142,2013,2013-12-23,15,30.154,ATL,@,SFO,L 24-34,*,16,53,3.31,1,2,2,-4,-2.00,0,100.0%,-2.00,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
143,2013,2013-12-29,16,30.160,ATL,,CAR,L 20-21,*,13,41,3.15,0,7,5,53,10.60,0,71.4%,7.57,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
144,2014,2014-09-07,1,31.047,ATL,,NOR,W 37-34,*,12,52,4.33,0,3,1,0,0.00,0,33.3%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
145,2014,2014-09-14,2,31.054,ATL,@,CIN,L 10-24,*,11,46,4.18,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
146,2014,2014-09-18,3,31.058,ATL,,TAM,W 56-14,*,14,54,3.86,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
147,2014,2014-09-28,4,31.068,ATL,@,MIN,L 28-41,*,13,49,3.77,0,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
148,2014,2014-10-05,5,31.075,ATL,@,NYG,L 20-30,*,13,37,2.85,1,6,5,37,7.40,0,83.3%,6.17,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
149,2014,2014-10-12,6,31.082,ATL,,CHI,L 13-27,*,6,25,4.17,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
150,2014,2014-10-19,7,31.089,ATL,@,BAL,L 7-29,*,8,22,2.75,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
151,2014,2014-10-26,8,31.096,ATL,,DET,L 21-22,*,18,60,3.33,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
152,2014,2014-11-09,9,31.110,ATL,@,TAM,W 27-17,*,16,81,5.06,1,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
153,2014,2014-11-16,10,31.117,ATL,@,CAR,W 19-17,*,17,41,2.41,0,3,2,6,3.00,0,66.7%,2.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
154,2014,2014-11-23,11,31.124,ATL,,CLE,L 24-26,*,13,34,2.62,1,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
155,2014,2014-11-30,12,31.131,ATL,,ARI,W 29-18,*,18,101,5.61,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
156,2014,2014-12-08,13,31.139,ATL,@,GNB,L 37-43,*,16,50,3.13,1,2,2,26,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
157,2014,2014-12-14,14,31.145,ATL,,PIT,L 20-27,*,11,46,4.18,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
158,2014,2014-12-21,15,31.152,ATL,@,NOR,W 30-14,*,4,9,2.25,0,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
159,2015,2015-12-27,15,32.158,NWE,@,NYJ,L 20-26,,7,15,2.14,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
160,2015,2016-01-03,16,32.165,NWE,@,MIA,L 10-20,*,14,35,2.50,1,1,1,20,20.00,0,100.0%,20.00,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
