ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1970,1970-09-20,1,22.010,DAL,@,PHI,W 17-7,,,,,,,,,,,,,,,,,
2,1970,1970-09-27,2,22.017,DAL,,NYG,W 28-10,,,,,,,,,,,,,,,,,
3,1970,1970-10-04,3,22.024,DAL,@,STL,L 7-20,,,,,,,,,,,,,,,,,
4,1970,1970-10-11,4,22.031,DAL,,ATL,W 13-0,,,,,,,,,,,,,,,,,
5,1970,1970-10-18,5,22.038,DAL,@,MIN,L 13-54,,,,,,,,,,,,,,,,,
6,1970,1970-10-25,6,22.045,DAL,@,KAN,W 27-16,,,,,,,,,,,,,,,,,
7,1970,1970-11-01,7,22.052,DAL,,PHI,W 21-17,0,0,,0,0,0,,0,0,0,,0,0,0,1,20,0
8,1970,1970-11-08,8,22.059,DAL,@,NYG,L 20-23,,,,,,,,,,,,,,,,,
9,1970,1970-11-16,9,22.067,DAL,,STL,L 0-38,,,,,,,,,,,,,,,,,
10,1970,1970-11-22,10,22.073,DAL,@,WAS,W 45-21,,,,,,,,,,,,,,,,,
11,1970,1970-11-26,11,22.077,DAL,,GNB,W 16-3,0,0,,0,1,6,6.00,0,0,0,,0,0,0,1,0,0
12,1970,1970-12-06,12,22.087,DAL,,WAS,W 34-0,,,,,,,,,,,,,,,,,
13,1970,1970-12-12,13,22.093,DAL,@,CLE,W 6-2,0,0,,0,0,0,,0,0,0,,0,0,0,1,8,0
14,1970,1970-12-20,14,22.101,DAL,,HOU,W 52-10,0,0,,0,0,0,,0,0,0,,0,0,0,2,17,0
15,1971,1971-09-19,1,23.009,DAL,@,BUF,W 49-37,0,0,,0,0,0,,0,1,42,42.00,0,0,0,1,7,0
16,1971,1971-09-26,2,23.016,DAL,@,PHI,W 42-7,0,0,,0,0,0,,0,0,0,,0,0,0,1,30,0
17,1971,1971-10-03,3,23.023,DAL,,WAS,L 16-20,0,0,,0,1,18,18.00,0,0,0,,0,0,0,0,0,0
18,1971,1971-10-11,4,23.031,DAL,,NYG,W 20-13,,,,,,,,,,,,,,,,,
19,1971,1971-10-17,5,23.037,DAL,@,NOR,L 14-24,0,0,,0,0,0,,0,3,9,3.00,0,0,0,0,0,0
20,1971,1971-10-24,6,23.044,DAL,,NWE,W 44-21,0,0,,0,0,0,,0,1,6,6.00,0,0,0,0,0,0
21,1971,1971-10-31,7,23.051,DAL,@,CHI,L 19-23,,,,,,,,,,,,,,,,,
22,1971,1971-11-07,8,23.058,DAL,@,STL,W 16-13,0,0,,0,0,0,,0,1,24,24.00,0,0,0,0,0,0
