ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2012,2012-09-09,1,22.086,KAN,,ATL,L 24-40,,,,,,,,,,,0.0%,
2,2012,2012-09-16,2,22.093,KAN,@,BUF,L 17-35,,,,,,,,,,,0.0%,
3,2012,2012-09-23,3,22.100,KAN,@,NOR,W 27-24,*,,,,,,,,,,0.0%,
4,2012,2012-09-30,4,22.107,KAN,,SDG,L 20-37,,0,0,,0,1,0,0,,0,0.0%,0.00
5,2012,2012-10-07,5,22.114,KAN,,BAL,L 6-9,,,,,,,,,,,0.0%,
6,2012,2012-10-14,6,22.121,KAN,@,TAM,L 10-38,,5,18,3.60,0,2,1,19,19.00,0,50.0%,9.50
7,2012,2012-10-28,7,22.135,KAN,,OAK,L 16-26,,0,0,,0,0,0,0,,0,0.0%,
8,2012,2012-11-12,9,22.150,KAN,@,PIT,L 13-16,,,,,,,,,,,0.0%,
9,2012,2012-11-18,10,22.156,KAN,,CIN,L 6-28,,,,,,,,,,,0.0%,
10,2012,2012-11-25,11,22.163,KAN,,DEN,L 9-17,*,,,,,,,,,,0.0%,
11,2012,2012-12-02,12,22.170,KAN,,CAR,W 27-21,,,,,,,,,,,0.0%,
