ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-09-09,1,22.270,STL,@,DET,L 23-27,,0,0,,0,0,0,0,,0,0.0%,,1,25,25.00,0,,0,0,0.0,0,0
2,2012,2012-09-16,2,22.277,STL,,WAS,W 31-28,*,0,0,,0,0,0,0,,0,0.0%,,1,12,12.00,0,,0,0,0.0,0,0
3,2012,2012-09-23,3,22.284,STL,@,CHI,L 6-23,,0,0,,0,1,1,4,4.00,0,100.0%,4.00,1,24,24.00,0,,0,0,0.0,0,0
4,2012,2012-10-04,5,22.295,STL,,ARI,W 17-3,,,,,,,,,,,0.0%,,,,,,,,,,,
5,2012,2012-10-14,6,22.305,STL,@,MIA,L 14-17,,0,0,,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,,0,0,0.0,0,0
6,2012,2012-10-21,7,22.312,STL,,GNB,L 20-30,,1,1,1.00,0,0,0,0,,0,0.0%,,1,32,32.00,0,,0,0,0.0,0,0
7,2012,2012-10-28,8,22.319,STL,,NWE,L 7-45,,3,32,10.67,0,0,0,0,,0,0.0%,,2,39,19.50,0,,0,0,0.0,0,0
8,2012,2012-11-11,9,22.333,STL,@,SFO,T 24-24,,0,0,,0,1,1,9,9.00,0,100.0%,9.00,4,80,20.00,0,,0,0,0.0,0,0
9,2012,2012-11-18,10,22.340,STL,,NYJ,L 13-27,,,,,,,,,,,0.0%,,,,,,,,,,,
10,2012,2012-11-25,11,22.347,STL,@,ARI,W 31-17,,,,,,,,,,,0.0%,,,,,,,,,,,
11,2012,2012-12-02,12,22.354,STL,,SFO,W 16-13,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
12,2012,2012-12-09,13,22.361,STL,@,BUF,W 15-12,,,,,,,,,,,0.0%,,,,,,,,,,,
13,2012,2012-12-16,14,23.002,STL,,MIN,L 22-36,,,,,,,,,,,0.0%,,,,,,,,,,,
14,2012,2012-12-23,15,23.009,STL,@,TAM,W 28-13,,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
15,2012,2012-12-30,16,23.016,STL,@,SEA,L 13-20,,5,21,4.20,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
16,2013,2013-09-15,2,23.275,STL,@,ATL,L 24-31,,1,1,1.00,0,4,2,18,9.00,0,50.0%,4.50,0,0,,0,,0,0,0.0,0,0
17,2013,2013-09-22,3,23.282,STL,@,DAL,L 7-31,,6,20,3.33,0,7,7,43,6.14,0,100.0%,6.14,0,0,,0,,0,0,0.0,0,0
18,2013,2013-10-06,5,23.296,STL,,JAX,W 34-20,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
19,2013,2013-11-10,10,23.331,STL,@,IND,W 38-8,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,1
20,2013,2013-11-24,11,23.345,STL,,CHI,W 42-21,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,1,0,2,0.0,0,0
21,2013,2013-12-01,12,23.352,STL,@,SFO,L 13-23,,0,0,,0,3,2,17,8.50,0,66.7%,5.67,0,0,,0,,0,0,0.0,0,0
22,2013,2013-12-08,13,23.359,STL,@,ARI,L 10-30,,0,0,,0,0,0,0,,0,0.0%,,1,31,31.00,0,,0,0,0.0,1,0
23,2013,2013-12-15,14,24.001,STL,,NOR,W 27-16,,0,0,,0,0,0,0,,0,0.0%,,2,53,26.50,0,,0,0,0.0,0,0
24,2013,2013-12-22,15,24.008,STL,,TAM,W 23-13,,,,,,,,,,,0.0%,,,,,,,,,,,
25,2013,2013-12-29,16,24.015,STL,@,SEA,L 9-27,,0,0,,0,0,0,0,,0,0.0%,,2,54,27.00,0,,0,0,0.0,1,0
26,2015,2015-09-13,1,25.273,STL,,SEA,W 34-31,,2,3,1.50,0,0,0,0,,0,0.0%,,3,63,21.00,0,,0,0,0.0,0,0
27,2015,2015-09-20,2,25.280,STL,@,WAS,L 10-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
28,2016,2016-09-25,3,26.286,MIA,,CLE,W 30-24,,5,17,3.40,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
29,2016,2016-09-29,4,26.290,MIA,@,CIN,L 7-22,,3,5,1.67,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,,0,0,0.0,0,0
30,2016,2016-10-09,5,26.300,MIA,,TEN,L 17-30,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
