ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1995,1995-09-03,1,23.250,JAX,,HOU,L 3-10,,6,25,4.17,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
2,1995,1995-09-17,3,23.264,JAX,@,NYJ,L 10-27,,20,54,2.70,0,2,1,18,18.00,0,50.0%,9.00,0,0,,0,0,0,,,,,,0,0
3,1995,1995-09-24,4,23.271,JAX,,GNB,L 14-24,,13,38,2.92,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
4,1995,1995-10-01,5,23.278,JAX,@,HOU,W 17-16,,11,23,2.09,0,4,2,47,23.50,0,50.0%,11.75,0,0,,0,0,0,,,,,,0,0
5,1995,1995-10-08,6,23.285,JAX,,PIT,W 20-16,,19,44,2.32,1,3,3,10,3.33,0,100.0%,3.33,0,0,,0,0,0,,,,,,1,6
6,1995,1995-10-15,7,23.292,JAX,,CHI,L 27-30,,17,97,5.71,0,4,3,13,4.33,1,75.0%,3.25,0,0,,0,0,0,,,,,,1,6
7,1995,1995-10-22,8,23.299,JAX,@,CLE,W 23-15,,8,11,1.38,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,,,,,0,0
8,1995,1995-10-29,9,23.306,JAX,@,PIT,L 7-24,,1,5,5.00,0,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,,,,,,0,0
9,1995,1995-11-12,10,23.320,JAX,,SEA,L 30-47,,3,19,6.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
10,1995,1995-11-19,11,23.327,JAX,@,TAM,L 16-17,,6,36,6.00,0,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,0,0
11,1995,1995-11-26,12,23.334,JAX,,CIN,L 13-17,,5,30,6.00,0,2,2,28,14.00,0,100.0%,14.00,0,0,,0,0,0,,,,,,0,0
12,1995,1995-12-03,13,23.341,JAX,@,DEN,L 23-31,,7,39,5.57,0,3,3,31,10.33,0,100.0%,10.33,0,0,,0,0,0,,,,,,0,0
13,1995,1995-12-10,14,23.348,JAX,,IND,L 31-41,,19,92,4.84,1,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0,,,,,,1,6
14,1995,1995-12-24,16,23.362,JAX,,CLE,W 24-21,,2,12,6.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0
15,1996,1996-09-01,1,24.249,JAX,,PIT,W 24-9,,25,77,3.08,1,5,3,21,7.00,0,60.0%,4.20,0,0,,0,0,0,,,,,,1,6
16,1996,1996-09-08,2,24.256,JAX,,HOU,L 27-34,,17,58,3.41,1,3,3,37,12.33,0,100.0%,12.33,0,0,,0,0,0,,,,,,1,6
17,1996,1996-09-15,3,24.263,JAX,@,OAK,L 3-17,,8,51,6.38,0,4,2,12,6.00,0,50.0%,3.00,0,0,,0,0,0,,,,,,0,0
18,1996,1996-09-22,4,24.270,JAX,@,NWE,L 25-28,,9,5,0.56,0,4,1,20,20.00,0,25.0%,5.00,0,0,,0,0,0,,,,,,0,0
19,1996,1996-09-29,5,24.277,JAX,,CAR,W 24-14,,21,96,4.57,2,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,2,12
20,1996,1996-10-06,6,24.284,JAX,@,NOR,L 13-17,,24,79,3.29,0,4,4,31,7.75,1,100.0%,7.75,0,0,,0,0,0,,,,,,1,6
21,1996,1996-10-13,7,24.291,JAX,,NYJ,W 21-17,,12,55,4.58,0,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0,,,,,,0,0
22,1996,1996-10-20,8,24.298,JAX,@,STL,L 14-17,,29,112,3.86,2,4,4,18,4.50,0,100.0%,4.50,0,0,,0,0,0,,,,,,2,12
23,1996,1996-10-27,9,24.305,JAX,@,CIN,L 21-28,,14,80,5.71,0,2,2,5,2.50,0,100.0%,2.50,0,0,,0,0,0,,,,,,0,0
24,1996,1996-11-10,10,24.319,JAX,,BAL,W 30-27,,9,23,2.56,1,3,3,19,6.33,1,100.0%,6.33,0,0,,0,0,0,,,,,,2,12
25,1996,1996-11-17,11,24.326,JAX,@,PIT,L 3-28,,14,62,4.43,0,6,5,4,0.80,0,83.3%,0.67,0,0,,0,0,0,,,,,,0,0
26,1996,1996-11-24,12,24.333,JAX,@,BAL,W 28-25,,7,18,2.57,1,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,1,6
27,1996,1996-12-15,15,24.354,JAX,,SEA,W 20-13,,1,7,7.00,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,,,,,0,0
28,1997,1997-08-31,1,25.247,JAX,@,BAL,W 28-27,,1,2,2.00,0,4,4,42,10.50,0,100.0%,10.50,0,0,,0,0,0,,,,,,0,0
29,1997,1997-09-07,2,25.254,JAX,,NYG,W 40-13,,9,24,2.67,2,4,4,13,3.25,0,100.0%,3.25,0,0,,0,0,0,,,,,,2,12
30,1997,1997-09-22,3,25.269,JAX,,PIT,W 30-21,,2,0,0.00,0,2,2,35,17.50,0,100.0%,17.50,0,0,,0,0,0,,,,,,0,0
31,1997,1997-09-28,4,25.275,JAX,@,WAS,L 12-24,,2,4,2.00,0,4,3,16,5.33,0,75.0%,4.00,0,0,,0,0,0,,,,,,0,0
32,1997,1997-10-05,5,25.282,JAX,,CIN,W 21-13,,13,58,4.46,0,3,3,38,12.67,1,100.0%,12.67,0,0,,0,0,0,,,,,,1,6
33,1997,1997-10-12,6,25.289,JAX,,PHI,W 38-21,,15,102,6.80,5,3,2,7,3.50,0,66.7%,2.33,0,0,,0,0,0,,,,,,5,30
34,1997,1997-10-19,7,25.296,JAX,@,DAL,L 22-26,,17,40,2.35,0,2,2,24,12.00,0,100.0%,12.00,0,0,,0,0,0,,,,,,0,0
35,1997,1997-10-26,8,25.303,JAX,@,PIT,L 17-23,,16,39,2.44,0,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,,,,,0,0
36,1997,1997-11-02,9,25.310,JAX,@,TEN,W 30-24,,17,99,5.82,0,3,2,44,22.00,0,66.7%,14.67,0,0,,0,0,0,,,,,,0,0
37,1997,1997-11-09,10,25.317,JAX,,KAN,W 24-10,,10,54,5.40,1,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,1,6
38,1997,1997-11-16,11,25.324,JAX,,TEN,W 17-9,,7,12,1.71,0,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0,,,,,,0,0
