ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1962,1962-09-30,3,22.056,RAM,,DAL,L 17-27,,3,5,60.00,67,1,0,143.7,0,0,13.40,17.40,0,0,,0,0,0,,0,0,0
2,1962,1962-10-21,6,22.077,RAM,,MIN,L 14-38,,1,3,33.33,11,0,0,45.1,0,0,3.67,3.67,2,3,1.50,0,0,0,,0,0,0
3,1962,1962-11-25,11,22.112,RAM,@,MIN,T 24-24,*,15,24,62.50,268,2,0,128.5,0,0,11.17,12.83,2,1,0.50,0,0,0,,0,0,0
4,1962,1962-12-02,12,22.119,RAM,@,GNB,L 10-41,*,18,26,69.23,139,0,1,66.0,0,0,5.35,3.62,4,36,9.00,0,0,0,,0,0,0
5,1962,1962-12-09,13,22.126,RAM,@,CHI,L 14-30,*,10,23,43.48,105,0,1,39.2,0,0,4.57,2.61,6,27,4.50,0,0,0,,0,0,0
6,1962,1962-12-16,14,22.133,RAM,,GNB,L 17-20,*,10,20,50.00,80,0,0,60.4,0,0,4.00,4.00,4,26,6.50,0,0,0,,0,0,0
7,1963,1963-09-14,1,23.040,RAM,,DET,L 2-23,,7,17,41.18,110,0,1,38.8,0,0,6.47,3.82,2,-4,-2.00,0,0,0,,0,0,0
8,1963,1963-09-29,3,23.055,RAM,@,CLE,L 6-20,,6,10,60.00,65,0,1,39.6,0,0,6.50,2.00,1,8,8.00,0,0,0,,0,0,0
9,1963,1963-10-06,4,23.062,RAM,@,GNB,L 10-42,,3,13,23.08,72,0,0,50.2,0,0,5.54,5.54,0,0,,0,0,0,,0,0,0
10,1963,1963-10-20,6,23.076,RAM,,MIN,W 27-24,*,12,26,46.15,202,1,1,69.7,0,0,7.77,6.81,5,9,1.80,1,0,0,,0,1,6
11,1963,1963-10-27,7,23.083,RAM,,SFO,W 28-21,*,15,25,60.00,251,2,0,120.6,0,0,10.04,11.64,3,29,9.67,1,0,0,,0,1,6
12,1963,1963-11-03,8,23.090,RAM,@,MIN,L 13-21,*,16,36,44.44,194,0,1,50.0,0,0,5.39,4.14,4,29,7.25,0,0,0,,0,0,0
13,1963,1963-11-10,9,23.097,RAM,@,CHI,L 0-6,*,7,23,30.43,66,0,0,39.9,0,0,2.87,2.87,7,13,1.86,0,0,0,,0,0,0
14,1963,1963-11-17,10,23.104,RAM,@,DET,W 28-21,*,17,31,54.84,289,3,1,105.4,0,0,9.32,9.81,2,4,2.00,0,0,0,,0,0,0
15,1963,1963-11-24,11,23.111,RAM,,BAL,W 17-16,*,10,21,47.62,110,0,1,43.8,0,0,5.24,3.10,5,3,0.60,0,0,0,,0,0,0
16,1963,1963-12-01,12,23.118,RAM,@,SFO,W 21-17,*,10,23,43.48,206,0,1,57.5,0,0,8.96,7.00,2,6,3.00,0,0,0,,0,0,0
17,1963,1963-12-07,13,23.124,RAM,,GNB,L 14-31,*,10,20,50.00,135,0,3,32.3,0,0,6.75,0.00,4,5,1.25,1,0,0,,0,1,6
18,1963,1963-12-15,14,23.132,RAM,@,BAL,L 16-19,*,17,36,47.22,247,2,1,77.0,0,0,6.86,6.72,4,30,7.50,0,0,0,,0,0,0
19,1964,1964-10-11,5,24.067,RAM,@,CHI,L 17-38,,14,33,42.42,260,1,1,67.7,0,0,7.88,7.12,2,-1,-0.50,1,0,0,,0,1,6
20,1964,1964-10-18,6,24.074,RAM,,SFO,W 42-14,*,8,22,36.36,170,4,1,85.2,0,0,7.73,9.32,2,-5,-2.50,0,0,0,,0,0,0
21,1964,1964-10-25,7,24.081,RAM,@,GNB,W 27-17,*,9,16,56.25,139,1,2,66.4,0,0,8.69,4.31,3,7,2.33,0,0,0,,0,0,0
22,1964,1964-11-01,8,24.088,RAM,@,DET,L 17-37,*,14,24,58.33,273,1,0,112.0,0,0,11.38,12.21,0,0,,0,0,0,,0,0,0
23,1964,1964-11-08,9,24.095,RAM,,PHI,W 20-10,*,3,7,42.86,40,0,1,22.0,0,0,5.71,-0.71,0,0,,0,0,0,,0,0,0
24,1964,1964-11-15,10,24.102,RAM,,CHI,L 24-34,*,11,31,35.48,290,2,0,92.1,0,0,9.35,10.65,2,0,0.00,0,0,0,,0,0,0
25,1964,1964-11-22,11,24.109,RAM,,BAL,L 7-24,*,6,10,60.00,64,0,0,78.7,0,0,6.40,6.40,2,4,2.00,0,0,0,,0,0,0
26,1965,1965-10-03,3,25.059,RAM,,MIN,L 35-38,,5,10,50.00,87,1,0,113.3,0,0,8.70,10.70,1,0,0.00,0,0,0,,0,0,0
27,1965,1965-10-10,4,25.066,RAM,@,CHI,L 6-31,,8,19,42.11,88,0,0,56.5,0,0,4.63,4.63,0,0,,0,0,0,,0,0,0
28,1965,1965-11-21,10,25.108,RAM,@,SFO,L 27-30,,7,24,29.17,119,1,1,44.3,0,0,4.96,3.92,1,3,3.00,1,0,0,,0,1,6
