ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2006,2006-09-10,1,21.192,NOR,@,CLE,W 19-14,,15,67,4.47,0,9,7,52,7.43,0,77.8%,5.78,0,0,,0,0,0,,0,,,,0,0,,0,3,22,7.33,0,,0,0,0.0,,
2,2006,2006-09-17,2,21.199,NOR,@,GNB,W 34-27,*,6,5,0.83,0,9,8,68,8.50,0,88.9%,7.56,0,0,,0,0,0,,0,,,,0,0,,0,4,36,9.00,0,,0,0,0.0,,
3,2006,2006-09-25,3,21.207,NOR,,ATL,W 23-3,,13,53,4.08,0,5,4,19,4.75,0,80.0%,3.80,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,
4,2006,2006-10-01,4,21.213,NOR,@,CAR,L 18-21,,11,22,2.00,0,6,4,48,12.00,0,66.7%,8.00,0,0,,0,0,0,,0,,,,0,0,,0,2,-1,-0.50,0,,0,0,0.0,,
5,2006,2006-10-08,5,21.220,NOR,,TAM,W 24-21,,9,23,2.56,0,11,11,63,5.73,0,100.0%,5.73,0,0,,0,0,0,,0,,,,0,0,,0,3,75,25.00,1,,1,6,0.0,,
6,2006,2006-10-15,6,21.227,NOR,,PHI,W 27-24,,11,26,2.36,0,6,4,35,8.75,0,66.7%,5.83,0,0,,0,0,0,,0,,,,0,0,,0,3,29,9.67,0,,0,0,0.0,,
7,2006,2006-10-29,7,21.241,NOR,,BAL,L 22-35,,5,16,3.20,0,8,4,5,1.25,0,50.0%,0.63,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,0,0,,0,,0,0,0.0,,
8,2006,2006-11-05,8,21.248,NOR,@,TAM,W 31-14,*,11,-5,-0.45,0,6,4,22,5.50,0,66.7%,3.67,0,0,,0,0,0,,0,,,,0,0,,0,2,20,10.00,0,,0,0,0.0,,
9,2006,2006-11-12,9,21.255,NOR,@,PIT,L 31-38,,10,49,4.90,1,12,7,40,5.71,0,58.3%,3.33,0,0,,0,0,0,,0,,,,0,0,,0,1,7,7.00,0,,1,6,0.0,,
10,2006,2006-11-19,10,21.262,NOR,,CIN,L 16-31,*,13,51,3.92,0,11,8,58,7.25,0,72.7%,5.27,0,0,,0,0,0,,0,,,,0,0,,0,2,7,3.50,0,,0,0,0.0,,
11,2006,2006-11-26,11,21.269,NOR,@,ATL,W 31-13,,5,24,4.80,0,4,3,21,7.00,0,75.0%,5.25,0,0,,0,0,0,,0,,,,0,0,,0,1,-1,-1.00,0,,0,0,0.0,,
12,2006,2006-12-03,12,21.276,NOR,,SFO,W 34-10,*,10,37,3.70,3,9,9,131,14.56,1,100.0%,14.56,0,0,,0,0,0,,0,,,,0,0,,0,1,4,4.00,0,,4,24,0.0,,
13,2006,2006-12-10,13,21.283,NOR,@,DAL,W 42-17,*,6,37,6.17,0,9,6,125,20.83,1,66.7%,13.89,0,0,,0,0,0,,0,,,,0,0,,0,1,-2,-2.00,0,,1,6,0.0,,
14,2006,2006-12-17,14,21.290,NOR,,WAS,L 10-16,*,7,14,2.00,0,8,5,19,3.80,0,62.5%,2.38,0,0,,0,0,0,,0,,,,0,0,,0,2,13,6.50,0,,0,0,0.0,,
15,2006,2006-12-24,15,21.297,NOR,@,NYG,W 30-7,*,20,126,6.30,1,6,2,23,11.50,0,33.3%,3.83,0,0,,0,0,0,,0,,,,0,0,,0,3,7,2.33,0,,1,6,0.0,,
16,2006,2006-12-31,16,21.304,NOR,,CAR,L 21-31,*,3,20,6.67,1,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0.0,,
17,2007,2007-09-06,1,22.188,NOR,@,IND,L 10-41,,12,38,3.17,0,8,4,7,1.75,0,50.0%,0.88,0,0,,0,0,0,,,,,,0,0,,0,1,2,2.00,0,,0,0,0.0,,
18,2007,2007-09-16,2,22.198,NOR,@,TAM,L 14-31,*,10,27,2.70,0,8,6,43,7.17,0,75.0%,5.38,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,
19,2007,2007-09-24,3,22.206,NOR,,TEN,L 14-31,*,7,15,2.14,2,8,6,20,3.33,0,75.0%,2.50,0,0,,0,0,0,,,,,,0,0,,0,1,10,10.00,0,,2,12,0.0,,
20,2007,2007-10-07,4,22.219,NOR,,CAR,L 13-16,*,21,67,3.19,0,10,9,52,5.78,0,90.0%,5.20,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,
21,2007,2007-10-14,5,22.226,NOR,@,SEA,W 28-17,*,19,97,5.11,0,8,6,44,7.33,0,75.0%,5.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,
22,2007,2007-10-21,6,22.233,NOR,,ATL,W 22-16,*,17,54,3.18,0,6,5,19,3.80,1,83.3%,3.17,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,
23,2007,2007-10-28,7,22.240,NOR,@,SFO,W 31-10,*,10,64,6.40,0,7,7,49,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,
24,2007,2007-11-04,8,22.247,NOR,,JAX,W 41-24,*,17,72,4.24,1,9,7,43,6.14,1,77.8%,4.78,0,0,,0,0,0,,,,,,0,0,,0,1,0,0.00,0,,2,12,0.0,,
25,2007,2007-11-11,9,22.254,NOR,,STL,L 29-37,*,7,17,2.43,1,6,5,27,5.40,0,83.3%,4.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,
26,2007,2007-11-18,10,22.261,NOR,@,HOU,L 10-23,*,15,34,2.27,0,16,12,70,5.83,0,75.0%,4.38,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,
27,2007,2007-11-25,11,22.268,NOR,@,CAR,W 31-6,,9,32,3.56,0,5,3,30,10.00,0,60.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,
28,2007,2007-12-02,12,22.275,NOR,,TAM,L 23-27,*,13,64,4.92,0,7,3,13,4.33,0,42.9%,1.86,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,
29,2008,2008-09-07,1,23.189,NOR,,TAM,W 24-20,*,14,51,3.64,0,9,8,112,14.00,1,88.9%,12.44,0,0,,0,0,0,,,,,,0,0,,0,1,0,0.00,0,,1,6,0.0,0,0
30,2008,2008-09-14,2,23.196,NOR,@,WAS,L 24-29,*,10,28,2.80,0,9,7,63,9.00,0,77.8%,7.00,0,0,,0,0,0,,,,,,0,0,,0,1,55,55.00,1,,1,6,0.0,0,0
31,2008,2008-09-21,3,23.203,NOR,@,DEN,L 32-34,*,18,73,4.06,1,14,11,75,6.82,1,78.6%,5.36,0,0,,0,0,0,,,,,,0,0,,0,2,30,15.00,0,,2,12,0.0,0,0
32,2008,2008-09-28,4,23.210,NOR,,SFO,W 31-17,*,10,31,3.10,0,8,5,7,1.40,0,62.5%,0.88,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
33,2008,2008-10-06,5,23.218,NOR,,MIN,L 27-30,*,12,29,2.42,0,9,7,64,9.14,0,77.8%,7.11,0,0,,0,0,0,,,,,,0,0,,0,5,176,35.20,2,,2,12,0.0,0,0
34,2008,2008-10-12,6,23.224,NOR,,OAK,W 34-3,*,14,27,1.93,1,6,3,40,13.33,1,50.0%,6.67,0,0,,0,0,0,,,,,,0,0,,0,1,8,8.00,0,,2,12,0.0,0,0
35,2008,2008-10-19,7,23.231,NOR,@,CAR,L 7-30,*,9,55,6.11,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,0,0,,0,3,16,5.33,0,,0,0,0.0,0,0
36,2008,2008-11-30,12,23.273,NOR,@,TAM,L 20-23,*,3,0,0.00,0,10,5,32,6.40,0,50.0%,3.20,0,0,,0,0,0,,,,,,0,0,,0,2,-16,-8.00,0,,0,0,0.0,0,0
