ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1969,1969-09-28,3,24.275,CIN,,KAN,W 24-19,0,0,,0,1,0,0.00,0,0,0,0
2,1970,1970-09-20,1,25.267,CIN,,OAK,W 31-21,,,,,,,,,,,
3,1970,1970-09-27,2,25.274,CIN,@,DET,L 3-38,,,,,,,,,,,
4,1970,1970-10-04,3,25.281,CIN,,HOU,L 13-20,,,,,,,,,,,
5,1970,1970-10-11,4,25.288,CIN,@,CLE,L 27-30,,,,,,,,,,,
6,1970,1970-10-18,5,25.295,CIN,,KAN,L 19-27,,,,,,,,,,,
7,1970,1970-10-25,6,25.302,CIN,@,WAS,L 0-20,,,,,,,,,,,
8,1970,1970-11-02,7,25.310,CIN,@,PIT,L 10-21,,,,,,,,,,,
9,1970,1970-11-08,8,25.316,CIN,@,BUF,W 43-14,,,,,,,,,,,
10,1970,1970-11-15,9,25.323,CIN,,CLE,W 14-10,,,,,,,,,,,
11,1970,1970-11-29,11,25.337,CIN,,NOR,W 26-6,,,,,,,,,,,
12,1970,1970-12-20,14,25.358,CIN,,BOS,W 45-7,,,,,,,,,,,
13,1971,1971-09-19,1,26.266,CIN,,PHI,W 37-14,0,0,,0,0,0,,0,1,15,0
14,1971,1971-09-26,2,26.273,CIN,@,PIT,L 10-21,,,,,,,,,,,
15,1971,1971-12-12,13,26.350,CIN,,PIT,L 13-21,,,,,,,,,,,
16,1971,1971-12-19,14,26.357,CIN,@,NYJ,L 21-35,,,,,,,,,,,
17,1972,1972-10-02,3,27.280,PHI,,NYG,L 12-27,,,,,,,,,,,
18,1972,1972-10-08,4,27.286,PHI,@,WAS,L 0-14,,,,,,,,,,,
19,1972,1972-10-15,5,27.293,PHI,,RAM,L 3-34,,,,,,,,,,,
20,1972,1972-10-22,6,27.300,PHI,@,KAN,W 21-20,,,,,,,,,,,
21,1972,1972-10-29,7,27.307,PHI,@,NOR,L 3-21,,,,,,,,,,,
22,1972,1972-11-05,8,27.314,PHI,,STL,T 6-6,,,,,,,,,,,
23,1972,1972-11-12,9,27.321,PHI,@,HOU,W 18-17,,,,,,,,,,,
24,1972,1972-11-19,10,27.328,PHI,,DAL,L 7-28,,,,,,,,,,,
25,1972,1972-11-26,11,27.335,PHI,@,NYG,L 10-62,,,,,,,,,,,
26,1972,1972-12-03,12,27.342,PHI,,WAS,L 7-23,,,,,,,,,,,
27,1972,1972-12-10,13,27.349,PHI,,CHI,L 12-21,,,,,,,,,,,
28,1972,1972-12-17,14,27.356,PHI,@,STL,L 23-24,,,,,,,,,,,
29,1973,1973-09-16,1,28.263,PHI,,STL,L 23-34,2,24,12.00,0,0,0,,0,0,0,0
30,1973,1973-09-23,2,28.270,PHI,@,NYG,T 23-23,,,,,,,,,,,
31,1973,1973-09-30,3,28.277,PHI,,WAS,L 7-28,,,,,,,,,,,
32,1973,1973-10-07,4,28.284,PHI,@,BUF,L 26-27,,,,,,,,,,,
33,1973,1973-10-14,5,28.291,PHI,@,STL,W 27-24,,,,,,,,,,,
34,1973,1973-10-21,6,28.298,PHI,@,MIN,L 21-28,,,,,,,,,,,
35,1973,1973-10-28,7,28.305,PHI,,DAL,W 30-16,,,,,,,,,,,
36,1973,1973-11-04,8,28.312,PHI,,NWE,W 24-23,,,,,,,,,,,
37,1973,1973-11-11,9,28.319,PHI,,ATL,L 27-44,,,,,,,,,,,
38,1973,1973-11-18,10,28.326,PHI,@,DAL,L 10-31,,,,,,,,,,,
39,1973,1973-11-25,11,28.333,PHI,,NYG,W 20-16,,,,,,,,,,,
40,1973,1973-12-02,12,28.340,PHI,@,SFO,L 28-38,,,,,,,,,,,
41,1973,1973-12-09,13,28.347,PHI,,NYJ,W 24-23,,,,,,,,,,,
42,1973,1973-12-16,14,28.354,PHI,@,WAS,L 20-38,,,,,,,,,,,
