ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1986,1986-09-07,1,23.074,STL,,RAM,L 10-16,0,0,,0
2,1986,1986-09-14,2,23.081,STL,@,ATL,L 13-33,0,0,,0
3,1986,1986-09-21,3,23.088,STL,@,BUF,L 10-17,0,0,,0
4,1986,1986-09-29,4,23.096,STL,,DAL,L 7-31,0,0,,0
5,1986,1986-10-05,5,23.102,STL,,NYG,L 6-13,0,0,,0
6,1986,1986-10-12,6,23.109,STL,@,TAM,W 30-19,0,0,,0
7,1986,1986-10-19,7,23.116,STL,@,WAS,L 21-28,0,0,,0
8,1986,1986-10-26,8,23.123,STL,@,DAL,L 6-37,1,0,0.00,0
9,1986,1986-11-02,9,23.130,STL,,PHI,W 13-10,0,0,,0
10,1986,1986-11-09,10,23.137,STL,@,SFO,L 17-43,0,0,,0
11,1986,1986-11-16,11,23.144,STL,,NOR,L 7-16,0,0,,0
12,1986,1986-11-23,12,23.151,STL,,KAN,W 23-14,0,0,,0
13,1986,1986-11-30,13,23.158,STL,,WAS,L 17-20,0,0,,0
14,1986,1986-12-07,14,23.165,STL,@,PHI,T 10-10,0,0,,0
15,1986,1986-12-14,15,23.172,STL,@,NYG,L 7-27,0,0,,0
16,1986,1986-12-21,16,23.179,STL,,TAM,W 21-17,0,0,,0
