ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2017,2017-09-11,1,22.155,DEN,,LAC,W 24-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,48,16.00,0
2,2017,2017-09-17,2,22.161,DEN,,DAL,W 42-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,20,10.00,0
3,2017,2017-09-24,3,22.168,DEN,@,BUF,L 16-26,,0,0,0,,0,0.0%,,1,4,4.00,0,0,0,,0,1,16,16.00,0
4,2017,2017-10-01,4,22.175,DEN,,OAK,W 16-10,,2,0,0,,0,0.0%,0.00,0,0,,0,1,12,12.00,0,5,38,7.60,0
5,2017,2017-10-15,5,22.189,DEN,,NYG,L 10-23,,2,1,0,0.00,0,50.0%,0.00,0,0,,0,0,0,,0,3,17,5.67,0
6,2017,2017-10-30,7,22.204,DEN,@,KAN,L 19-29,,1,0,0,,0,0.0%,0.00,0,0,,0,1,21,21.00,0,4,3,0.75,0
7,2017,2017-11-05,8,22.210,DEN,@,PHI,L 23-51,,3,1,14,14.00,0,33.3%,4.67,0,0,,0,0,0,,0,1,44,44.00,0
8,2017,2017-11-12,9,22.217,DEN,,NWE,L 16-41,,0,0,0,,0,0.0%,,0,0,,0,1,17,17.00,0,1,0,0.00,0
9,2017,2017-12-03,12,22.238,DEN,@,MIA,L 9-35,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,-3,-3.00,0
10,2017,2017-12-24,15,22.259,DEN,@,WAS,L 11-27,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,0
11,2017,2017-12-31,16,22.266,DEN,,KAN,L 24-27,,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,0,0,,0
