ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1991,1991-09-29,5,21.044,PHO,,NWE,W 24-10,,,,,,,,,,,
2,1991,1991-10-06,6,21.051,PHO,@,NYG,L 9-20,,,,,,,,,,,
3,1991,1991-10-13,7,21.058,PHO,@,MIN,L 7-34,,,,,,,,,,,
4,1991,1991-10-20,8,21.065,PHO,,ATL,W 16-10,,,,,,,,,,,
5,1991,1991-10-27,9,21.072,PHO,,MIN,L 0-28,,,,,,,,,,,
6,1991,1991-11-03,10,21.079,PHO,@,DAL,L 7-27,,0,0,,0,0,0,1.0,0,0,0
7,1991,1991-11-10,11,21.086,PHO,,NYG,L 14-21,,,,,,,,,,,
8,1991,1991-11-17,12,21.093,PHO,@,SFO,L 10-14,,0,0,,0,0,0,2.0,0,0,0
9,1991,1991-11-24,13,21.100,PHO,,PHI,L 14-34,,,,,,,,,,,
10,1991,1991-12-08,14,21.114,PHO,,WAS,L 14-20,,,,,,,,,,,
11,1991,1991-12-15,15,21.121,PHO,@,DEN,L 19-24,,0,0,,0,0,0,1.0,0,0,0
12,1991,1991-12-22,16,21.128,PHO,,NOR,L 3-27,,,,,,,,,,,
13,1992,1992-09-06,1,22.021,PHO,@,TAM,L 7-23,,,,,,,,,,,
14,1992,1992-09-13,2,22.028,PHO,,PHI,L 14-31,,0,0,,0,0,0,1.0,0,0,0
15,1992,1992-09-20,3,22.035,PHO,@,DAL,L 20-31,,,,,,,,,,,
16,1992,1992-10-04,4,22.049,PHO,,WAS,W 27-24,,,,,,,,,,,
17,1992,1992-10-11,5,22.056,PHO,@,NYG,L 21-31,,,,,,,,,,,
18,1992,1992-10-18,6,22.063,PHO,,NOR,L 21-30,,,,,,,,,,,
19,1992,1992-10-25,7,22.070,PHO,@,PHI,L 3-7,,,,,,,,,,,
20,1992,1992-11-01,8,22.077,PHO,,SFO,W 24-14,,,,,,,,,,,
21,1992,1992-11-08,9,22.084,PHO,@,RAM,W 20-14,,,,,,,,,,,
22,1992,1992-11-15,10,22.091,PHO,@,ATL,L 17-20,,0,0,,0,0,0,1.0,0,0,0
23,1992,1992-11-22,11,22.098,PHO,,DAL,L 10-16,,,,,,,,,,,
24,1992,1992-11-29,12,22.105,PHO,@,WAS,L 3-41,,,,,,,,,,,
25,1992,1992-12-06,13,22.112,PHO,,SDG,L 21-27,,,,,,,,,,,
26,1992,1992-12-12,14,22.118,PHO,,NYG,W 19-0,,,,,,,,,,,
27,1992,1992-12-20,15,22.126,PHO,@,IND,L 13-16,,,,,,,,,,,
28,1992,1992-12-27,16,22.133,PHO,,TAM,L 3-7,,,,,,,,,,,
29,1993,1993-09-05,1,23.020,PHO,@,PHI,L 17-23,,,,,,,,,,,
30,1993,1993-09-12,2,23.027,PHO,@,WAS,W 17-10,,,,,,,,,,,
31,1993,1993-09-19,3,23.034,PHO,,DAL,L 10-17,,,,,,,,,,,
32,1993,1993-09-26,4,23.041,PHO,@,DET,L 20-26,,0,0,,0,0,0,1.5,0,0,0
33,1993,1993-10-10,5,23.055,PHO,,NWE,L 21-23,,,,,,,,,,,
34,1993,1993-10-17,6,23.062,PHO,,WAS,W 36-6,,0,0,,0,0,0,2.0,0,0,0
35,1993,1993-10-24,7,23.069,PHO,@,SFO,L 14-28,,,,,,,,,,,
36,1993,1993-10-31,8,23.076,PHO,,NOR,L 17-20,,,,,,,,,,,
37,1993,1993-11-07,9,23.083,PHO,,PHI,W 16-3,,,,,,,,,,,
38,1994,1994-09-04,1,24.019,ARI,@,RAM,L 12-14,,0,0,,0,0,0,1.0,0,0,0
39,1994,1994-09-11,2,24.026,ARI,,NYG,L 17-20,,,,,,,,,,,
40,1994,1994-09-18,3,24.033,ARI,@,CLE,L 0-32,,0,0,,0,0,0,1.0,0,0,0
41,1994,1994-10-02,4,24.047,ARI,,MIN,W 17-7,,,,,,,,,,,
42,1994,1994-10-09,5,24.054,ARI,@,DAL,L 3-38,,,,,,,,,,,
43,1994,1994-10-16,6,24.061,ARI,@,WAS,W 19-16,,,,,,,,,,,
44,1994,1994-10-23,7,24.068,ARI,,DAL,L 21-28,,,,,,,,,,,
45,1994,1994-10-30,8,24.075,ARI,,PIT,W 20-17,,0,0,,0,0,0,1.0,0,0,0
46,1994,1994-11-06,9,24.082,ARI,@,PHI,L 7-17,,,,,,,,,,,
47,1994,1994-11-13,10,24.089,ARI,@,NYG,W 10-9,,,,,,,,,,,
48,1994,1994-11-20,11,24.096,ARI,,PHI,W 12-6,,0,0,,0,0,0,1.0,0,0,0
49,1994,1994-11-27,12,24.103,ARI,,CHI,L 16-19,,,,,,,,,,,
50,1994,1994-12-04,13,24.110,ARI,@,HOU,W 30-12,,0,0,,0,0,0,1.5,0,0,0
51,1994,1994-12-11,14,24.117,ARI,,WAS,W 17-15,,0,0,,0,0,0,0.5,0,0,0
52,1994,1994-12-18,15,24.124,ARI,,CIN,W 28-7,,0,0,,0,0,0,1.0,0,0,0
53,1994,1994-12-24,16,24.130,ARI,@,ATL,L 6-10,,0,0,,0,0,0,0.0,1,0,0
54,1995,1995-09-03,1,25.018,ARI,@,WAS,L 7-27,,,,,,,,,,,
55,1995,1995-09-10,2,25.025,ARI,,PHI,L 19-31,,0,0,,0,0,0,1.0,0,0,0
56,1995,1995-10-15,7,25.060,ARI,,WAS,W 24-20,,0,0,,0,0,0,0.5,0,0,0
57,1995,1995-10-29,8,25.074,ARI,,SEA,W 20-14,,0,0,,0,0,0,1.0,0,0,0
58,1995,1995-11-05,9,25.081,ARI,@,DEN,L 6-38,,,,,,,,,,,
59,1995,1995-11-12,10,25.088,ARI,,MIN,L 24-30,,0,0,,0,0,0,2.0,0,0,0
60,1995,1995-11-19,11,25.095,ARI,@,CAR,L 7-27,,0,0,,0,0,0,2.0,0,0,0
61,1995,1995-11-26,12,25.102,ARI,,ATL,W 40-37,,0,0,,0,0,0,1.0,0,0,0
62,1995,1995-11-30,13,25.106,ARI,,NYG,L 6-10,,0,0,,0,0,0,1.0,0,0,0
63,1995,1995-12-09,14,25.115,ARI,@,SDG,L 25-28,,,,,,,,,,,
64,1995,1995-12-17,15,25.123,ARI,@,PHI,L 20-21,,,,,,,,,,,
65,1995,1995-12-25,16,25.131,ARI,,DAL,L 13-37,,,,,,,,,,,
66,1996,1996-09-01,1,26.016,ARI,@,IND,L 13-20,,,,,,,,,,,
67,1996,1996-09-08,2,26.023,ARI,,MIA,L 10-38,,0,0,,0,0,0,1.0,0,0,0
