ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1963,1963-11-17,10,23.313,DEN,,NYJ,L 9-14,2,1,0.50,0,0,0,,0,0,0,,0,1,47,47.00,0,0,0
2,1963,1963-11-28,11,23.324,DEN,,OAK,L 10-26,0,0,,0,2,19,9.50,0,2,67,33.50,0,2,11,5.50,0,0,0
3,1963,1963-12-08,12,23.334,DEN,@,KAN,L 21-52,10,63,6.30,1,3,47,15.67,0,2,32,16.00,0,0,0,,0,1,6
4,1963,1963-12-15,13,23.341,DEN,@,OAK,L 31-35,5,19,3.80,1,2,20,10.00,0,2,31,15.50,0,0,0,,0,1,6
5,1963,1963-12-22,14,23.348,DEN,@,SDG,L 20-58,6,22,3.67,0,3,44,14.67,0,3,65,21.67,0,0,0,,0,0,0
6,1964,1964-09-12,1,24.248,DEN,@,NYJ,L 6-30,0,0,,0,1,14,14.00,0,0,0,,0,0,0,,0,0,0
7,1964,1964-09-20,2,24.256,DEN,@,BUF,L 13-30,11,34,3.09,0,5,69,13.80,0,0,0,,0,0,0,,0,0,0
8,1964,1964-09-27,3,24.263,DEN,,HOU,L 17-38,5,-9,-1.80,0,2,29,14.50,0,0,0,,0,0,0,,0,0,0
9,1964,1964-10-04,4,24.270,DEN,,BOS,L 10-39,0,0,,0,1,-9,-9.00,0,0,0,,0,0,0,,0,0,0
10,1964,1964-10-11,5,24.277,DEN,,KAN,W 33-27,0,0,,0,1,19,19.00,0,0,0,,0,0,0,,0,0,0
11,1964,1964-10-18,6,24.284,DEN,@,SDG,L 14-42,0,0,,0,2,13,6.50,0,0,0,,0,0,0,,0,0,0
12,1964,1964-10-25,7,24.291,DEN,@,OAK,L 7-40,0,0,,0,4,98,24.50,0,2,36,18.00,0,0,0,,0,0,0
13,1964,1964-11-01,8,24.298,DEN,@,KAN,L 39-49,0,0,,0,5,121,24.20,1,0,0,,0,0,0,,0,1,6
14,1964,1964-11-08,9,24.305,DEN,,SDG,L 20-31,0,0,,0,2,10,5.00,0,0,0,,0,0,0,,0,0,0
15,1964,1964-11-20,11,24.317,DEN,@,BOS,L 7-12,1,0,0.00,0,6,96,16.00,0,0,0,,0,0,0,,0,0,0
16,1964,1964-11-29,12,24.326,DEN,,OAK,T 20-20,0,0,,0,2,46,23.00,0,1,24,24.00,0,0,0,,0,0,0
17,1964,1964-12-13,13,24.340,DEN,,BUF,L 19-30,0,0,,0,2,13,6.50,0,1,7,7.00,0,0,0,,0,0,0
18,1964,1964-12-20,14,24.347,DEN,@,HOU,L 15-34,1,0,0.00,0,5,67,13.40,0,2,22,11.00,0,0,0,,0,0,0
19,1965,1965-09-11,1,25.246,DEN,@,SDG,L 31-34,0,0,,0,3,31,10.33,0,0,0,,0,0,0,,0,0,0
20,1965,1965-09-19,2,25.254,DEN,,BUF,L 15-30,0,0,,0,3,18,6.00,1,0,0,,0,0,0,,0,1,6
21,1965,1965-09-24,3,25.259,DEN,@,BOS,W 27-10,0,0,,0,2,11,5.50,0,0,0,,0,0,0,,0,0,0
22,1965,1965-10-03,4,25.268,DEN,,NYJ,W 16-13,0,0,,0,3,28,9.33,0,0,0,,0,0,0,,0,0,0
23,1965,1965-10-24,7,25.289,DEN,@,BUF,L 13-31,0,0,,0,2,37,18.50,0,0,0,,0,0,0,,0,0,0
24,1965,1965-10-31,8,25.296,DEN,@,NYJ,L 10-45,0,0,,0,1,12,12.00,0,0,0,,0,0,0,,0,0,0
25,1965,1965-11-07,9,25.303,DEN,,SDG,L 21-35,0,0,,0,1,5,5.00,0,0,0,,0,0,0,,0,0,0
26,1965,1965-11-21,11,25.317,DEN,,OAK,L 20-28,0,0,,0,3,81,27.00,0,0,0,,0,0,0,,0,0,0
27,1965,1965-12-05,12,25.331,DEN,@,OAK,L 13-24,0,0,,0,2,48,24.00,0,1,8,8.00,0,0,0,,0,0,0
28,1965,1965-12-19,14,25.345,DEN,@,KAN,L 35-45,0,0,,0,5,83,16.60,1,0,0,,0,0,0,,0,1,6
29,1966,1966-09-02,1,26.237,OAK,@,MIA,W 23-14,3,5,1.67,1,0,0,,0,0,0,,0,0,0,,0,1,6
30,1966,1966-10-16,6,26.281,OAK,@,KAN,W 34-13,9,38,4.22,1,5,129,25.80,2,0,0,,0,0,0,,0,3,18
31,1966,1966-10-23,7,26.288,OAK,@,NYJ,W 24-21,5,9,1.80,1,6,42,7.00,0,0,0,,0,0,0,,0,1,6
32,1966,1966-10-30,8,26.295,OAK,@,BOS,L 21-24,3,-7,-2.33,0,3,33,11.00,0,0,0,,0,0,0,,0,0,0
33,1966,1966-11-06,9,26.302,OAK,,HOU,W 38-23,10,57,5.70,0,1,6,6.00,0,0,0,,0,0,0,,0,0,0
34,1966,1966-11-13,10,26.309,OAK,@,SDG,W 41-19,16,90,5.63,2,0,0,,0,0,0,,0,0,0,,0,2,12
35,1966,1966-11-20,11,26.316,OAK,@,DEN,W 17-3,8,9,1.13,0,0,0,,0,0,0,,0,0,0,,0,0,0
36,1966,1966-11-24,12,26.320,OAK,,BUF,L 10-31,1,8,8.00,0,1,5,5.00,0,0,0,,0,0,0,,0,0,0
37,1966,1966-12-03,13,26.329,OAK,,NYJ,T 28-28,6,30,5.00,0,4,71,17.75,1,0,0,,0,0,0,,0,1,6
