ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1988,1988-11-27,13,24.221,TAM,@,ATL,L 10-17,,0,0,,0,1,1,100.0,1,2,50.0,0,4,0,0,,0
2,1988,1988-12-04,14,24.228,TAM,,BUF,W 10-5,,0,0,,0,1,1,100.0,1,2,50.0,0,4,0,0,,0
3,1988,1988-12-11,15,24.235,TAM,@,NWE,L 7-10,,0,0,,0,1,1,100.0,,1,0.0,0,1,0,0,,0
4,1988,1988-12-18,16,24.242,TAM,,DET,W 21-10,,0,0,,0,3,3,100.0,,,,0,3,,,,
5,1989,1989-12-17,15,25.241,TAM,@,DET,L 7-33,,,,,,,,,,,,,,,,,
6,1990,1990-09-23,3,26.156,RAM,,PHI,L 21-27,,,,,,,,,,,,,,,,,
7,1990,1990-10-07,5,26.170,SDG,@,PIT,L 14-36,,0,0,,0,2,2,100.0,,,,0,2,,,,
8,1990,1990-10-14,6,26.177,SDG,@,NYJ,W 39-3,,0,0,,0,4,4,100.0,3,3,100.0,0,13,0,0,,0
9,1990,1990-10-21,7,26.184,SDG,,RAI,L 9-24,,0,0,,0,,,,3,3,100.0,0,9,0,0,,0
10,1990,1990-10-28,8,26.191,SDG,,TAM,W 41-10,,0,0,,0,5,5,100.0,2,2,100.0,0,11,0,0,,0
11,1990,1990-11-04,9,26.198,SDG,@,SEA,W 31-14,,0,0,,0,4,4,100.0,1,2,50.0,0,7,0,0,,0
12,1990,1990-11-11,10,26.205,SDG,,DEN,W 19-7,,0,0,,0,1,1,100.0,4,4,100.0,0,13,0,0,,0
13,1990,1990-11-18,11,26.212,SDG,@,KAN,L 10-27,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,,0
14,1990,1990-11-25,12,26.219,SDG,,SEA,L 10-13,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,,0
