ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1981,1981-09-06,1,22.275,STL,,MIA,L 7-20,,,,,,,,,,,,,,,,,,
2,1981,1981-09-13,2,22.282,STL,@,DAL,L 17-30,,,,,,,,,,,,,,,,,,
3,1981,1981-09-20,3,22.289,STL,,WAS,W 40-30,,,,,,,,,,,,,,,,,,
4,1981,1981-09-27,4,22.296,STL,@,TAM,L 10-20,,,,,,,,,,,,,,,,,,
5,1981,1981-10-04,5,22.303,STL,,DAL,W 20-17,,,,,,,,,,,,,,,,,,
6,1981,1981-10-11,6,22.310,STL,@,NYG,L 14-34,,,,,,,,,,,,,,,,,,
7,1981,1981-10-18,7,22.317,STL,@,ATL,L 20-41,,,,,,,,,,,,,,,,,,
8,1981,1981-10-25,8,22.324,STL,,MIN,W 30-17,,,,,,,,,,,,,,,,,,
9,1981,1981-11-01,9,22.331,STL,@,WAS,L 21-42,,,,,,,,,,,,,,,,,,
10,1981,1981-11-08,10,22.338,STL,,PHI,L 10-52,,,,,,,,,,,,,,,,,,
11,1981,1981-11-15,11,22.345,STL,,BUF,W 24-0,,,,,,,,,,,,,,,,,,
12,1981,1981-11-22,12,22.352,STL,@,BAL,W 35-24,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,1,14,1
13,1981,1981-11-29,13,22.359,STL,@,NWE,W 27-20,,,,,,,,,,,,,,,,,,
14,1981,1981-12-06,14,23.001,STL,,NOR,W 30-3,,,,,,,,,,,,,,,,,,
15,1981,1981-12-13,15,23.008,STL,,NYG,L 10-20,,,,,,,,,,,,,,,,,,
16,1981,1981-12-20,16,23.015,STL,@,PHI,L 0-38,,,,,,,,,,,,,,,,,,
17,1982,1982-09-12,1,23.281,STL,@,NOR,W 21-7,,,,,0,0,,0,,,,,,,,,,
18,1982,1982-09-19,2,23.288,STL,,DAL,L 7-24,,,,,0,0,,0,,,,,,,,,,
19,1982,1982-11-21,3,23.351,STL,,SFO,L 20-31,,,,,0,0,,0,,,,,,,,,,
20,1982,1982-11-28,4,23.358,STL,@,ATL,W 23-20,,,,,0,0,,0,,,,,,,,,,
21,1982,1982-12-05,5,24.000,STL,@,PHI,W 23-20,,,,,0,0,,0,,,,,,,,,,
22,1982,1982-12-12,6,24.007,STL,,WAS,L 7-12,,,,,0,0,,0,,,,,,,,,,
23,1982,1982-12-19,7,24.014,STL,@,CHI,W 10-7,,,,,0,0,,0,,,,,,,,,,
24,1982,1982-12-26,8,24.021,STL,,NYG,W 24-21,0,0,,0,1,5,5.00,0,0,0,,0,0,0,0.0,0,0,0
25,1982,1983-01-02,9,24.028,STL,@,WAS,L 0-28,,,,,0,0,,0,,,,,,,,,,
26,1983,1983-09-04,1,24.273,STL,@,NOR,L 17-28,0,0,,0,,,,,,,,,,,,,,
27,1983,1983-09-11,2,24.280,STL,,DAL,L 17-34,0,0,,0,,,,,,,,,,,,,,
28,1983,1983-09-18,3,24.287,STL,,SFO,L 27-42,0,0,,0,,,,,,,,,,,,,,
29,1983,1983-09-25,4,24.294,STL,@,PHI,W 14-11,0,0,,0,,,,,,,,,,,,,,
30,1983,1983-10-02,5,24.301,STL,@,KAN,L 14-38,0,0,,0,,,,,,,,,,,,,,
31,1983,1983-10-09,6,24.308,STL,,WAS,L 14-38,0,0,,0,,,,,,,,,,,,,,
32,1983,1983-10-16,7,24.315,STL,@,TAM,W 34-27,0,0,,0,,,,,,,,,,,,,,
33,1983,1983-10-24,8,24.323,STL,,NYG,T 20-20,0,0,,0,,,,,,,,,,,,,,
34,1983,1983-10-30,9,24.329,STL,,MIN,W 41-31,1,4,4.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0
35,1983,1983-11-06,10,24.336,STL,@,WAS,L 7-45,0,0,,0,,,,,,,,,,,,,,
36,1983,1983-11-13,11,24.343,STL,,SEA,W 33-28,0,0,,0,,,,,,,,,,,,,,
37,1983,1983-11-20,12,24.350,STL,,SDG,W 44-14,0,0,,0,,,,,,,,,,,,,,
38,1983,1983-11-24,13,24.354,STL,@,DAL,L 17-35,0,0,,0,,,,,,,,,,,,,,
39,1983,1983-12-04,14,24.364,STL,@,NYG,W 10-6,0,0,,0,,,,,,,,,,,,,,
40,1983,1983-12-11,15,25.006,STL,@,RAI,W 34-24,0,0,,0,,,,,,,,,,,,,,
41,1983,1983-12-18,16,25.013,STL,,PHI,W 31-7,0,0,,0,,,,,,,,,,,,,,
42,1984,1984-09-02,1,25.272,STL,@,GNB,L 23-24,,,,,,,,,,,,,,,,,,
43,1984,1984-09-09,2,25.279,STL,,BUF,W 37-7,,,,,,,,,,,,,,,,,,
44,1984,1984-09-16,3,25.286,STL,@,IND,W 34-33,,,,,,,,,,,,,,,,,,
45,1984,1984-09-23,4,25.293,STL,@,NOR,L 24-34,,,,,,,,,,,,,,,,,,
46,1984,1984-09-30,5,25.300,STL,,MIA,L 28-36,,,,,,,,,,,,,,,,,,
47,1984,1984-10-07,6,25.307,STL,@,DAL,W 31-20,,,,,,,,,,,,,,,,,,
48,1984,1984-10-14,7,25.314,STL,,CHI,W 38-21,,,,,,,,,,,,,,,,,,
49,1984,1984-10-21,8,25.321,STL,,WAS,W 26-24,,,,,,,,,,,,,,,,,,
50,1984,1984-10-28,9,25.328,STL,@,PHI,W 34-14,,,,,,,,,,,,,,,,,,
51,1984,1984-11-04,10,25.335,STL,,RAM,L 13-16,,,,,,,,,,,,,,,,,,
52,1984,1984-11-11,11,25.342,STL,,DAL,L 17-24,,,,,,,,,,,,,,,,,,
53,1984,1984-11-18,12,25.349,STL,@,NYG,L 10-16,,,,,,,,,,,,,,,,,,
54,1984,1984-11-25,13,25.356,STL,,PHI,W 17-16,,,,,,,,,,,,,,,,,,
55,1984,1984-12-02,14,25.363,STL,@,NWE,W 33-10,,,,,,,,,,,,,,,,,,
56,1984,1984-12-09,15,26.004,STL,,NYG,W 31-21,,,,,,,,,,,,,,,,,,
57,1984,1984-12-16,16,26.011,STL,@,WAS,L 27-29,,,,,,,,,,,,,,,,,,
58,1985,1985-09-08,1,26.277,IND,@,PIT,L 3-45,,,,,,,,,,,,,,,,,,
59,1985,1985-09-15,2,26.284,IND,@,MIA,L 13-30,,,,,,,,,,,,,,,,,,
60,1985,1985-09-22,3,26.291,IND,,DET,W 14-6,,,,,,,,,,,,,,,,,,
