ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1969,1969-09-21,1,22.156,PIT,,DET,W 16-13,0,0,,0,0,0,,0,0,0,,0,3,6,2.00,0
2,1969,1969-09-28,2,22.163,PIT,@,PHI,L 27-41,0,0,,0,0,0,,0,3,90,30.00,0,1,4,4.00,0
3,1969,1969-10-05,3,22.170,PIT,,STL,L 14-27,0,0,,0,0,0,,0,1,24,24.00,0,1,1,1.00,0
4,1969,1969-10-12,4,22.177,PIT,@,NYG,L 7-10,0,0,,0,0,0,,0,2,40,20.00,0,1,0,0.00,0
5,1969,1969-10-18,5,22.183,PIT,@,CLE,L 31-42,1,5,5.00,0,1,32,32.00,0,2,42,21.00,0,0,0,,0
6,1969,1969-10-26,6,22.191,PIT,,WAS,L 7-14,0,0,,0,0,0,,0,1,14,14.00,0,3,42,14.00,0
7,1969,1969-11-02,7,22.198,PIT,,GNB,L 34-38,0,0,,0,0,0,,0,4,69,17.25,0,1,4,4.00,0
8,1969,1969-11-09,8,22.205,PIT,@,CHI,L 7-38,0,0,,0,0,0,,0,3,53,17.67,0,0,0,,0
9,1969,1969-11-16,9,22.212,PIT,,CLE,L 3-24,0,0,,0,0,0,,0,0,0,,0,2,-1,-0.50,0
10,1969,1969-11-23,10,22.219,PIT,@,MIN,L 14-52,0,0,,0,0,0,,0,2,44,22.00,0,2,28,14.00,0
11,1969,1969-11-30,11,22.226,PIT,@,STL,L 10-47,0,0,,0,0,0,,0,3,38,12.67,0,3,3,1.00,0
12,1969,1969-12-07,12,22.233,PIT,,DAL,L 7-10,0,0,,0,0,0,,0,1,21,21.00,0,6,27,4.50,0
13,1969,1969-12-14,13,22.240,PIT,,NYG,L 17-21,0,0,,0,0,0,,0,1,35,35.00,0,3,7,2.33,0
14,1969,1969-12-21,14,22.247,PIT,@,NOR,L 24-27,0,0,,0,0,0,,0,3,52,17.33,0,2,12,6.00,0
