ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1964,1964-09-13,1,21.201,PHI,,NYG,W 38-7,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,2,2.00,0,0,0,,0,0,0,,0,0,0
2,1964,1964-10-25,7,21.243,PHI,@,PIT,W 34-10,,1,1,100.00,38,0,0,118.7,0,0,38.00,38.00,7,33,4.71,1,0,0,,0,0,0,,0,1,6
3,1964,1964-11-22,11,21.271,PHI,,STL,L 13-38,,1,1,100.00,27,0,0,118.7,0,0,27.00,27.00,0,0,,0,0,0,,0,0,0,,0,0,0
4,1964,1964-12-06,13,21.285,PHI,,DAL,W 24-14,*,10,20,50.00,134,2,1,84.2,0,0,6.70,6.45,8,99,12.38,0,0,0,,0,0,0,,0,0,0
5,1965,1965-10-03,3,22.220,PHI,,CLE,L 17-35,,2,5,40.00,53,0,1,40.0,0,0,10.60,1.60,1,12,12.00,0,0,0,,0,0,0,,0,0,0
6,1965,1965-10-24,6,22.241,PHI,,PIT,L 14-20,,10,24,41.67,123,1,2,37.3,0,0,5.13,2.21,7,84,12.00,0,0,0,,0,0,0,,0,0,0
7,1965,1965-12-12,13,22.290,PHI,@,PIT,W 47-13,,0,0,,0,0,0,,0,0,,,1,8,8.00,0,0,0,,0,0,0,,0,0,0
8,1966,1966-10-09,5,23.226,PHI,@,DAL,L 7-56,,0,0,,0,0,0,,0,0,,,1,7,7.00,0,1,7,7.00,0,0,0,,0,0,0
9,1966,1966-10-16,6,23.233,PHI,@,PIT,W 31-14,,0,0,,0,0,0,,0,0,,,1,-1,-1.00,0,0,0,,0,2,3,1.50,0,0,0
10,1966,1966-10-23,7,23.240,PHI,@,NYG,W 31-3,,,,,,,,,,,,,,,,,,,,,1,0,0.00,0,,
