ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2001,2001-09-30,3,24.004,CIN,@,SDG,L 14-28,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,10,10.00,0,0,0,0.0,,
2,2001,2001-10-21,6,24.025,CIN,,CHI,L 0-24,,2,,,,,0.0%,,,,,,,,,,,,,,,,,,
3,2001,2001-10-28,7,24.032,CIN,@,DET,W 31-27,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
4,2001,2001-11-11,8,24.046,CIN,@,JAX,L 13-30,,12,6,62,10.33,0,50.0%,5.17,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,
5,2001,2001-11-18,9,24.053,CIN,,TEN,L 7-20,,4,0,0,,0,0.0%,0.00,0,0,,0,1,13,13.00,0,1,8,8.00,0,0,0,0.0,,
6,2001,2001-11-25,10,24.060,CIN,@,CLE,L 0-18,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,5,126,25.20,0,0,0,0.0,,
7,2001,2001-12-02,11,24.067,CIN,,TAM,L 13-16,,0,0,0,,0,0.0%,,0,0,,0,1,14,14.00,0,1,8,8.00,0,0,0,0.0,,
8,2001,2001-12-09,12,24.074,CIN,,JAX,L 10-14,,0,0,0,,0,0.0%,,0,0,,0,1,18,18.00,0,1,0,0.00,0,0,0,0.0,,
9,2001,2001-12-16,13,24.081,CIN,@,NYJ,L 14-15,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,
10,2001,2001-12-23,14,24.088,CIN,@,BAL,L 0-16,*,7,5,63,12.60,0,71.4%,9.00,0,0,,0,3,56,18.67,0,1,4,4.00,0,0,0,0.0,,
11,2001,2001-12-30,15,24.095,CIN,,PIT,W 26-23,,15,9,98,10.89,0,60.0%,6.53,0,0,,0,4,84,21.00,0,2,7,3.50,0,0,0,0.0,,
12,2001,2002-01-06,16,24.102,CIN,@,TEN,W 23-21,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
13,2002,2002-09-08,1,24.347,CIN,,SDG,L 6-34,*,4,2,27,13.50,0,50.0%,6.75,0,0,,0,4,79,19.75,0,0,0,,0,0,0,0.0,,
14,2002,2002-09-15,2,24.354,CIN,@,CLE,L 7-20,,6,5,58,11.60,0,83.3%,9.67,0,0,,0,0,0,,0,1,2,2.00,0,0,0,0.0,,
15,2002,2002-09-22,3,24.361,CIN,@,ATL,L 3-30,,11,3,36,12.00,0,27.3%,3.27,0,0,,0,0,0,,0,1,6,6.00,0,0,0,0.0,,
16,2002,2002-09-29,4,25.003,CIN,,TAM,L 7-35,,3,2,20,10.00,0,66.7%,6.67,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,
17,2002,2002-10-06,5,25.010,CIN,@,IND,L 21-28,,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,1,3,3.00,0,0,0,0.0,,
