ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1975,1975-09-21,1,22.136,BUF,,NYJ,W 42-14,,,,,,,,,,
2,1975,1975-09-28,2,22.143,BUF,@,PIT,W 30-21,,,,,,,,,,
3,1975,1975-10-05,3,22.150,BUF,,DEN,W 38-14,,,,,,,,,,
4,1975,1975-10-12,4,22.157,BUF,@,BAL,W 38-31,,,,,,,,,,
5,1975,1975-10-20,5,22.165,BUF,,NYG,L 14-17,,,,,,,,,,
6,1975,1975-10-26,6,22.171,BUF,,MIA,L 30-35,0,0,,0,1,6,0.0,1,30,1
7,1975,1975-11-02,7,22.178,BUF,@,NYJ,W 24-23,,,,,,,,,,
8,1975,1975-11-09,8,22.185,BUF,,BAL,L 35-42,,,,,,,,,,
9,1975,1975-11-17,9,22.193,BUF,@,CIN,L 24-33,,,,,,,,,,
10,1975,1975-11-23,10,22.199,BUF,,NWE,W 45-31,0,0,,0,0,0,0.0,1,14,0
11,1975,1975-11-27,11,22.203,BUF,@,STL,W 32-14,,,,,,,,,,
12,1975,1975-12-07,12,22.213,BUF,@,MIA,L 21-31,,,,,,,,,,
13,1975,1975-12-14,13,22.220,BUF,@,NWE,W 34-14,,,,,,,,,,
14,1975,1975-12-20,14,22.226,BUF,,MIN,L 13-35,,,,,,,,,,
15,1976,1976-09-13,1,23.128,BUF,,MIA,L 21-30,,,,,,,,,,
16,1976,1976-09-19,2,23.134,BUF,,HOU,L 3-13,,,,,,,,,,
17,1976,1976-09-26,3,23.141,BUF,@,TAM,W 14-9,,,,,,,,,,
18,1976,1976-10-03,4,23.148,BUF,,KAN,W 50-17,,,,,,,,,,
19,1976,1976-10-10,5,23.155,BUF,@,NYJ,L 14-17,,,,,,,,,,
20,1976,1976-10-17,6,23.162,BUF,,BAL,L 13-31,,,,,,,,,,
21,1976,1976-10-24,7,23.169,BUF,,NWE,L 22-26,,,,,,,,,,
22,1976,1976-10-31,8,23.176,BUF,,NYJ,L 14-19,,,,,,,,,,
23,1976,1976-11-07,9,23.183,BUF,@,NWE,L 10-20,,,,,,,,,,
24,1976,1976-11-15,10,23.191,BUF,@,DAL,L 10-17,,,,,,,,,,
25,1976,1976-11-21,11,23.197,BUF,,SDG,L 13-34,,,,,,,,,,
26,1976,1976-11-25,12,23.201,BUF,@,DET,L 14-27,,,,,,,,,,
27,1976,1976-12-05,13,23.211,BUF,@,MIA,L 27-45,,,,,,,,,,
28,1976,1976-12-12,14,23.218,BUF,@,BAL,L 20-58,,,,,,,,,,
29,1977,1977-09-18,1,24.133,BUF,,MIA,L 0-13,,,,,,,,,,
30,1977,1977-09-25,2,24.140,BUF,@,DEN,L 6-26,,,,,,,,,,
31,1977,1977-10-02,3,24.147,BUF,@,BAL,L 14-17,,,,,,,,,,
32,1977,1977-10-09,4,24.154,BUF,,NYJ,L 19-24,,,,,,,,,,
33,1977,1977-10-16,5,24.161,BUF,,ATL,W 3-0,,,,,,,,,,
34,1977,1977-10-23,6,24.168,BUF,,CLE,L 16-27,,,,,,,,,,
35,1977,1977-10-30,7,24.175,BUF,@,SEA,L 17-56,,,,,,,,,,
36,1977,1977-11-06,8,24.182,BUF,@,NWE,W 24-14,0,0,,0,0,0,0.0,1,4,0
37,1977,1977-11-13,9,24.189,BUF,,BAL,L 13-31,,,,,,,,,,
38,1977,1977-11-20,10,24.196,BUF,,NWE,L 7-20,,,,,,,,,,
39,1977,1977-11-28,11,24.204,BUF,@,OAK,L 13-34,,,,,,,,,,
40,1977,1977-12-04,12,24.210,BUF,,WAS,L 0-10,,,,,,,,,,
