ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2003,2003-09-07,1,22.306,IND,@,CLE,W 9-6,,,,,,,0.0%,,,,,,,
2,2003,2003-09-28,4,22.327,IND,@,NOR,W 55-21,,,,,,,0.0%,,,,,,,
3,2003,2003-11-09,9,23.004,IND,@,JAX,L 23-28,,,,,,,0.0%,,,,,,,
4,2003,2003-11-16,10,23.011,IND,,NYJ,W 38-31,,3,2,30,15.00,0,66.7%,10.00,0,0,,0,0,0
5,2003,2003-11-23,11,23.018,IND,@,BUF,W 17-14,,6,5,71,14.20,0,83.3%,11.83,0,0,,0,0,0
6,2003,2003-11-30,12,23.025,IND,,NWE,L 34-38,,1,,,,,0.0%,,,,,,,
7,2003,2003-12-14,14,23.039,IND,,ATL,W 38-7,,,,,,,0.0%,,,,,,,
8,2004,2004-10-24,6,23.354,IND,,JAX,L 24-27,,,,,,,0.0%,,,,,,,
9,2004,2004-10-31,7,23.361,IND,@,KAN,L 35-45,,,,,,,0.0%,,,,,,,
10,2004,2004-11-08,8,24.003,IND,,MIN,W 31-28,,,,,,,0.0%,,,,,,,
11,2004,2004-11-14,9,24.009,IND,,HOU,W 49-14,,0,0,0,,0,0.0%,,1,34,34.00,0,0,0
12,2004,2004-11-21,10,24.016,IND,@,CHI,W 41-10,,,,,,,0.0%,,,,,,,
13,2004,2004-11-25,11,24.020,IND,@,DET,W 41-9,,,,,,,0.0%,,,,,,,
14,2004,2005-01-02,16,24.058,IND,@,DEN,L 14-33,,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0
15,2005,2005-12-24,15,25.049,IND,@,SEA,L 13-28,,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0
16,2005,2006-01-01,16,25.057,IND,,ARI,W 17-13,,8,5,59,11.80,0,62.5%,7.38,0,0,,0,0,0
17,2006,2006-09-10,1,25.309,IND,@,NYG,W 26-21,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
18,2006,2006-09-17,2,25.316,IND,,HOU,W 43-24,,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0
19,2006,2006-09-24,3,25.323,IND,,JAX,W 21-14,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
20,2006,2006-10-01,4,25.330,IND,@,NYJ,W 31-28,,,0,0,,0,0.0%,,0,0,,0,0,0
21,2006,2006-10-08,5,25.337,IND,,TEN,W 14-13,,,0,0,,0,0.0%,,0,0,,0,0,0
22,2006,2006-11-05,8,26.000,IND,@,NWE,W 27-20,,,0,0,,0,0.0%,,0,0,,0,0,0
23,2006,2006-11-12,9,26.007,IND,,BUF,W 17-16,,,0,0,,0,0.0%,,0,0,,0,0,0
24,2006,2006-11-19,10,26.014,IND,@,DAL,L 14-21,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0
25,2006,2006-11-26,11,26.021,IND,,PHI,W 45-21,,,0,0,,0,0.0%,,0,0,,0,0,0
26,2006,2006-12-18,14,26.043,IND,,CIN,W 34-16,,3,3,15,5.00,0,100.0%,5.00,0,0,,0,0,0
27,2006,2006-12-24,15,26.049,IND,@,HOU,L 24-27,,2,1,9,9.00,1,50.0%,4.50,0,0,,0,1,6
28,2006,2006-12-31,16,26.056,IND,,MIA,W 27-22,,4,2,41,20.50,0,50.0%,10.25,0,0,,0,0,0
29,2007,2007-09-16,2,26.315,IND,@,TEN,W 22-20,,,0,0,,0,0.0%,,0,0,,0,0,0
30,2007,2007-09-23,3,26.322,IND,@,HOU,W 30-24,,,0,0,,0,0.0%,,0,0,,0,0,0
31,2007,2007-09-30,4,26.329,IND,,DEN,W 38-20,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0
32,2007,2007-10-22,6,26.351,IND,@,JAX,W 29-7,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
33,2007,2007-10-28,7,26.357,IND,@,CAR,W 31-7,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0
34,2007,2007-11-04,8,26.364,IND,,NWE,L 20-24,,6,2,13,6.50,0,33.3%,2.17,0,0,,0,0,0
35,2007,2007-11-11,9,27.006,IND,@,SDG,L 21-23,*,10,4,39,9.75,0,40.0%,3.90,0,0,,0,0,0
36,2007,2007-11-18,10,27.013,IND,,KAN,W 13-10,*,3,0,0,,0,0.0%,0.00,0,0,,0,0,0
