ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,def_int,def_int_yds,def_int_td
1,1970,1970-09-20,1,23.000,BOS,,MIA,W 27-14,,,
2,1970,1970-09-27,2,23.007,BOS,,NYJ,L 21-31,,,
3,1970,1970-10-04,3,23.014,BOS,,BAL,L 6-14,,,
4,1970,1970-10-11,4,23.021,BOS,@,KAN,L 10-23,,,
5,1970,1970-10-18,5,23.028,BOS,,NYG,L 0-16,,,
6,1970,1970-10-25,6,23.035,BOS,@,BAL,L 3-27,,,
7,1970,1970-11-01,7,23.042,BOS,,BUF,L 10-45,,,
8,1970,1970-11-08,8,23.049,BOS,@,STL,L 0-31,,,
9,1970,1970-11-15,9,23.056,BOS,,SDG,L 14-16,,,
10,1970,1970-11-22,10,23.063,BOS,@,NYJ,L 3-17,,,
11,1970,1970-11-29,11,23.070,BOS,@,BUF,W 14-10,,,
12,1970,1970-12-06,12,23.077,BOS,@,MIA,L 20-37,,,
13,1970,1970-12-13,13,23.084,BOS,,MIN,L 14-35,,,
14,1970,1970-12-20,14,23.091,BOS,@,CIN,L 7-45,,,
15,1971,1971-09-19,1,23.364,NWE,,OAK,W 20-6,,,
16,1971,1971-09-26,2,24.006,NWE,,DET,L 7-34,,,
17,1971,1971-10-03,3,24.013,NWE,,BAL,L 3-23,,,
18,1971,1971-10-10,4,24.020,NWE,,NYJ,W 20-0,,,
19,1971,1971-10-17,5,24.027,NWE,@,MIA,L 3-41,,,
20,1971,1971-10-24,6,24.034,NWE,@,DAL,L 21-44,,,
21,1971,1971-10-31,7,24.041,NWE,@,SFO,L 10-27,,,
22,1971,1971-11-07,8,24.048,NWE,,HOU,W 28-20,,,
23,1971,1971-11-14,9,24.055,NWE,,BUF,W 38-33,,,
24,1972,1972-09-17,1,24.363,NWE,,CIN,L 7-31,,,
25,1972,1972-09-24,2,25.004,NWE,,ATL,W 21-20,,,
26,1972,1972-10-01,3,25.011,NWE,,WAS,W 24-23,,,
27,1972,1972-10-08,4,25.018,NWE,@,BUF,L 14-38,,,
28,1972,1972-10-15,5,25.025,NWE,,NYJ,L 13-41,,,
29,1972,1972-10-22,6,25.032,NWE,@,PIT,L 3-33,,,
30,1972,1972-10-29,7,25.039,NWE,@,NYJ,L 10-34,,,
31,1972,1972-11-06,8,25.047,NWE,,BAL,L 17-24,,,
32,1972,1972-11-12,9,25.053,NWE,@,MIA,L 0-52,,,
33,1972,1972-11-19,10,25.060,NWE,,BUF,L 24-27,,,
34,1972,1972-11-26,11,25.067,NWE,@,BAL,L 0-31,,,
35,1972,1972-12-03,12,25.074,NWE,,MIA,L 21-37,,,
36,1972,1972-12-10,13,25.081,NWE,@,NOR,W 17-10,,,
37,1972,1972-12-17,14,25.088,NWE,@,DEN,L 21-45,,,
38,1973,1973-09-16,1,25.361,PHI,,STL,L 23-34,,,
39,1973,1973-09-23,2,26.003,PHI,@,NYG,T 23-23,,,
40,1973,1973-09-30,3,26.010,PHI,,WAS,L 7-28,,,
41,1973,1973-10-14,5,26.024,PHI,@,STL,W 27-24,,,
42,1973,1973-10-21,6,26.031,PHI,@,MIN,L 21-28,,,
43,1973,1973-10-28,7,26.038,PHI,,DAL,W 30-16,,,
44,1973,1973-11-04,8,26.045,PHI,,NWE,W 24-23,1,0,0
45,1973,1973-11-11,9,26.052,PHI,,ATL,L 27-44,,,
46,1973,1973-11-18,10,26.059,PHI,@,DAL,L 10-31,,,
47,1973,1973-11-25,11,26.066,PHI,,NYG,W 20-16,,,
48,1973,1973-12-02,12,26.073,PHI,@,SFO,L 28-38,,,
49,1973,1973-12-09,13,26.080,PHI,,NYJ,W 24-23,,,
50,1973,1973-12-16,14,26.087,PHI,@,WAS,L 20-38,,,
