ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1975,1975-09-21,1,22.103,KAN,@,DEN,L 33-37,,,,,,,,,,,,
2,1975,1975-09-28,2,22.110,KAN,,NYJ,L 24-30,,,,,,,,,,,,
3,1975,1975-10-05,3,22.117,KAN,,SFO,L 3-20,1,10,10.00,0,0,0,,0,1,2,2.00,0
4,1975,1975-10-12,4,22.124,KAN,,OAK,W 42-10,,,,,,,,,,,,
5,1975,1975-10-19,5,22.131,KAN,@,SDG,W 12-10,,,,,,,,,,,,
6,1975,1975-10-26,6,22.138,KAN,,DEN,W 26-13,0,0,,0,1,12,12.00,0,1,13,13.00,0
7,1975,1975-11-02,7,22.145,KAN,,HOU,L 13-17,,,,,,,,,,,,
8,1975,1975-11-10,8,22.153,KAN,@,DAL,W 34-31,,,,,,,,,,,,
9,1975,1975-11-16,9,22.159,KAN,@,PIT,L 3-28,0,0,,0,0,0,,0,1,1,1.00,0
10,1975,1975-11-23,10,22.166,KAN,,DET,W 24-21,0,0,,0,0,0,,0,1,3,3.00,0
11,1975,1975-11-30,11,22.173,KAN,@,BAL,L 14-28,,,,,,,,,,,,
12,1975,1975-12-07,12,22.180,KAN,,SDG,L 20-28,0,0,,0,4,101,25.25,0,0,0,,0
13,1975,1975-12-14,13,22.187,KAN,@,CLE,L 14-40,0,0,,0,2,88,44.00,0,0,0,,0
14,1975,1975-12-21,14,22.194,KAN,@,OAK,L 20-28,0,0,,0,3,46,15.33,0,0,0,,0
15,1976,1976-09-12,1,23.094,KAN,,SDG,L 16-30,0,0,,0,2,45,22.50,0,0,0,,0
16,1977,1977-09-18,1,24.100,CLE,@,CIN,W 13-3,1,5,5.00,0,0,0,,0,0,0,,0
17,1977,1977-09-26,2,24.108,CLE,,NWE,W 30-27,,,,,,,,,,,,
18,1977,1977-10-02,3,24.114,CLE,,PIT,L 14-28,0,0,,0,0,0,,0,1,0,0.00,0
19,1977,1977-10-09,4,24.121,CLE,,OAK,L 10-26,,,,,,,,,,,,
20,1977,1977-10-16,5,24.128,CLE,@,HOU,W 24-23,,,,,,,,,,,,
21,1977,1977-10-30,7,24.142,BUF,@,SEA,L 17-56,,,,,,,,,,,,
22,1977,1977-11-06,8,24.149,BUF,@,NWE,W 24-14,,,,,,,,,,,,
23,1977,1977-11-13,9,24.156,BUF,,BAL,L 13-31,,,,,,,,,,,,
24,1977,1977-11-20,10,24.163,BUF,,NWE,L 7-20,,,,,,,,,,,,
