ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2014,2014-09-08,1,23.138,DET,,NYG,W 35-14,,0,0,0.0,1,0
2,2014,2014-09-14,2,23.144,DET,@,CAR,L 7-24,,,,,,
3,2015,2015-09-27,3,24.157,DET,,DEN,L 12-24,,0,0,0.0,0,0
4,2015,2015-10-05,4,24.165,DET,@,SEA,L 10-13,,0,0,0.0,0,0
5,2015,2015-10-11,5,24.171,DET,,ARI,L 17-42,,0,0,0.0,1,0
6,2015,2015-10-18,6,24.178,DET,,CHI,W 37-34,,0,0,0.0,0,0
7,2015,2015-10-25,7,24.185,DET,,MIN,L 19-28,,0,0,0.0,0,0
8,2015,2015-11-01,8,24.192,DET,@,KAN,L 10-45,*,0,0,0.0,6,1
9,2015,2015-11-15,9,24.206,DET,@,GNB,W 18-16,*,0,0,0.0,6,0
10,2015,2015-11-22,10,24.213,DET,,OAK,W 18-13,*,0,0,0.0,4,0
11,2015,2015-11-26,11,24.217,DET,,PHI,W 45-14,*,0,0,0.0,4,2
12,2015,2015-12-03,12,24.224,DET,,GNB,L 23-27,*,0,0,0.0,2,0
13,2015,2015-12-13,13,24.234,DET,@,STL,L 14-21,*,0,0,0.0,5,0
14,2015,2015-12-21,14,24.242,DET,@,NOR,W 35-27,*,0,0,0.0,5,1
15,2015,2015-12-27,15,24.248,DET,,SFO,W 32-17,*,0,0,0.0,2,0
16,2015,2016-01-03,16,24.255,DET,@,CHI,W 24-20,*,0,0,0.0,2,0
17,2016,2016-09-11,1,25.141,DET,@,IND,W 39-35,*,0,0,0.0,3,1
18,2016,2016-09-18,2,25.148,DET,,TEN,L 15-16,*,0,0,0.0,3,0
19,2016,2016-09-25,3,25.155,DET,@,GNB,L 27-34,*,0,0,0.0,2,1
20,2016,2016-10-02,4,25.162,DET,@,CHI,L 14-17,*,0,0,0.0,5,1
21,2016,2016-10-09,5,25.169,DET,,PHI,W 24-23,*,0,0,0.0,2,0
22,2016,2016-10-16,6,25.176,DET,,LAR,W 31-28,*,0,0,0.0,2,0
23,2016,2016-10-23,7,25.183,DET,,WAS,W 20-17,*,0,0,0.0,5,1
24,2016,2016-10-30,8,25.190,DET,@,HOU,L 13-20,*,0,0,0.0,1,2
25,2016,2016-11-06,9,25.197,DET,@,MIN,W 22-16,*,0,0,0.0,4,0
26,2016,2016-11-20,10,25.211,DET,,JAX,W 26-19,*,0,0,0.0,3,0
27,2016,2016-11-24,11,25.215,DET,,MIN,W 16-13,*,0,0,0.0,1,0
28,2016,2016-12-04,12,25.225,DET,@,NOR,W 28-13,*,0,0,0.0,6,1
29,2016,2016-12-11,13,25.232,DET,,CHI,W 20-17,*,0,0,0.0,2,2
30,2016,2016-12-18,14,25.239,DET,@,NYG,L 6-17,*,0,0,0.0,2,0
31,2016,2016-12-26,15,25.247,DET,@,DAL,L 21-42,*,0,0,0.0,2,1
32,2016,2017-01-01,16,25.253,DET,,GNB,L 24-31,*,0,0,0.0,2,1
33,2017,2017-09-10,1,26.140,DET,,ARI,W 35-23,*,0,0,0.0,3,0
34,2017,2017-09-18,2,26.148,DET,@,NYG,W 24-10,*,0,0,0.0,1,0
35,2017,2017-09-24,3,26.154,DET,,ATL,L 26-30,*,0,0,0.0,2,0
36,2017,2017-10-01,4,26.161,DET,@,MIN,W 14-7,*,0,0,0.0,3,0
37,2017,2017-10-08,5,26.168,DET,,CAR,L 24-27,*,0,0,0.0,2,1
38,2017,2017-10-15,6,26.175,DET,@,NOR,L 38-52,*,0,0,0.0,2,1
39,2017,2017-10-29,7,26.189,DET,,PIT,L 15-20,*,0,0,0.0,5,0
40,2017,2017-11-06,8,26.197,DET,@,GNB,W 30-17,*,0,0,0.0,3,0
41,2017,2017-11-12,9,26.203,DET,,CLE,W 38-24,*,1,6,0.0,3,0
42,2017,2017-11-19,10,26.210,DET,@,CHI,W 27-24,*,0,0,0.0,3,0
43,2017,2017-11-23,11,26.214,DET,,MIN,L 23-30,*,0,0,0.0,2,2
44,2017,2017-12-03,12,26.224,DET,@,BAL,L 20-44,*,0,0,0.0,3,0
45,2017,2017-12-10,13,26.231,DET,@,TAM,W 24-21,*,0,0,0.0,1,0
46,2017,2017-12-16,14,26.237,DET,,CHI,W 20-10,*,0,0,0.0,2,2
47,2017,2017-12-24,15,26.245,DET,@,CIN,L 17-26,*,0,0,0.0,2,0
48,2018,2018-09-10,1,27.140,DET,,NYJ,L 17-48,*,0,0,0.0,4,0
49,2018,2018-09-16,2,27.146,DET,@,SFO,L 27-30,,0,0,0.0,4,0
50,2018,2018-09-23,3,27.153,DET,,NWE,W 26-10,*,0,0,0.0,2,0
