ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1963,1963-09-28,4,22.074,OAK,@,NYJ,L 7-10,0,0,,0,1,3,3.00,0,0,0
2,1963,1963-10-11,6,22.087,OAK,@,BOS,L 14-20,2,41,20.50,0,0,0,,0,0,0
3,1963,1963-10-20,7,22.096,OAK,,NYJ,W 49-26,4,72,18.00,1,0,0,,0,1,6
4,1963,1963-10-27,8,22.103,OAK,@,SDG,W 34-33,1,10,10.00,0,0,0,,0,0,0
5,1963,1963-11-03,9,22.110,OAK,,KAN,W 10-7,1,13,13.00,0,0,0,,0,0,0
6,1963,1963-11-08,10,22.115,OAK,@,KAN,W 22-7,3,44,14.67,0,0,0,,0,0,0
7,1963,1963-11-28,11,22.135,OAK,@,DEN,W 26-10,2,33,16.50,0,0,0,,0,0,0
8,1963,1963-12-15,13,22.152,OAK,,DEN,W 35-31,1,35,35.00,0,0,0,,0,0,0
9,1963,1963-12-22,14,22.159,OAK,,HOU,W 52-49,2,21,10.50,1,0,0,,0,1,6
10,1964,1964-09-19,2,23.065,OAK,@,HOU,L 28-42,4,59,14.75,0,0,0,,0,0,0
11,1964,1964-09-27,3,23.073,OAK,,KAN,L 9-21,2,35,17.50,0,0,0,,0,0,0
12,1964,1964-10-03,4,23.079,OAK,@,BUF,L 20-23,2,22,11.00,1,0,0,,0,1,6
13,1964,1964-10-25,7,23.101,OAK,,DEN,W 40-7,2,30,15.00,0,0,0,,0,0,0
14,1964,1964-11-01,8,23.108,OAK,@,SDG,L 17-31,2,28,14.00,0,0,0,,0,0,0
15,1964,1964-11-08,9,23.115,OAK,@,KAN,L 7-42,2,25,12.50,1,0,0,,0,1,6
16,1964,1964-11-22,11,23.129,OAK,,NYJ,W 35-26,4,75,18.75,0,0,0,,0,0,0
17,1964,1964-11-29,12,23.136,OAK,@,DEN,T 20-20,1,22,22.00,0,0,0,,0,0,0
18,1964,1964-12-06,13,23.143,OAK,,BUF,W 16-13,2,29,14.50,0,0,0,,0,0,0
19,1964,1964-12-20,14,23.157,OAK,,SDG,W 21-20,2,35,17.50,0,0,0,,0,0,0
20,1965,1965-09-12,1,24.058,OAK,,KAN,W 37-10,1,5,5.00,0,0,0,,0,0,0
21,1965,1965-10-03,4,24.079,OAK,@,BUF,L 12-17,1,8,8.00,0,0,0,,0,0,0
22,1965,1965-10-24,7,24.100,OAK,,BOS,W 30-21,1,15,15.00,0,0,0,,0,0,0
23,1965,1965-10-31,8,24.107,OAK,@,KAN,L 7-14,3,37,12.33,0,0,0,,0,0,0
24,1965,1965-11-07,9,24.114,OAK,@,HOU,W 33-21,3,43,14.33,0,0,0,,0,0,0
25,1965,1965-11-14,10,24.121,OAK,,BUF,L 14-17,2,22,11.00,0,0,0,,0,0,0
26,1965,1965-11-21,11,24.128,OAK,@,DEN,W 28-20,2,25,12.50,0,0,0,,0,0,0
27,1965,1965-12-05,12,24.142,OAK,,DEN,W 24-13,2,33,16.50,0,0,0,,0,0,0
28,1965,1965-12-12,13,24.149,OAK,,NYJ,W 24-14,1,16,16.00,0,0,0,,0,0,0
29,1965,1965-12-19,14,24.156,OAK,@,SDG,L 14-24,2,17,8.50,0,0,0,,0,0,0
30,1967,1967-10-22,6,26.098,OAK,@,BOS,W 48-14,1,-1,-1.00,0,0,0,,0,0,0
31,1968,1968-09-15,2,27.061,CIN,,DEN,W 24-10,1,16,16.00,0,0,0,,0,0,0
32,1968,1968-09-29,4,27.075,CIN,,SDG,L 10-31,2,29,14.50,0,0,0,,0,0,0
33,1968,1968-10-13,6,27.089,CIN,@,KAN,L 3-13,1,12,12.00,0,0,0,,0,0,0
34,1968,1968-10-20,7,27.096,CIN,,MIA,L 22-24,1,7,7.00,0,0,0,,0,0,0
35,1968,1968-11-17,11,27.124,CIN,@,MIA,W 38-21,1,11,11.00,0,0,0,,0,0,0
