ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1978,1978-09-04,1,22.144,DAL,,BAL,W 38-0,,,,,,,,,,,,,,
2,1978,1978-09-10,2,22.150,DAL,@,NYG,W 34-24,3,42,14.00,0,0,0,,0,0,0,0.0,0,0,0
3,1978,1978-09-17,3,22.157,DAL,@,RAM,L 14-27,,,,,,,,,,,,,,
4,1978,1978-09-24,4,22.164,DAL,,STL,W 21-12,,,,,,,,,,,,,,
5,1978,1978-10-02,5,22.172,DAL,@,WAS,L 5-9,,,,,,,,,,,,,,
6,1978,1978-10-08,6,22.178,DAL,,NYG,W 24-3,,,,,,,,,,,,,,
7,1978,1978-10-15,7,22.185,DAL,@,STL,W 24-21,,,,,,,,,,,,,,
8,1978,1978-10-22,8,22.192,DAL,,PHI,W 14-7,,,,,,,,,,,,,,
9,1978,1978-10-26,9,22.196,DAL,,MIN,L 10-21,,,,,,,,,,,,,,
10,1978,1978-11-05,10,22.206,DAL,@,MIA,L 16-23,,,,,,,,,,,,,,
11,1978,1978-11-12,11,22.213,DAL,@,GNB,W 42-14,0,0,,0,0,0,,0,0,0,0.0,1,23,0
12,1978,1978-11-19,12,22.220,DAL,,NOR,W 27-7,,,,,,,,,,,,,,
13,1978,1978-11-23,13,22.224,DAL,,WAS,W 37-10,,,,,,,,,,,,,,
14,1978,1978-12-03,14,22.234,DAL,,NWE,W 17-10,,,,,,,,,,,,,,
15,1978,1978-12-10,15,22.241,DAL,@,PHI,W 31-13,,,,,,,,,,,,,,
16,1978,1978-12-17,16,22.248,DAL,@,NYJ,W 30-7,0,0,,0,1,0,0.00,0,0,0,0.0,1,12,0
17,1979,1979-09-02,1,23.142,DAL,@,STL,W 22-21,,,,,,,,,,,,,,
18,1979,1979-09-09,2,23.149,DAL,@,SFO,W 21-13,,,,,,,,,,,,,,
19,1979,1979-09-16,3,23.156,DAL,,CHI,W 24-20,,,,,,,,,,,,,,
20,1979,1979-09-24,4,23.164,DAL,@,CLE,L 7-26,,,,,,,,,,,,,,
21,1979,1979-09-30,5,23.170,DAL,,CIN,W 38-13,,,,,,,,,,,,,,
22,1979,1979-10-07,6,23.177,DAL,@,MIN,W 36-20,,,,,,,,,,,,,,
23,1979,1979-10-14,7,23.184,DAL,,RAM,W 30-6,0,0,,0,0,0,,0,0,0,0.0,1,0,0
24,1979,1979-10-21,8,23.191,DAL,,STL,W 22-13,,,,,,,,,,,,,,
25,1979,1979-10-28,9,23.198,DAL,@,PIT,L 3-14,,,,,,,,,,,,,,
26,1979,1979-11-04,10,23.205,DAL,@,NYG,W 16-14,,,,,,,,,,,,,,
27,1979,1979-11-12,11,23.213,DAL,,PHI,L 21-31,,,,,,,,,,,,,,
28,1979,1979-11-18,12,23.219,DAL,@,WAS,L 20-34,,,,,,,,,,,,,,
29,1979,1979-11-22,13,23.223,DAL,,HOU,L 24-30,,,,,,,,,,,,,,
30,1979,1979-12-02,14,23.233,DAL,,NYG,W 28-7,,,,,,,,,,,,,,
31,1979,1979-12-08,15,23.239,DAL,@,PHI,W 24-17,,,,,,,,,,,,,,
32,1979,1979-12-16,16,23.247,DAL,,WAS,W 35-34,,,,,,,,,,,,,,
33,1980,1980-09-08,1,24.148,DAL,@,WAS,W 17-3,,,,,,,,,,,,,,
34,1980,1980-09-14,2,24.154,DAL,@,DEN,L 20-41,,,,,,,,,,,,,,
35,1980,1980-09-21,3,24.161,DAL,,TAM,W 28-17,0,0,,0,0,0,,0,0,0,0.0,1,29,0
36,1980,1980-09-28,4,24.168,DAL,@,GNB,W 28-7,,,,,,,,,,,,,,
37,1980,1980-10-05,5,24.175,DAL,,NYG,W 24-3,0,0,,0,0,0,,0,0,0,0.0,1,3,0
38,1980,1980-10-12,6,24.182,DAL,,SFO,W 59-14,0,0,,0,0,0,,0,0,0,0.0,1,4,0
39,1980,1980-10-19,7,24.189,DAL,@,PHI,L 10-17,,,,,,,,,,,,,,
40,1980,1980-10-26,8,24.196,DAL,,SDG,W 42-31,0,0,,0,0,0,,0,0,0,0.0,1,0,0
41,1980,1980-11-02,9,24.203,DAL,@,STL,W 27-24,0,0,,0,0,0,,0,1,6,0.0,1,78,1
42,1980,1980-11-09,10,24.210,DAL,@,NYG,L 35-38,,,,,,,,,,,,,,
43,1980,1980-11-16,11,24.217,DAL,,STL,W 31-21,,,,,,,,,,,,,,
44,1980,1980-11-23,12,24.224,DAL,,WAS,W 14-10,,,,,,,,,,,,,,
45,1980,1980-11-27,13,24.228,DAL,,SEA,W 51-7,,,,,,,,,,,,,,
46,1980,1980-12-07,14,24.238,DAL,@,OAK,W 19-13,,,,,,,,,,,,,,
47,1980,1980-12-15,15,24.246,DAL,@,RAM,L 14-38,,,,,,,,,,,,,,
48,1980,1980-12-21,16,24.252,DAL,,PHI,W 35-27,,,,,,,,,,,,,,
49,1981,1981-09-06,1,25.146,DAL,@,WAS,W 26-10,0,0,,0,0,0,,0,0,0,0.0,1,96,0
