ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2003,2003-11-09,9,23.249,MIA,@,TEN,L 7-31,,4,2,55,27.50,0,50.0%,13.75,0,0,,0
2,2003,2003-11-16,10,23.256,MIA,,BAL,W 9-6,,2,,,,,0.0%,,,,,
3,2003,2003-11-23,11,23.263,MIA,,WAS,W 24-23,,0,0,0,,0,0.0%,,1,0,0.00,0
4,2003,2003-11-27,12,23.267,MIA,@,DAL,W 40-21,,,,,,,0.0%,,,,,
5,2003,2003-12-07,13,23.277,MIA,@,NWE,L 0-12,,,,,,,0.0%,,,,,
6,2003,2003-12-28,16,23.298,MIA,,NYJ,W 23-21,,,,,,,0.0%,,,,,
