ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1976,1976-09-12,1,21.359,CIN,,DEN,W 17-7,,,,,,,,,,
2,1976,1976-09-19,2,22.000,CIN,@,BAL,L 27-28,,,,,,,,,,
3,1976,1976-09-26,3,22.007,CIN,,GNB,W 28-7,,,,,,,,,,
4,1976,1976-10-03,4,22.014,CIN,@,CLE,W 45-24,,,,,,,,,,
5,1976,1976-10-10,5,22.021,CIN,,TAM,W 21-0,,,,,,,,,,
6,1976,1976-10-17,6,22.028,CIN,@,PIT,L 6-23,,,,,,,,,,
7,1976,1976-10-24,7,22.035,CIN,@,HOU,W 27-7,,,,,,,,,,
8,1976,1976-10-31,8,22.042,CIN,,CLE,W 21-6,,,,,,,,,,
9,1976,1976-11-08,9,22.050,CIN,,RAM,W 20-12,,,,,,,,,,
10,1976,1976-11-14,10,22.056,CIN,,HOU,W 31-27,0,0,,0,0,0,0.0,1,17,0
11,1976,1976-11-21,11,22.063,CIN,@,KAN,W 27-24,,,,,,,,,,
12,1976,1976-11-28,12,22.070,CIN,,PIT,L 3-7,,,,,,,,,,
13,1976,1976-12-06,13,22.078,CIN,@,OAK,L 20-35,,,,,,,,,,
14,1976,1976-12-12,14,22.084,CIN,@,NYJ,W 42-3,,,,,,,,,,
15,1977,1977-09-18,1,22.364,CIN,,CLE,L 3-13,0,0,,0,0,0,0.0,1,8,0
16,1977,1977-09-25,2,23.006,CIN,,SEA,W 42-20,0,0,,0,1,6,0.0,1,54,1
17,1977,1977-10-02,3,23.013,CIN,@,SDG,L 3-24,1,0,0.00,0,0,0,0.0,0,0,0
18,1977,1977-10-09,4,23.020,CIN,@,GNB,W 17-7,,,,,,,,,,
19,1977,1977-10-17,5,23.028,CIN,@,PIT,L 14-20,,,,,,,,,,
20,1977,1977-10-23,6,23.034,CIN,,DEN,L 13-24,,,,,,,,,,
21,1977,1977-10-30,7,23.041,CIN,,HOU,W 13-10,,,,,,,,,,
22,1977,1977-11-06,8,23.048,CIN,@,CLE,W 10-7,0,0,,0,0,0,0.0,1,5,0
23,1977,1977-11-13,9,23.055,CIN,@,MIN,L 10-42,,,,,,,,,,
24,1977,1977-11-20,10,23.062,CIN,,MIA,W 23-17,,,,,,,,,,
25,1977,1977-11-27,11,23.069,CIN,,NYG,W 30-13,,,,,,,,,,
26,1977,1977-12-04,12,23.076,CIN,@,KAN,W 27-7,,,,,,,,,,
27,1977,1977-12-10,13,23.082,CIN,,PIT,W 17-10,,,,,,,,,,
28,1977,1977-12-18,14,23.090,CIN,@,HOU,L 16-21,,,,,,,,,,
29,1978,1978-09-03,1,23.349,CIN,,KAN,L 23-24,,,,,,,,,,
30,1978,1978-09-10,2,23.356,CIN,@,CLE,L 10-13,,,,,,,,,,
31,1978,1978-09-17,3,23.363,CIN,,PIT,L 3-28,0,0,,0,0,0,0.0,1,11,0
