ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1956,1956-09-30,1,22.246,WAS,@,PIT,L 13-30,4,22,5.50,0,0,0,,0,0,0,,0,0,,,,,,
2,1956,1956-10-14,3,22.260,WAS,,CRD,L 3-31,3,13,4.33,0,0,0,,0,0,0,,0,0,,,,,,
3,1956,1956-10-21,4,22.267,WAS,,CLE,W 20-9,6,27,4.50,0,0,0,,0,0,0,,0,0,,,,,,
4,1956,1956-10-28,5,22.274,WAS,@,CRD,W 17-14,2,-5,-2.50,0,0,0,,0,0,0,,0,0,,,,,,
5,1956,1956-11-11,6,22.288,WAS,,DET,W 18-17,12,32,2.67,0,1,-5,-5.00,0,0,0,,0,0,,,,,,
6,1956,1956-11-18,7,22.295,WAS,,NYG,W 33-7,11,30,2.73,0,1,8,8.00,0,1,1,100.00,34,0,0,118.7,0,0,34.00,34.00
7,1956,1956-11-25,8,22.302,WAS,@,CLE,W 20-17,9,23,2.56,0,0,0,,0,0,0,,0,0,,,,,,
8,1956,1956-12-02,9,22.309,WAS,@,NYG,L 14-28,9,49,5.44,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
9,1956,1956-12-09,10,22.316,WAS,,PHI,W 19-17,14,45,3.21,0,2,17,8.50,0,0,0,,0,0,,,,,,
10,1956,1956-12-16,11,22.323,WAS,,PIT,L 0-23,10,44,4.40,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
11,1956,1956-12-23,12,22.330,WAS,@,BAL,L 17-19,16,54,3.38,0,2,36,18.00,1,0,0,,0,0,,,,,,
12,1957,1957-09-29,1,23.244,WAS,@,PIT,L 7-28,5,-3,-0.60,0,1,4,4.00,0,1,1,100.00,35,0,0,118.7,0,0,35.00,35.00
13,1957,1957-10-06,2,23.251,WAS,@,CRD,W 37-14,3,12,4.00,0,0,0,,0,0,0,,0,0,,,,,,
14,1957,1957-10-13,3,23.258,WAS,,NYG,L 20-24,5,18,3.60,0,0,0,,0,0,0,,0,0,,,,,,
15,1957,1957-10-20,4,23.265,WAS,,CRD,L 14-44,2,5,2.50,0,0,0,,0,0,0,,0,0,,,,,,
16,1957,1957-11-10,7,23.286,WAS,,BAL,L 17-21,2,-1,-0.50,0,0,0,,0,0,0,,0,0,,,,,,
17,1957,1957-12-08,11,23.314,WAS,,PHI,W 42-7,3,21,7.00,0,0,0,,0,0,0,,0,0,,,,,,
