ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1963,1963-09-08,1,22.007,BUF,@,SDG,L 10-14,10,40,4.00,0,3,12,4.00,0,0,0,,0,0,0,,0,0,0,0
2,1963,1963-09-15,2,22.014,BUF,@,OAK,L 17-35,2,1,0.50,0,3,11,3.67,0,3,49,16.33,0,0,0,,0,0,0,0
3,1963,1963-09-22,3,22.021,BUF,,KAN,T 27-27,0,0,,0,0,0,,0,1,31,31.00,0,0,0,,0,1,3,0
4,1963,1963-09-28,4,22.027,BUF,,HOU,L 20-31,0,0,,0,0,0,,0,3,60,20.00,0,0,0,,0,0,0,0
5,1963,1963-10-05,5,22.034,BUF,,OAK,W 12-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,0
6,1963,1963-10-20,7,22.049,BUF,@,HOU,L 14-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,10,0
7,1963,1963-11-17,11,22.077,BUF,,SDG,L 13-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,16,0
8,1964,1964-09-20,2,23.019,BUF,,DEN,W 30-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,14,0
9,1964,1964-09-26,3,23.025,BUF,,SDG,W 30-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,32,0
10,1964,1964-10-18,6,23.047,BUF,@,KAN,W 35-22,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,0
11,1964,1964-11-01,8,23.061,BUF,,HOU,W 24-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,0
12,1964,1964-11-08,9,23.068,BUF,@,NYJ,W 20-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,0
13,1964,1964-12-20,14,23.110,BUF,@,BOS,W 24-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,10,0
14,1965,1965-09-11,1,24.010,BUF,,BOS,W 24-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,21,0
15,1965,1965-09-26,3,24.025,BUF,,NYJ,W 33-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,3,0
16,1965,1965-10-03,4,24.032,BUF,,OAK,W 17-12,,,,,,,,,,,,,0,1,,0,,,
17,1965,1965-12-19,14,24.109,BUF,@,NYJ,L 12-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,0
18,1966,1966-12-18,14,25.108,BUF,,DEN,W 38-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,32,0
19,1967,1967-09-17,2,26.016,BUF,,HOU,L 3-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,14,0
20,1967,1967-11-12,9,26.072,BUF,@,NYJ,L 10-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,0
21,1968,1968-09-22,3,27.021,BUF,@,CIN,L 23-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,19,0
22,1968,1968-11-10,10,27.070,BUF,,MIA,L 17-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,17,0
23,1969,1969-09-14,1,28.013,BUF,,NYJ,L 19-33,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,28,0
24,1969,1969-10-26,7,28.055,BUF,@,MIA,L 6-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,15,0
25,1969,1969-11-02,8,28.062,BUF,,KAN,L 7-29,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,4,0
26,1970,1970-10-04,3,29.033,DEN,,KAN,W 26-13,,,,,,,,,,,,,,,,,,,
27,1970,1970-10-11,4,29.040,DEN,@,OAK,L 23-35,,,,,,,,,,,,,,,,,,,
28,1970,1970-10-18,5,29.047,DEN,,ATL,W 24-10,,,,,,,,,,,,,,,,,,,
29,1970,1970-11-01,7,29.061,DEN,,WAS,L 3-19,,,,,,,,,,,,,,,,,,,
30,1970,1970-11-08,8,29.068,DEN,@,SDG,L 21-24,,,,,,,,,,,,,,,,,,,
31,1970,1970-12-06,12,29.096,DEN,@,KAN,L 0-16,,,,,,,,,,,,,,,,,,,
32,1970,1970-12-13,13,29.103,DEN,,SDG,T 17-17,,,,,,,,,,,,,,,,,,,
33,1970,1970-12-20,14,29.110,DEN,,CLE,L 13-27,,,,,,,,,,,,,,,,,,,
34,1971,1971-09-19,1,30.018,DEN,,MIA,T 10-10,,,,,,,,,,,,,,,,,,,
35,1971,1971-10-03,3,30.032,DEN,,KAN,L 3-16,,,,,,,,,,,,,,,,,,,
36,1971,1971-10-10,4,30.039,DEN,,OAK,L 16-27,,,,,,,,,,,,,,,,,,,
37,1971,1971-10-17,5,30.046,DEN,,SDG,W 20-16,,,,,,,,,,,,,,,,,,,
38,1971,1971-10-24,6,30.053,DEN,@,CLE,W 27-0,,,,,,,,,,,,,,,,,,,
39,1971,1971-10-31,7,30.060,DEN,@,PHI,L 16-17,,,,,,,,,,,,,,,,,,,
40,1971,1971-11-07,8,30.067,DEN,,DET,L 20-24,,,,,,,,,,,,,,,,,,,
41,1971,1971-11-14,9,30.074,DEN,,CIN,L 10-24,,,,,,,,,,,,,,,,,,,
42,1971,1971-11-21,10,30.081,DEN,@,KAN,L 10-28,,,,,,,,,,,,,,,,,,,
43,1971,1971-11-28,11,30.088,DEN,@,PIT,W 22-10,,,,,,,,,,,,,,,,,,,
44,1971,1971-12-05,12,30.095,DEN,,CHI,W 6-3,,,,,,,,,,,,,,,,,,,
45,1971,1971-12-12,13,30.102,DEN,@,SDG,L 17-45,,,,,,,,,,,,,,,,,,,
46,1971,1971-12-19,14,30.109,DEN,@,OAK,L 13-21,,,,,,,,,,,,,,,,,,,
47,1972,1972-09-17,1,31.016,DEN,,HOU,W 30-17,,,,,,,,,,,,,,,,,,,
48,1972,1972-09-24,2,31.023,DEN,@,SDG,L 14-37,,,,,,,,,,,,,,,,,,,
49,1972,1972-10-01,3,31.030,DEN,,KAN,L 24-45,,,,,,,,,,,,,,,,,,,
50,1972,1972-10-08,4,31.037,DEN,@,CIN,L 10-21,,,,,,,,,,,,,,,,,,,
51,1972,1972-10-22,6,31.051,DEN,@,OAK,W 30-23,,,,,,,,,,,,,,,,,,,
52,1972,1972-10-29,7,31.058,DEN,,CLE,L 20-27,,,,,,,,,,,,,,,,,,,
53,1972,1972-11-05,8,31.065,DEN,@,NYG,L 17-29,,,,,,,,,,,,,,,,,,,
54,1972,1972-12-10,13,31.100,DEN,,SDG,W 38-13,,,,,,,,,,,,,,,,,,,
55,1972,1972-12-17,14,31.107,DEN,,NWE,W 45-21,,,,,,,,,,,,,,,,,,,
