ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1982,1982-09-13,1,23.059,PIT,@,DAL,W 36-28,,0,0,,0,3,3,100.0,3,4,75.0,0,12
2,1982,1982-09-19,2,23.065,PIT,,CIN,W 26-20,,0,0,,0,2,2,100.0,2,2,100.0,0,8
3,1982,1982-11-21,3,23.128,PIT,@,HOU,W 24-10,,0,0,,0,3,3,100.0,1,1,100.0,0,6
4,1982,1982-11-28,4,23.135,PIT,@,SEA,L 0-16,,,,,,,,,,,,,
5,1982,1982-12-05,5,23.142,PIT,,KAN,W 35-14,,0,0,,0,5,5,100.0,,,,0,5
6,1982,1982-12-12,6,23.149,PIT,@,BUF,L 0-13,,,,,,,,,,,,,
7,1982,1982-12-19,7,23.156,PIT,@,CLE,L 9-10,,0,0,,0,1,1,100.0,,,,0,1
8,1982,1982-12-26,8,23.163,PIT,,NWE,W 37-14,,0,0,,0,4,4,100.0,3,3,100.0,0,13
9,1982,1983-01-02,9,23.170,PIT,,CLE,W 37-21,,0,0,,0,4,4,100.0,1,2,50.0,0,7
10,1983,1983-09-04,1,24.050,PIT,,DEN,L 10-14,,0,0,,0,1,1,100.0,1,1,100.0,0,4
11,1983,1983-09-11,2,24.057,PIT,@,GNB,W 25-21,,0,0,,0,2,3,66.7,1,3,33.3,0,5
12,1983,1983-09-18,3,24.064,PIT,@,HOU,W 40-28,,0,0,,0,4,4,100.0,4,4,100.0,0,16
13,1983,1983-09-25,4,24.071,PIT,,NWE,L 23-28,,0,0,,0,2,2,100.0,3,3,100.0,0,11
14,1983,1983-10-02,5,24.078,PIT,,HOU,W 17-10,,0,0,,0,2,2,100.0,1,1,100.0,0,5
15,1983,1983-10-10,6,24.086,PIT,@,CIN,W 24-14,,0,0,,0,3,3,100.0,1,1,100.0,0,6
16,1983,1983-10-16,7,24.092,PIT,,CLE,W 44-17,,0,0,,0,5,5,100.0,3,3,100.0,0,14
17,1983,1983-10-23,8,24.099,PIT,@,SEA,W 27-21,,0,0,,0,3,3,100.0,2,3,66.7,0,9
18,1983,1983-10-30,9,24.106,PIT,,TAM,W 17-12,,0,0,,0,2,2,100.0,1,1,100.0,0,5
19,1983,1983-11-06,10,24.113,PIT,,SDG,W 26-3,,0,0,,0,2,2,100.0,4,4,100.0,0,14
20,1983,1983-11-13,11,24.120,PIT,@,BAL,W 24-13,,0,0,,0,3,3,100.0,1,2,50.0,0,6
21,1983,1983-11-20,12,24.127,PIT,,MIN,L 14-17,,0,0,,0,2,2,100.0,,,,0,2
22,1983,1983-11-24,13,24.131,PIT,@,DET,L 3-45,,0,0,,0,,,,1,1,100.0,0,3
23,1983,1983-12-04,14,24.141,PIT,,CIN,L 10-23,,0,0,,0,1,1,100.0,1,1,100.0,0,4
24,1983,1983-12-10,15,24.147,PIT,@,NYJ,W 34-7,,0,0,,0,4,4,100.0,2,2,100.0,0,10
25,1983,1983-12-18,16,24.155,PIT,@,CLE,L 17-30,,0,0,,0,2,2,100.0,1,1,100.0,0,5
26,1984,1984-09-02,1,25.048,PIT,,KAN,L 27-37,,0,0,,0,3,3,100.0,2,3,66.7,0,9
27,1984,1984-09-06,2,25.052,PIT,@,NYJ,W 23-17,,0,0,,0,2,2,100.0,3,6,50.0,0,11
