ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1993,1993-09-05,1,23.068,RAM,@,GNB,L 6-36,,3,2,45,22.50,0,66.7%,15.00,0,0,,0,0,0,,0,0,0
2,1993,1993-09-12,2,23.075,RAM,,PIT,W 27-0,,4,3,48,16.00,1,75.0%,12.00,0,0,,0,0,0,,0,1,6
3,1993,1993-09-19,3,23.082,RAM,@,NYG,L 10-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,
4,1993,1993-09-26,4,23.089,RAM,@,HOU,W 28-13,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
5,1993,1993-10-03,5,23.096,RAM,,NOR,L 6-37,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0
6,1993,1993-10-14,6,23.107,RAM,@,ATL,L 24-30,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
7,1993,1993-10-24,7,23.117,RAM,,DET,L 13-16,,2,2,35,17.50,0,100.0%,17.50,0,0,,0,1,-15,-15.00,0,0,0
8,1993,1993-10-31,8,23.124,RAM,@,SFO,L 17-40,,4,3,17,5.67,0,75.0%,4.25,0,0,,0,0,0,,0,0,0
9,1993,1993-11-14,9,23.138,RAM,,ATL,L 0-13,,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0
10,1993,1993-11-21,10,23.145,RAM,,WAS,W 10-6,,1,1,25,25.00,1,100.0%,25.00,1,7,7.00,0,0,0,,0,1,6
11,1993,1993-11-28,11,23.152,RAM,,SFO,L 10-35,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,
12,1993,1993-12-05,12,23.159,RAM,@,PHO,L 10-38,,5,2,12,6.00,1,40.0%,2.40,0,0,,0,0,0,,0,1,6
13,1993,1993-12-12,13,23.166,RAM,@,NOR,W 23-20,,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0
