ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists
1,2017,2017-09-07,1,23.148,NWE,,KAN,L 27-42,,0.0,1,0
2,2017,2017-09-17,2,23.158,NWE,@,NOR,W 36-20,*,0.0,0,0
3,2017,2017-09-24,3,23.165,NWE,,HOU,W 36-33,*,0.0,1,2
4,2017,2017-10-01,4,23.172,NWE,,CAR,L 30-33,*,0.0,0,0
5,2017,2017-10-05,5,23.176,NWE,@,TAM,W 19-14,*,0.0,1,1
6,2017,2017-10-15,6,23.186,NWE,@,NYJ,W 24-17,,0.0,1,0
7,2017,2017-10-22,7,23.193,NWE,,ATL,W 23-7,,1.0,2,1
8,2017,2017-10-29,8,23.200,NWE,,LAC,W 21-13,*,0.0,1,1
9,2017,2017-11-12,9,23.214,NWE,@,DEN,W 41-16,*,0.0,2,1
10,2017,2017-11-19,10,23.221,NWE,@,OAK,W 33-8,,0.0,0,0
11,2017,2017-11-26,11,23.228,NWE,,MIA,W 35-17,,0.0,0,0
12,2017,2017-12-03,12,23.235,NWE,@,BUF,W 23-3,,0.0,1,1
13,2017,2017-12-11,13,23.243,NWE,@,MIA,L 20-27,,1.0,1,1
14,2017,2017-12-17,14,23.249,NWE,@,PIT,W 27-24,,0.0,0,0
15,2017,2017-12-24,15,23.256,NWE,,BUF,W 37-16,,0.0,0,0
16,2017,2017-12-31,16,23.263,NWE,,NYJ,W 26-6,,0.0,0,0
17,2018,2018-09-09,1,24.150,NWE,,HOU,W 27-20,,0.0,1,4
18,2018,2018-09-16,2,24.157,NWE,@,JAX,L 20-31,,0.0,1,0
19,2018,2018-09-23,3,24.164,NWE,@,DET,L 10-26,,0.0,1,0
