ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring
1,2011,2011-10-23,7,22.125,OAK,,KAN,L 0-28,,,,,,,,,,,,,0,,,,,0.0%,,,,,,,,
2,2012,2012-12-16,14,23.179,OAK,,KAN,W 15-0,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,0,,0,0.0%,,0,0,,0,,0,0
3,2012,2012-12-23,15,23.186,OAK,@,CAR,L 6-17,,1,1,100.00,5,0,0,87.5,0,0,5.00,5.00,1,1,22,22.00,0,100.0%,22.00,1,2,2.00,0,,0,0
4,2012,2012-12-30,16,23.193,OAK,@,SDG,L 21-24,*,13,28,46.43,150,2,1,72.0,0,0,5.36,5.18,0,0,0,,0,0.0%,,9,49,5.44,1,,1,6
5,2013,2013-09-08,1,24.080,OAK,@,IND,L 17-21,*,19,29,65.52,217,1,2,70.6,1,16,7.48,5.07,0,0,0,,0,0.0%,,13,112,8.62,0,,0,0
6,2013,2013-09-15,2,24.087,OAK,,JAX,W 19-9,*,15,24,62.50,126,0,0,76.0,3,12,5.25,5.25,0,0,0,,0,0.0%,,9,50,5.56,0,,0,0
7,2013,2013-09-23,3,24.095,OAK,@,DEN,L 21-37,*,19,28,67.86,281,1,0,112.4,3,23,10.04,10.75,0,0,0,,0,0.0%,,4,36,9.00,0,,0,0
8,2013,2013-10-06,5,24.108,OAK,,SDG,W 27-17,*,18,23,78.26,221,2,0,135.7,4,26,9.61,11.35,0,0,0,,0,0.0%,,11,31,2.82,0,,0,0
9,2013,2013-10-13,6,24.115,OAK,@,KAN,L 7-24,*,18,34,52.94,216,1,3,45.7,9,63,6.35,2.97,0,0,0,,0,0.0%,,7,56,8.00,0,,0,0
10,2013,2013-10-27,7,24.129,OAK,,PIT,W 21-18,*,10,19,52.63,88,0,2,25.7,2,6,4.63,-0.11,0,0,0,,0,0.0%,,9,106,11.78,1,,1,6
11,2013,2013-11-03,8,24.136,OAK,,PHI,L 20-49,*,22,41,53.66,288,0,2,55.7,3,25,7.02,4.83,0,0,0,,0,0.0%,,10,94,9.40,0,,0,0
12,2013,2013-11-10,9,24.143,OAK,@,NYG,L 20-24,*,11,26,42.31,122,0,1,40.9,4,16,4.69,2.96,0,0,0,,0,0.0%,,5,19,3.80,1,,1,6
13,2013,2013-12-08,13,24.171,OAK,@,NYJ,L 27-37,,2,5,40.00,20,0,0,52.1,0,0,4.00,4.00,0,0,0,,0,0.0%,,3,4,1.33,0,,0,0
14,2013,2013-12-15,14,24.178,OAK,,KAN,L 31-56,,1,5,20.00,12,0,1,0.0,0,0,2.40,-6.60,0,0,0,,0,0.0%,,3,19,6.33,0,,0,0
15,2013,2013-12-29,16,24.192,OAK,,DEN,L 14-34,*,21,38,55.26,207,2,0,88.4,2,16,5.45,6.50,0,0,0,,0,0.0%,,9,49,5.44,0,,0,0
