ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1995,1995-09-17,3,22.095,OAK,@,KAN,L 17-23,,,,,,,,,,,
2,1995,1995-09-24,4,22.102,OAK,,PHI,W 48-17,,,,,,,,,,,
3,1995,1995-10-01,5,22.109,OAK,@,NYJ,W 47-10,,,,,,,,,,,
4,1995,1995-10-08,6,22.116,OAK,,SEA,W 34-14,,,,,,,,,,,
5,1995,1995-10-16,7,22.124,OAK,@,DEN,L 0-27,,,,,,,,,,,
6,1995,1995-10-22,8,22.130,OAK,,IND,W 30-17,,,,,,,,,,,
7,1995,1995-11-05,9,22.144,OAK,@,CIN,W 20-17,,,,,,,,,,,
8,1995,1995-11-12,10,22.151,OAK,@,NYG,W 17-13,,,,,,,,,,,
9,1995,1995-11-19,11,22.158,OAK,,DAL,L 21-34,,,,,,,,,,,
10,1995,1995-11-27,12,22.166,OAK,@,SDG,L 6-12,,,,,,,,,,,
11,1995,1995-12-10,14,22.179,OAK,,PIT,L 10-29,,,,,,,,,,,
12,1995,1995-12-17,15,22.186,OAK,@,SEA,L 10-44,,,,,,,,,,,
13,1995,1995-12-24,16,22.193,OAK,,DEN,L 28-31,,,,,,,,,,,
14,1996,1996-09-01,1,23.079,OAK,@,BAL,L 14-19,0,0,,0,0,0,,0,,,
15,1996,1996-09-08,2,23.086,OAK,@,KAN,L 3-19,0,0,,0,0,0,,0,,,
16,1996,1996-09-15,3,23.093,OAK,,JAX,W 17-3,0,0,,0,0,0,,0,,,
17,1996,1996-09-22,4,23.100,OAK,,SDG,L 34-40,0,0,,0,0,0,,0,,,
18,1996,1996-09-29,5,23.107,OAK,@,CHI,L 17-19,5,123,24.60,0,0,0,,0,0,0,0
19,1996,1996-10-06,6,23.114,OAK,@,NYJ,W 34-13,2,53,26.50,0,0,,,0,0,0,0
20,1996,1996-10-13,7,23.121,OAK,,DET,W 37-21,4,77,19.25,0,0,,,0,0,0,0
21,1996,1996-10-21,8,23.129,OAK,@,SDG,W 23-14,2,49,24.50,0,0,0,,0,0,0,0
22,1996,1996-11-04,9,23.143,OAK,,DEN,L 21-22,6,104,17.33,0,0,0,,0,0,0,0
23,1996,1996-11-10,10,23.149,OAK,@,TAM,L 17-20,3,62,20.67,0,0,0,,0,0,0,0
24,1996,1996-11-17,11,23.156,OAK,,MIN,L 13-16,1,24,24.00,0,0,0,,0,0,0,0
25,1996,1996-11-24,12,23.163,OAK,@,SEA,W 27-21,1,18,18.00,0,0,0,,0,0,0,0
26,1996,1996-12-01,13,23.170,OAK,,MIA,W 17-7,0,0,,0,0,0,,0,,,
27,1996,1996-12-09,14,23.178,OAK,,KAN,W 26-7,0,0,,0,0,0,,0,,,
28,1996,1996-12-15,15,23.184,OAK,@,DEN,L 19-24,3,54,18.00,0,0,0,,0,1,1,0
29,1996,1996-12-22,16,23.191,OAK,,SEA,L 21-28,2,58,29.00,0,0,47,,0,0,0,0
