ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks,def_int,def_int_yds,def_int_td
1,1983,1983-09-04,1,21.314,BAL,@,NWE,W 29-23,2.0,0,0,0
2,1983,1983-09-11,2,21.321,BAL,,DEN,L 10-17,3.0,0,0,0
3,1983,1983-09-18,3,21.328,BAL,@,BUF,L 23-28,1.0,0,0,0
4,1983,1983-09-25,4,21.335,BAL,,CHI,W 22-19,,,,
5,1983,1983-10-02,5,21.342,BAL,@,CIN,W 34-31,,,,
6,1983,1983-10-09,6,21.349,BAL,,NWE,W 12-7,1.0,0,0,0
7,1983,1983-10-16,7,21.356,BAL,,BUF,L 7-30,,,,
8,1983,1983-10-23,8,21.363,BAL,,MIA,L 7-21,,,,
9,1983,1983-10-30,9,22.005,BAL,@,PHI,W 22-21,,,,
10,1983,1983-11-06,10,22.012,BAL,@,NYJ,W 17-14,,,,
11,1983,1983-11-13,11,22.019,BAL,,PIT,L 13-24,1.0,0,0,0
12,1983,1983-11-20,12,22.026,BAL,@,MIA,L 0-37,,,,
13,1983,1983-11-27,13,22.033,BAL,@,CLE,L 23-41,1.0,0,0,0
14,1983,1983-12-04,14,22.040,BAL,,NYJ,L 6-10,,,,
15,1983,1983-12-11,15,22.047,BAL,@,DEN,L 19-21,,,,
16,1983,1983-12-18,16,22.054,BAL,,HOU,W 20-10,2.0,1,31,0
17,1984,1984-09-02,1,22.313,IND,,NYJ,L 14-23,1.0,0,0,0
18,1984,1984-09-09,2,22.320,IND,@,HOU,W 35-21,1.0,0,0,0
19,1984,1984-09-16,3,22.327,IND,,STL,L 33-34,1.0,0,0,0
20,1984,1984-09-23,4,22.334,IND,@,MIA,L 7-44,,,,
21,1984,1984-09-30,5,22.341,IND,,BUF,W 31-17,2.0,0,0,0
22,1984,1984-10-07,6,22.348,IND,,WAS,L 7-35,,,,
23,1984,1984-10-14,7,22.355,IND,@,PHI,L 7-16,,,,
24,1984,1984-10-21,8,22.362,IND,,PIT,W 17-16,1.0,0,0,0
25,1984,1984-10-28,9,23.003,IND,@,DAL,L 3-22,,,,
26,1984,1984-11-04,10,23.010,IND,,SDG,L 10-38,,,,
27,1984,1984-11-11,11,23.017,IND,@,NYJ,W 9-5,,,,
28,1984,1984-11-18,12,23.024,IND,,NWE,L 17-50,1.0,0,0,0
29,1984,1984-11-25,13,23.031,IND,@,RAI,L 7-21,0.5,0,0,0
30,1984,1984-12-02,14,23.038,IND,@,BUF,L 15-21,1.0,0,0,0
31,1984,1984-12-09,15,23.045,IND,,MIA,L 17-35,,,,
32,1984,1984-12-16,16,23.052,IND,@,NWE,L 10-16,,,,
33,1985,1985-10-27,8,24.002,DET,,MIA,W 31-21,,,,
34,1985,1985-11-03,9,24.009,DET,@,MIN,L 13-16,,,,
35,1985,1985-11-10,10,24.016,DET,@,CHI,L 3-24,,,,
36,1985,1985-11-17,11,24.023,DET,,MIN,W 41-21,,,,
37,1985,1985-11-24,12,24.030,DET,@,TAM,L 16-19,,,,
38,1985,1985-11-28,13,24.034,DET,,NYJ,W 31-20,,,,
39,1985,1985-12-08,14,24.044,DET,@,NWE,L 6-23,,,,
40,1985,1985-12-15,15,24.051,DET,,GNB,L 23-26,,,,
41,1985,1985-12-22,16,24.058,DET,,CHI,L 17-37,,,,
42,1986,1986-09-07,1,24.317,DET,@,MIN,W 13-10,,,,
43,1986,1986-09-14,2,24.324,DET,,DAL,L 7-31,,,,
44,1986,1986-09-21,3,24.331,DET,,TAM,L 20-24,,,,
45,1986,1986-09-28,4,24.338,DET,@,CLE,L 21-24,,,,
46,1986,1986-10-05,5,24.345,DET,,HOU,W 24-13,,,,
47,1986,1986-10-12,6,24.352,DET,@,GNB,W 21-14,,,,
48,1986,1986-10-19,7,24.359,DET,@,RAM,L 10-14,,,,
49,1986,1986-10-26,8,25.001,DET,@,CHI,L 7-13,,,,
50,1986,1986-11-02,9,25.008,DET,,CIN,L 17-24,,,,
51,1986,1986-11-09,10,25.015,DET,,MIN,L 10-24,,,,
52,1986,1986-11-16,11,25.022,DET,@,PHI,W 13-11,1.5,0,0,0
53,1986,1986-11-23,12,25.029,DET,@,TAM,W 38-17,,,,
54,1986,1986-11-27,13,25.033,DET,,GNB,L 40-44,0.5,0,0,0
55,1986,1986-12-07,14,25.043,DET,@,PIT,L 17-27,,,,
56,1986,1986-12-15,15,25.051,DET,,CHI,L 13-16,,,,
57,1987,1987-09-13,1,25.323,DET,@,MIN,L 19-34,,,,
58,1987,1987-09-20,2,25.330,DET,@,RAI,L 7-27,,,,
59,1987,1987-10-25,6,26.000,DET,,GNB,L 33-34,,,,
60,1987,1987-11-01,7,26.007,DET,@,DEN,L 0-34,,,,
61,1987,1987-11-08,8,26.014,DET,,DAL,W 27-17,,,,
62,1987,1987-11-15,9,26.021,DET,@,WAS,L 13-20,,,,
63,1987,1987-11-22,10,26.028,DET,@,CHI,L 10-30,,,,
64,1987,1987-11-26,11,26.032,DET,,KAN,L 20-27,,,,
65,1987,1987-12-06,12,26.042,DET,,RAM,L 16-37,,,,
66,1987,1987-12-13,13,26.049,DET,@,TAM,W 20-10,,,,
67,1987,1987-12-20,14,26.056,DET,,MIN,L 14-17,,,,
68,1987,1987-12-27,15,26.063,DET,@,ATL,W 30-13,,,,
69,1989,1989-09-10,1,27.320,SEA,@,PHI,L 7-31,,,,
70,1989,1989-09-17,2,27.327,SEA,,PHO,L 24-34,,,,
71,1989,1989-09-24,3,27.334,SEA,@,NWE,W 24-3,,,,
72,1989,1989-10-01,4,27.341,SEA,@,RAI,W 24-20,,,,
73,1989,1989-10-08,5,27.348,SEA,,KAN,L 16-20,,,,
74,1989,1989-10-15,6,27.355,SEA,@,SDG,W 17-16,,,,
75,1989,1989-10-22,7,27.362,SEA,,DEN,L 21-24,,,,
76,1989,1989-10-29,8,28.004,SEA,,SDG,W 10-7,,,,
77,1989,1989-11-05,9,28.011,SEA,@,KAN,L 10-20,,,,
