ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2012,2012-11-18,10,24.138,IND,@,NWE,L 24-59,,,,,,,0.0%,,,,,,,
2,2012,2012-11-25,11,24.145,IND,,BUF,W 20-13,,,,,,,0.0%,,,,,,,
3,2012,2012-12-02,12,24.152,IND,@,DET,W 35-33,,,,,,,0.0%,,,,,,,
4,2012,2012-12-09,13,24.159,IND,,TEN,W 27-23,,,,,,,0.0%,,,,,,,
5,2012,2012-12-16,14,24.166,IND,@,HOU,L 17-29,,0,,,,,0.0%,,,,,,,
6,2012,2012-12-23,15,24.173,IND,@,KAN,W 20-13,,,,,,,0.0%,,,,,,,
7,2012,2012-12-30,16,24.180,IND,,HOU,W 28-16,,,,,,,0.0%,,,,,,,
8,2013,2013-10-27,8,25.116,ARI,,ATL,W 27-13,,1,1,51,51.00,0,100.0%,51.00,0.0,0,0,0,0,0
9,2013,2013-11-10,9,25.130,ARI,,HOU,W 27-24,,,0,0,,0,0.0%,,0.0,0,1,0,0,0
10,2013,2013-11-17,10,25.137,ARI,@,JAX,W 27-14,,,,,,,0.0%,,,,,,,
11,2014,2014-10-05,5,26.094,CHI,@,CAR,L 24-31,,0,,,,,0.0%,,,,,,,
12,2014,2014-10-12,6,26.101,CHI,@,ATL,W 27-13,,0,0,0,,0,0.0%,,0.0,1,0,0,0,0
13,2014,2014-10-19,7,26.108,CHI,,MIA,L 14-27,,0,0,0,,0,0.0%,,0.0,1,0,0,0,0
14,2014,2014-10-26,8,26.115,CHI,@,NWE,L 23-51,,,,,,,0.0%,,,,,,,
15,2014,2014-11-09,9,26.129,CHI,@,GNB,L 14-55,,0,,,,,0.0%,,,,,,,
16,2014,2014-12-07,13,26.157,JAX,,HOU,L 13-27,,,,,,,0.0%,,,,,,,
17,2014,2014-12-28,16,26.178,JAX,@,HOU,L 17-23,,,,,,,0.0%,,,,,,,
18,2015,2015-09-13,1,27.072,CAR,@,JAX,W 20-9,,0,0,0,,0,0.0%,,0.0,0,0,0,0,0
19,2015,2015-09-20,2,27.079,CAR,,HOU,W 24-17,,0,0,0,,0,0.0%,,0.0,0,0,0,0,0
20,2015,2015-09-27,3,27.086,CAR,,NOR,W 27-22,,0,0,0,,0,0.0%,,0.0,0,0,0,0,0
21,2015,2015-10-04,4,27.093,CAR,@,TAM,W 37-23,,0,0,0,,0,0.0%,,0.0,1,1,0,0,0
22,2015,2015-10-18,5,27.107,CAR,@,SEA,W 27-23,,0,0,0,,0,0.0%,,0.0,0,0,0,0,0
23,2015,2015-10-25,6,27.114,CAR,,PHI,W 27-16,,0,0,0,,0,0.0%,,0.0,0,0,0,0,0
24,2015,2015-11-02,7,27.122,CAR,,IND,W 29-26,,0,0,0,,0,0.0%,,0.0,0,0,0,0,0
25,2015,2015-11-08,8,27.128,CAR,,GNB,W 37-29,,0,0,0,,0,0.0%,,0.0,0,0,0,0,0
26,2015,2015-11-15,9,27.135,CAR,@,TEN,W 27-10,,0,0,0,,0,0.0%,,0.0,0,0,0,0,0
27,2015,2015-11-22,10,27.142,CAR,,WAS,W 44-16,,0,0,0,,0,0.0%,,0.0,0,0,0,0,0
28,2015,2015-11-26,11,27.146,CAR,@,DAL,W 33-14,,0,0,0,,0,0.0%,,0.0,0,0,0,0,0
29,2015,2015-12-06,12,27.156,CAR,@,NOR,W 41-38,,0,0,0,,0,0.0%,,0.0,0,0,0,0,0
30,2015,2015-12-13,13,27.163,CAR,,ATL,W 38-0,,0,0,0,,0,0.0%,,0.0,1,0,0,0,0
31,2015,2015-12-20,14,27.170,CAR,@,NYG,W 38-35,,0,0,0,,0,0.0%,,0.0,0,0,0,0,0
32,2015,2015-12-27,15,27.177,CAR,@,ATL,L 13-20,,0,0,0,,0,0.0%,,0.0,0,0,0,0,0
33,2015,2016-01-03,16,27.184,CAR,,TAM,W 38-10,,0,0,0,,0,0.0%,,0.0,0,0,0,0,0
34,2016,2016-09-08,1,28.067,CAR,@,DEN,L 20-21,,0,0,0,,0,0.0%,,0.0,0,0,0,0,0
35,2016,2016-10-10,5,28.099,CAR,,TAM,L 14-17,,0,0,0,,0,0.0%,,0.0,0,0,0,0,0
36,2016,2016-10-16,6,28.105,CAR,@,NOR,L 38-41,,0,0,0,,0,0.0%,,0.0,5,1,1,19,0
