ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2004,2004-10-03,4,22.284,DEN,@,TAM,W 16-13,,0,0,0,,0,0.0%,,0,0,,0,2,19,9.50,0
2,2004,2004-10-10,5,22.291,DEN,,CAR,W 20-17,,0,0,0,,0,0.0%,,0,0,,0,2,10,5.00,0
3,2004,2004-10-17,6,22.298,DEN,@,OAK,W 31-3,,0,0,0,,0,0.0%,,0,0,,0,4,59,14.75,0
4,2004,2004-10-25,7,22.306,DEN,@,CIN,L 10-23,,0,0,0,,0,0.0%,,2,35,17.50,0,1,2,2.00,0
5,2004,2004-11-28,11,22.340,DEN,,OAK,L 24-25,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0
6,2004,2004-12-05,12,22.347,DEN,@,SDG,L 17-20,,,,,,,0.0%,,,,,,,,,
7,2004,2004-12-12,13,22.354,DEN,,MIA,W 20-17,,0,0,0,,0,0.0%,,0,0,,0,5,23,4.60,0
8,2004,2004-12-19,14,22.361,DEN,@,KAN,L 17-45,,7,5,40,8.00,0,71.4%,5.71,8,155,19.38,0,1,0,0.00,0
9,2004,2004-12-25,15,23.001,DEN,@,TEN,W 37-16,,0,0,0,,0,0.0%,,4,96,24.00,0,2,6,3.00,0
10,2004,2005-01-02,16,23.009,DEN,,IND,W 33-14,,0,0,0,,0,0.0%,,1,20,20.00,0,2,16,8.00,0
