ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1992,1992-09-06,1,22.167,CIN,@,SEA,W 21-3,,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0,,0,0,0,,,,,,3,30,10.00,0,0,0
2,1992,1992-09-13,2,22.174,CIN,,RAI,W 24-21,,3,2,27,13.50,0,66.7%,9.00,0,0,,0,0,0,,0,0,0,,,,,,1,1,1.00,0,0,0
3,1992,1992-09-20,3,22.181,CIN,@,GNB,L 23-24,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,2,100,50.00,1,1,6
4,1992,1992-09-27,4,22.188,CIN,,MIN,L 7-42,,3,1,13,13.00,0,33.3%,4.33,0,0,,0,0,0,,0,0,0,,,,,,1,26,26.00,0,0,0
5,1992,1992-10-11,5,22.202,CIN,,HOU,L 24-38,,5,1,38,38.00,0,20.0%,7.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
6,1992,1992-10-19,6,22.210,CIN,@,PIT,L 0-20,,3,2,25,12.50,0,66.7%,8.33,0,0,,0,0,0,,0,0,0,,,,,,3,31,10.33,0,0,0
7,1992,1992-10-25,7,22.216,CIN,@,HOU,L 10-26,,4,2,47,23.50,0,50.0%,11.75,0,0,,0,0,0,,0,0,0,,,,,,1,17,17.00,0,0,0
8,1992,1992-11-01,8,22.223,CIN,,CLE,W 30-10,,7,2,34,17.00,0,28.6%,4.86,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
9,1992,1992-11-08,9,22.230,CIN,@,CHI,W 31-28,,3,2,29,14.50,1,66.7%,9.67,0,0,,0,0,0,,0,0,0,,,,,,2,4,2.00,0,1,6
10,1992,1992-11-15,10,22.237,CIN,@,NYJ,L 14-17,,3,2,24,12.00,0,66.7%,8.00,0,0,,0,0,0,,0,0,0,,,,,,1,4,4.00,0,0,0
