ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2004,2004-09-12,1,22.089,DAL,@,MIN,L 17-35,,,,,,,,,,,
2,2004,2004-09-19,2,22.096,DAL,,CLE,W 19-12,,,,,,,,,,,
3,2004,2004-09-27,3,22.104,DAL,@,WAS,W 21-18,,,,,,,,,,,
4,2004,2004-10-10,4,22.117,DAL,,NYG,L 10-26,,2,43,21.50,0,0.0,,,0,0,0
5,2004,2004-10-17,5,22.124,DAL,,PIT,L 20-24,,,,,,,,,,,
6,2004,2004-10-24,6,22.131,DAL,@,GNB,L 20-41,,,,,,,,,,,
7,2004,2004-10-31,7,22.138,DAL,,DET,W 31-21,,0,0,,0,1.0,,,0,0,0
8,2004,2004-11-07,8,22.145,DAL,@,CIN,L 3-26,,,,,,,,,,,
9,2004,2004-11-15,9,22.153,DAL,,PHI,L 21-49,*,,,,,,,,,,
10,2004,2004-11-21,10,22.159,DAL,@,BAL,L 10-30,,,,,,,,,,,
11,2004,2004-11-25,11,22.163,DAL,,CHI,W 21-7,,,,,,,,,,,
12,2004,2004-12-06,12,22.174,DAL,@,SEA,W 43-39,,,,,,,,,,,
13,2004,2004-12-12,13,22.180,DAL,,NOR,L 13-27,,,,,,,,,,,
14,2004,2004-12-19,14,22.187,DAL,@,PHI,L 7-12,,,,,,,,,,,
15,2004,2004-12-26,15,22.194,DAL,,WAS,W 13-10,,,,,,,,,,,
16,2004,2005-01-02,16,22.201,DAL,@,NYG,L 24-28,,,,,,,,,,,
17,2005,2005-09-11,1,23.088,DAL,@,SDG,W 28-24,,,,,,,,,,,
18,2005,2005-09-19,2,23.096,DAL,,WAS,L 13-14,,,,,,,,,,,
19,2005,2005-09-25,3,23.102,DAL,@,SFO,W 34-31,,,,,,,,,,,
20,2005,2005-10-02,4,23.109,DAL,@,OAK,L 13-19,,,,,,,,,,,
21,2005,2005-10-09,5,23.116,DAL,,PHI,W 33-10,,,,,,,,,,,
22,2005,2005-10-16,6,23.123,DAL,,NYG,W 16-13,,,,,,,,,,,
23,2005,2005-10-23,7,23.130,DAL,@,SEA,L 10-13,,,,,,,,,,,
24,2005,2005-10-30,8,23.137,DAL,,ARI,W 34-13,,,,,,,,,,,
25,2005,2005-11-14,9,23.152,DAL,@,PHI,W 21-20,,,,,,,,,,,
