ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1968,1968-09-15,1,22.196,SFO,@,BAL,L 10-27,0,0,,0,1,3,3.00,0,0,0,0
2,1968,1968-09-22,2,22.203,SFO,,STL,W 35-17,1,23,23.00,0,1,3,3.00,0,0,0,0
3,1968,1968-09-29,3,22.210,SFO,,ATL,W 28-13,0,0,,0,1,9,9.00,0,1,0,0
4,1968,1968-10-27,7,22.238,SFO,@,DET,W 14-7,0,0,,0,3,11,3.67,0,1,3,0
5,1968,1968-11-10,9,22.252,SFO,@,CHI,L 19-27,0,0,,0,1,0,0.00,0,0,0,0
6,1968,1968-11-17,10,22.259,SFO,,RAM,T 20-20,0,0,,0,1,2,2.00,0,0,0,0
7,1968,1968-12-01,12,22.273,SFO,,GNB,W 27-20,0,0,,0,2,8,4.00,0,0,0,0
8,1968,1968-12-08,13,22.280,SFO,,MIN,L 20-30,0,0,,0,1,2,2.00,0,0,0,0
9,1968,1968-12-15,14,22.287,SFO,@,ATL,W 14-12,0,0,,0,1,-5,-5.00,0,0,0,0
10,1969,1969-09-21,1,23.202,SFO,@,ATL,L 12-24,2,24,12.00,0,0,0,,0,0,0,0
11,1969,1969-09-28,2,23.209,SFO,@,GNB,L 7-14,0,0,,0,2,7,3.50,0,0,0,0
12,1969,1969-10-05,3,23.216,SFO,,WAS,T 17-17,0,0,,0,1,1,1.00,0,1,31,0
13,1969,1969-10-12,4,23.223,SFO,,RAM,L 21-27,0,0,,0,1,1,1.00,0,0,0,0
14,1969,1969-10-19,5,23.230,SFO,,ATL,L 7-21,2,41,20.50,0,1,3,3.00,0,0,0,0
15,1969,1969-10-26,6,23.237,SFO,@,BAL,W 24-21,1,25,25.00,0,0,0,,0,0,0,0
16,1969,1969-11-02,7,23.244,SFO,,DET,L 14-26,3,65,21.67,0,0,0,,0,0,0,0
17,1970,1970-09-20,1,24.201,SFO,,WAS,W 26-17,1,8,8.00,0,2,14,7.00,0,1,20,0
18,1970,1970-09-27,2,24.208,SFO,,CLE,W 34-31,,,,,,,,,,,
19,1970,1970-10-04,3,24.215,SFO,@,ATL,L 20-21,,,,,,,,,,,
