ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1960,1960-09-11,1,22.295,HOU,@,OAK,W 37-22,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,8,266,33.25,0
2,1960,1960-09-18,2,22.302,HOU,,LAC,W 38-28,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,-4,-2.00,0,,,,,,,0,0,6,244,40.67,0
3,1960,1960-09-25,3,22.309,HOU,,OAK,L 13-14,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,3,126,42.00,0
4,1960,1960-10-09,4,22.323,HOU,,NYT,W 27-21,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,1,43,43.00,0
5,1960,1960-10-16,5,22.330,HOU,,DTX,W 20-10,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,4,162,40.50,0
6,1960,1960-10-23,6,22.337,HOU,@,NYT,W 42-28,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,5,190,38.00,0
7,1960,1960-10-30,7,22.344,HOU,@,BUF,L 24-25,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,4,111,27.75,0
8,1960,1960-11-06,8,22.351,HOU,@,DEN,W 45-25,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,5,157,31.40,0
9,1960,1960-11-13,9,22.358,HOU,@,LAC,L 21-24,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,1,38,38.00,0
10,1960,1960-11-20,10,22.365,HOU,,DEN,W 20-10,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,6,195,32.50,0
11,1960,1960-11-25,11,23.004,HOU,@,BOS,W 24-10,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,5,164,32.80,0
12,1960,1960-12-04,12,23.013,HOU,@,DTX,L 0-24,,4,6,66.67,43,0,0,87.5,0,0,7.17,7.17,1,7,7.00,0,,,,,,,0,0,7,230,32.86,0
13,1960,1960-12-11,13,23.020,HOU,,BUF,W 31-23,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,6,229,38.17,0
14,1960,1960-12-18,14,23.027,HOU,,BOS,W 37-21,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,5,210,42.00,0
15,1961,1961-09-09,1,23.292,HOU,,OAK,W 55-0,,0,0,,0,0,,,,,,,0,0,,0,1,1,100.0,,,,0,1,,,,
