ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1986,1986-09-07,1,22.019,BUF,,NYJ,L 24-28,,0,0,,0,,,,,,,,
2,1986,1986-09-14,2,22.026,BUF,@,CIN,L 33-36,,0,0,,0,,,,,,,,
3,1986,1986-09-21,3,22.033,BUF,,STL,W 17-10,,0,0,,0,,,,,,,,
4,1986,1986-09-28,4,22.040,BUF,,KAN,L 17-20,,0,0,,0,,,,,,,,
5,1986,1986-10-05,5,22.047,BUF,@,NYJ,L 13-14,,0,0,,0,,,,,,,,
6,1986,1986-10-12,6,22.054,BUF,@,MIA,L 14-27,,3,48,16.00,0,,,0,0,,0,0,0
7,1986,1986-10-19,7,22.061,BUF,,IND,W 24-13,,0,0,,0,,,,,,,,
8,1986,1986-10-26,8,22.068,BUF,,NWE,L 3-23,,0,0,,0,,,,,,,,
9,1986,1986-11-02,9,22.075,BUF,@,TAM,L 28-34,,1,8,8.00,0,,,0,0,,0,0,0
10,1986,1986-11-09,10,22.082,BUF,,PIT,W 16-12,,0,0,,0,,,,,,,,
11,1986,1986-11-16,11,22.089,BUF,,MIA,L 24-34,,0,0,,0,,,,,,,,
12,1986,1986-11-23,12,22.096,BUF,@,NWE,L 19-22,,0,0,,0,,,,,,,,
13,1986,1986-11-30,13,22.103,BUF,@,KAN,W 17-14,,0,0,,0,,,,,,,,
14,1986,1986-12-07,14,22.110,BUF,,CLE,L 17-21,,0,0,,0,,,,,,,,
15,1986,1986-12-14,15,22.117,BUF,@,IND,L 14-24,,0,0,,0,,,,,,,,
16,1986,1986-12-21,16,22.124,BUF,@,HOU,L 7-16,,0,0,,0,,,,,,,,
17,1987,1987-09-13,1,23.025,BUF,,NYJ,L 28-31,,0,0,,0,,,0,0,,0,,
18,1987,1987-09-20,2,23.032,BUF,,HOU,W 34-30,,0,0,,0,,,0,0,,0,,
19,1987,1987-10-25,6,23.067,BUF,@,MIA,W 34-31,,0,0,,0,,,0,0,,0,,
20,1987,1987-11-01,7,23.074,BUF,,WAS,L 7-27,,0,0,,0,,,0,0,,0,,
21,1987,1987-11-08,8,23.081,BUF,,DEN,W 21-14,,0,0,,0,,,0,0,,0,,
22,1987,1987-11-15,9,23.088,BUF,@,CLE,L 21-27,,0,0,,0,,,1,6,6.00,0,0,0
23,1987,1987-11-22,10,23.095,BUF,@,NYJ,W 17-14,,0,0,,0,,,0,0,,0,,
24,1987,1987-11-29,11,23.102,BUF,,MIA,W 27-0,,1,3,3.00,1,,,0,0,,0,1,6
