ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1963,1963-09-22,2,22.236,PIT,,NYG,W 31-0,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0
2,1963,1963-12-15,14,22.320,PIT,@,NYG,L 17-33,,0,0,,0,0,0,,0,0,,,1,-6,-6.00,0,0,0,,0,0,0
3,1964,1964-09-13,1,23.228,PIT,,RAM,L 14-26,,0,3,0.00,0,0,1,0.0,0,0,0.00,-15.00,0,0,,0,0,0,,0,0,0
4,1964,1964-10-25,7,23.270,PIT,,PHI,L 10-34,,2,4,50.00,37,0,0,82.3,0,0,9.25,9.25,0,0,,0,0,0,,0,0,0
5,1964,1964-11-08,9,23.284,PIT,@,STL,L 30-34,,10,19,52.63,170,2,1,96.4,0,0,8.95,8.68,1,-1,-1.00,0,0,0,,0,0,0
6,1964,1964-11-15,10,23.291,PIT,,WAS,L 0-30,*,4,15,26.67,69,0,1,18.5,0,0,4.60,1.60,2,18,9.00,0,0,0,,0,0,0
7,1964,1964-11-22,11,23.298,PIT,@,NYG,W 44-17,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0
8,1965,1965-09-19,1,24.233,PIT,,GNB,L 9-41,*,7,26,26.92,122,0,3,7.1,0,0,4.69,-0.50,3,5,1.67,0,0,0,,0,0,0
9,1965,1965-09-26,2,24.240,PIT,@,SFO,L 17-27,*,10,20,50.00,174,0,2,40.4,0,0,8.70,4.20,1,1,1.00,0,0,0,,0,0,0
10,1965,1965-10-03,3,24.247,PIT,,NYG,L 13-23,*,17,28,60.71,263,0,2,62.1,0,0,9.39,6.18,1,1,1.00,0,0,0,,0,0,0
11,1965,1965-10-09,4,24.253,PIT,@,CLE,L 19-24,*,9,20,45.00,92,0,0,58.7,0,0,4.60,4.60,6,4,0.67,1,0,0,,0,1,6
12,1965,1965-10-17,5,24.261,PIT,,STL,L 7-20,*,6,20,30.00,51,0,1,18.7,0,0,2.55,0.30,2,15,7.50,0,0,0,,0,0,0
13,1965,1965-10-24,6,24.268,PIT,@,PHI,W 20-14,*,6,16,37.50,79,1,1,48.7,0,0,4.94,3.38,2,7,3.50,0,0,0,,0,0,0
14,1965,1965-10-31,7,24.275,PIT,,DAL,W 22-13,*,18,35,51.43,272,3,1,94.0,0,0,7.77,8.20,2,7,3.50,0,1,-5,-5.00,0,0,0
15,1965,1965-11-07,8,24.282,PIT,@,STL,L 17-21,*,15,26,57.69,216,1,1,81.6,0,0,8.31,7.35,2,-1,-0.50,0,0,0,,0,0,0
16,1965,1965-11-14,9,24.289,PIT,@,DAL,L 17-24,*,11,25,44.00,172,0,2,34.1,0,0,6.88,3.28,5,10,2.00,0,0,0,,0,0,0
17,1965,1965-11-28,11,24.303,PIT,,CLE,L 21-42,*,9,22,40.91,285,3,0,127.8,0,0,12.95,15.68,1,14,14.00,0,0,0,,0,0,0
18,1965,1965-12-05,12,24.310,PIT,@,NYG,L 10-35,*,11,27,40.74,164,0,2,30.5,0,0,6.07,2.74,1,21,21.00,0,0,0,,0,0,0
19,1965,1965-12-12,13,24.317,PIT,,PHI,L 13-47,*,2,5,40.00,27,0,2,18.3,0,0,5.40,-12.60,0,0,,0,0,0,,0,0,0
20,1966,1966-09-11,1,25.225,PIT,,NYG,T 34-34,*,16,27,59.26,265,3,0,129.4,0,0,9.81,12.04,2,5,2.50,0,0,0,,0,0,0
21,1966,1966-09-18,2,25.232,PIT,,DET,W 17-3,*,2,4,50.00,6,0,0,56.2,0,0,1.50,1.50,1,9,9.00,0,0,0,,0,0,0
22,1966,1966-12-04,12,25.309,PIT,@,PHI,L 23-27,*,11,25,44.00,195,0,0,71.2,0,0,7.80,7.80,1,-1,-1.00,0,0,0,,0,0,0
23,1966,1966-12-11,13,25.316,PIT,@,NYG,W 47-28,*,17,31,54.84,322,2,1,99.1,0,0,10.39,10.23,2,5,2.50,0,0,0,,0,0,0
24,1966,1966-12-18,14,25.323,PIT,@,ATL,W 57-33,*,17,25,68.00,334,2,0,137.5,0,0,13.36,14.96,0,0,,0,0,0,,0,0,0
25,1967,1967-09-17,1,26.231,PIT,,CHI,W 41-13,*,14,23,60.87,223,2,1,104.1,0,0,9.70,9.48,2,-9,-4.50,0,0,0,,0,0,0
26,1967,1967-09-24,2,26.238,PIT,,STL,L 14-28,*,8,25,32.00,130,1,3,24.2,0,0,5.20,0.60,1,-5,-5.00,0,0,0,,0,0,0
27,1967,1967-10-29,7,26.273,PIT,@,NOR,W 14-10,,5,6,83.33,41,1,0,134.7,0,0,6.83,10.17,0,0,,0,0,0,,0,0,0
28,1967,1967-11-05,8,26.280,PIT,,CLE,L 14-34,,10,22,45.45,214,2,1,91.9,0,0,9.73,9.50,2,-14,-7.00,0,0,0,,0,0,0
29,1967,1967-11-12,9,26.287,PIT,@,STL,T 14-14,*,17,32,53.13,233,1,1,74.1,0,0,7.28,6.50,2,-5,-2.50,0,0,0,,0,0,0
30,1967,1967-11-19,10,26.294,PIT,@,NYG,L 20-28,*,16,42,38.10,240,2,1,63.6,0,0,5.71,5.60,1,11,11.00,0,0,0,,0,0,0
31,1967,1967-11-26,11,26.301,PIT,,MIN,L 27-41,*,4,15,26.67,44,1,2,22.2,0,0,2.93,-1.73,1,3,3.00,0,0,0,,0,0,0
32,1968,1968-09-22,2,27.237,CLE,@,DAL,L 7-28,,2,2,100.00,3,0,0,79.2,0,0,1.50,1.50,0,0,,0,0,0,,0,0,0
33,1968,1968-09-29,3,27.244,CLE,,RAM,L 6-24,,1,2,50.00,-6,0,0,56.2,0,0,-3.00,-3.00,0,0,,0,0,0,,0,0,0
34,1968,1968-10-05,4,27.250,CLE,,PIT,W 31-24,*,16,25,64.00,190,1,1,83.7,0,0,7.60,6.60,2,-3,-1.50,0,0,0,,0,0,0
35,1968,1968-10-13,5,27.258,CLE,,STL,L 21-27,*,17,39,43.59,324,2,2,68.8,0,0,8.31,7.03,1,1,1.00,1,0,0,,0,1,6
36,1968,1968-10-20,6,27.265,CLE,@,BAL,W 30-20,*,15,23,65.22,137,3,0,120.8,0,0,5.96,8.57,4,32,8.00,0,0,0,,0,0,0
