ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1996,1996-10-06,6,22.234,OAK,@,NYJ,W 34-13,3,7,2.33,0,0,0,0,,0,0.0%,,0,0,,0
2,1996,1996-12-22,16,22.311,OAK,,SEA,L 21-28,0,0,,0,,,,,,0.0%,,,,,
3,1997,1997-08-31,1,23.197,OAK,@,TEN,L 21-24,0,0,,0,0,0,0,,0,0.0%,,3,75,25.00,0
4,1997,1997-09-08,2,23.205,OAK,,KAN,L 27-28,0,0,,0,1,0,0,,0,0.0%,0.00,2,39,19.50,0
5,1997,1997-09-14,3,23.211,OAK,@,ATL,W 36-31,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
6,1997,1997-09-21,4,23.218,OAK,@,NYJ,L 22-23,0,0,,0,,0,0,,0,0.0%,,0,0,,0
7,1997,1997-09-28,5,23.225,OAK,,STL,W 35-17,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
8,1997,1997-10-05,6,23.232,OAK,,SDG,L 10-25,0,0,,0,0,0,0,,0,0.0%,,1,18,18.00,0
9,1997,1997-10-19,7,23.246,OAK,,DEN,W 28-25,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0
10,1997,1997-10-26,8,23.253,OAK,@,SEA,L 34-45,3,2,0.67,0,1,0,0,,0,0.0%,0.00,0,0,,0
11,1997,1997-11-02,9,23.260,OAK,@,CAR,L 14-38,2,16,8.00,0,0,0,0,,0,0.0%,,2,35,17.50,0
12,1997,1997-11-09,10,23.267,OAK,,NOR,L 10-13,0,0,,0,,0,0,,0,0.0%,,0,0,,0
13,1997,1997-11-16,11,23.274,OAK,@,SDG,W 38-13,7,24,3.43,0,0,0,0,,0,0.0%,,0,0,,0
14,1997,1997-11-24,12,23.282,OAK,@,DEN,L 3-31,4,31,7.75,0,0,0,0,,0,0.0%,,0,0,,0
15,1997,1997-11-30,13,23.288,OAK,,MIA,L 16-34,4,30,7.50,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0
16,1997,1997-12-07,14,23.295,OAK,@,KAN,L 0-30,1,3,3.00,0,0,0,0,,0,0.0%,,1,15,15.00,0
17,1997,1997-12-14,15,23.302,OAK,,SEA,L 21-22,0,0,,0,,0,0,,0,0.0%,,0,0,,0
18,1997,1997-12-21,16,23.309,OAK,,JAX,L 9-20,1,11,11.00,0,1,0,0,,0,0.0%,0.00,0,0,,0
