ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2006,2006-09-10,1,22.088,CHI,@,GNB,W 26-0,,,,,,,,
2,2006,2006-09-17,2,22.095,CHI,,DET,W 34-7,,,,,,,,
3,2006,2006-09-24,3,22.102,CHI,@,MIN,W 19-16,,,,,,,,
4,2007,2007-09-09,1,23.087,CHI,@,SDG,L 3-14,,,,,,,,
5,2007,2007-09-16,2,23.094,CHI,,KAN,W 20-10,,,,,,,,
6,2007,2007-09-23,3,23.101,CHI,,DAL,L 10-34,,,,,,,,
7,2007,2007-09-30,4,23.108,CHI,@,DET,L 27-37,,0,0,,0,1.0,,
8,2007,2007-10-07,5,23.115,CHI,@,GNB,W 27-20,,,,,,,,
9,2007,2007-10-14,6,23.122,CHI,,MIN,L 31-34,,,,,,,,
10,2007,2007-10-21,7,23.129,CHI,@,PHI,W 19-16,,,,,,,,
11,2007,2007-10-28,8,23.136,CHI,,DET,L 7-16,,,,,,,,
12,2007,2007-11-11,9,23.150,CHI,@,OAK,W 17-6,,,,,,,,
13,2007,2007-11-18,10,23.157,CHI,@,SEA,L 23-30,,,,,,,,
14,2007,2007-11-25,11,23.164,CHI,,DEN,W 37-34,,,,,,,,
15,2007,2007-12-02,12,23.171,CHI,,NYG,L 16-21,,,,,,,,
16,2007,2007-12-06,13,23.175,CHI,@,WAS,L 16-24,,,,,,,,
17,2007,2007-12-17,14,23.186,CHI,@,MIN,L 13-20,*,,,,,,,
18,2007,2007-12-23,15,23.192,CHI,,GNB,W 35-7,,,,,,,,
19,2007,2007-12-30,16,23.199,CHI,,NOR,W 33-25,,,,,,,,
20,2008,2008-09-07,1,24.085,CHI,@,IND,W 29-13,,0,0,,0,0.0,0,0
21,2008,2008-09-14,2,24.092,CHI,@,CAR,L 17-20,,0,0,,0,0.0,0,0
22,2008,2008-09-21,3,24.099,CHI,,TAM,L 24-27,,0,0,,0,0.0,0,1
23,2008,2008-09-28,4,24.106,CHI,,PHI,W 24-20,,,,,,,,
24,2008,2008-10-05,5,24.113,CHI,@,DET,W 34-7,,0,0,,0,0.0,1,1
25,2008,2008-10-12,6,24.120,CHI,@,ATL,L 20-22,,,,,,,,
26,2008,2008-10-19,7,24.127,CHI,,MIN,W 48-41,,0,0,,0,0.0,0,1
27,2008,2008-11-02,8,24.141,CHI,,DET,W 27-23,,0,0,,0,0.0,0,0
28,2008,2008-11-09,9,24.148,CHI,,TEN,L 14-21,,0,0,,0,0.0,0,0
29,2008,2008-11-16,10,24.155,CHI,@,GNB,L 3-37,,,,,,,,
30,2008,2008-11-23,11,24.162,CHI,@,STL,W 27-3,,,,,,,,
31,2008,2008-11-30,12,24.169,CHI,@,MIN,L 14-34,,,,,,,,
32,2008,2008-12-07,13,24.176,CHI,,JAX,W 23-10,,,,,,,,
33,2008,2008-12-11,14,24.180,CHI,,NOR,W 27-24,,,,,,,,
34,2008,2008-12-22,15,24.191,CHI,,GNB,W 20-17,,,,,,,,
35,2008,2008-12-28,16,24.197,CHI,@,HOU,L 24-31,,,,,,,,
36,2009,2009-09-13,1,25.091,CHI,@,GNB,L 15-21,,,,,,,,
37,2009,2009-09-20,2,25.098,CHI,,PIT,W 17-14,,0,0,,0,0.0,0,0
38,2009,2009-09-27,3,25.105,CHI,@,SEA,W 25-19,,0,0,,0,0.0,1,0
39,2009,2009-10-04,4,25.112,CHI,,DET,W 48-24,*,0,0,,0,0.0,5,1
40,2009,2009-10-18,5,25.126,CHI,@,ATL,L 14-21,,0,0,,0,0.0,1,0
41,2009,2009-10-25,6,25.133,CHI,@,CIN,L 10-45,,0,0,,0,0.0,1,0
42,2009,2009-11-01,7,25.140,CHI,,CLE,W 30-6,,,,,,,,
43,2009,2009-11-08,8,25.147,CHI,,ARI,L 21-41,,0,0,,0,0.0,1,0
44,2009,2009-11-12,9,25.151,CHI,@,SFO,L 6-10,,,,,,,,
45,2009,2009-11-22,10,25.161,CHI,,PHI,L 20-24,,0,0,,0,0.0,0,0
46,2009,2009-11-29,11,25.168,CHI,@,MIN,L 10-36,,0,0,,0,0.0,4,0
47,2009,2009-12-06,12,25.175,CHI,,STL,W 17-9,*,0,0,,0,0.0,13,5
48,2009,2009-12-13,13,25.182,CHI,,GNB,L 14-21,,0,0,,0,0.0,3,0
49,2009,2009-12-20,14,25.189,CHI,@,BAL,L 7-31,,0,0,,0,0.0,2,1
50,2009,2009-12-28,15,25.197,CHI,,MIN,W 36-30,,0,0,,0,0.0,0,0
51,2009,2010-01-03,16,25.203,CHI,@,DET,W 37-23,,0,0,,0,0.0,1,1
52,2010,2010-09-12,1,26.090,CAR,@,NYG,L 18-31,,0,0,,0,0.0,0,0
53,2010,2010-09-19,2,26.097,CAR,,TAM,L 7-20,,1,0,0.00,0,0.0,0,0
54,2010,2010-09-26,3,26.104,CAR,,CIN,L 7-20,,0,0,,0,0.0,0,0
55,2010,2010-11-14,9,26.153,CAR,@,TAM,L 16-31,,,,,,,,
56,2010,2010-11-21,10,26.160,CAR,,BAL,L 13-37,,,,,,,,
57,2010,2010-11-28,11,26.167,CAR,@,CLE,L 23-24,*,,,,,,,
58,2010,2010-12-05,12,26.174,CAR,@,SEA,L 14-31,*,,,,,,,
