ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2011,2011-09-11,1,21.062,ARI,,CAR,W 28-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,98,49.00,1,0,6,0.0,5,0,0,0,0
2,2011,2011-09-18,2,21.069,ARI,@,WAS,L 21-22,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,30,15.00,0,0,0,0.0,5,3,0,0,0
3,2011,2011-09-25,3,21.076,ARI,@,SEA,L 10-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,19,4.75,0,0,0,0.0,1,0,1,1,0
4,2011,2011-10-02,4,21.083,ARI,,NYG,L 27-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,28,9.33,0,0,0,0.0,7,0,0,0,0
5,2011,2011-10-09,5,21.090,ARI,@,MIN,L 10-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,3,1,0,0,0
6,2011,2011-10-23,6,21.104,ARI,,PIT,L 20-32,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,7,0,0,0,0
7,2011,2011-10-30,7,21.111,ARI,@,BAL,L 27-30,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,112,28.00,1,0,6,0.0,0,0,0,0,0
8,2011,2011-11-06,8,21.118,ARI,,STL,W 19-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,127,31.75,1,0,6,0.0,3,0,1,0,0
9,2011,2011-11-13,9,21.125,ARI,@,PHI,W 21-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,27,4.50,0,0,0,0.0,3,0,0,0,0
10,2011,2011-11-20,10,21.132,ARI,@,SFO,L 7-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,22,11.00,0,0,0,0.0,4,0,0,0,0
11,2011,2011-11-27,11,21.139,ARI,@,STL,W 23-20,*,0,0,0,,0,0.0%,,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,95,23.75,1,0,6,0.0,5,0,0,0,0
12,2011,2011-12-04,12,21.146,ARI,,DAL,W 19-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,1.00,0,0,0,0.0,5,0,0,0,0
