ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1998,1998-09-20,3,23.259,NYJ,,IND,W 44-6,,,,,,,,,,,,,
2,1998,1998-10-04,4,23.273,NYJ,,MIA,W 20-9,,0,0,,0,1,0,0.00,0,0.0,0,0,0
3,1998,1998-10-11,5,23.280,NYJ,@,STL,L 10-30,,,,,,,,,,,,,
4,1998,1998-10-19,6,23.288,NYJ,@,NWE,W 24-14,,,,,,,,,,,,,
5,1998,1998-10-25,7,23.294,NYJ,,ATL,W 28-3,,,,,,,,,,,,,
6,1998,1998-11-01,8,23.301,NYJ,@,KAN,W 20-17,,,,,,,,,,,,,
7,1998,1998-11-22,11,23.322,NYJ,@,TEN,W 24-3,,,,,,,,,,,,,
8,1998,1998-11-29,12,23.329,NYJ,,CAR,W 48-21,,,,,,,,,,,,,
9,1998,1998-12-06,13,23.336,NYJ,,SEA,W 32-31,,,,,,,,,,,,,
10,1998,1998-12-13,14,23.343,NYJ,@,MIA,W 21-16,,,,,,,,,,,,,
11,1998,1998-12-19,15,23.349,NYJ,@,BUF,W 17-10,,,,,,,,,,,,,
12,1998,1998-12-27,16,23.357,NYJ,,NWE,W 31-10,,,,,,,,,,,,,
13,1999,1999-09-12,1,24.251,NYJ,,NWE,L 28-30,,,,,,,,,,,,,
14,1999,1999-09-19,2,24.258,NYJ,@,BUF,L 3-17,,,,,,,,,,,,,
15,1999,1999-09-26,3,24.265,NYJ,,WAS,L 20-27,,,,,,,,,,,,,
16,1999,1999-10-03,4,24.272,NYJ,@,DEN,W 21-13,,,,,,,,,,,,,
17,1999,1999-10-11,5,24.280,NYJ,,JAX,L 6-16,,,,,,,,,,,,,
18,1999,1999-10-17,6,24.286,NYJ,,IND,L 13-16,,,,,,,,,,,,,
19,1999,1999-10-24,7,24.293,NYJ,@,OAK,L 23-24,,,,,,,,,,,,,
20,1999,1999-11-07,8,24.307,NYJ,,ARI,W 12-7,,,,,,,,,,,,,
21,1999,1999-11-28,11,24.328,NYJ,@,IND,L 6-13,,,,,,,,,,,,,
22,1999,1999-12-05,12,24.335,NYJ,@,NYG,L 28-41,,,,,,,,,,,,,
23,1999,1999-12-12,13,24.342,NYJ,,MIA,W 28-20,,,,,,,,,,,,,
24,1999,1999-12-19,14,24.349,NYJ,@,DAL,W 22-21,,,,,,,,,,,,,
25,1999,1999-12-27,15,24.357,NYJ,@,MIA,W 38-31,,,,,,,,,,,,,
26,1999,2000-01-02,16,24.363,NYJ,,SEA,W 19-9,,,,,,,,,,,,,
27,2000,2000-09-03,1,25.243,NYJ,@,GNB,W 20-16,,,,,,,,,,,,,
28,2000,2000-09-11,2,25.251,NYJ,,NWE,W 20-19,,,,,,,,,,,,,
29,2000,2000-09-17,3,25.257,NYJ,,BUF,W 27-14,,0,0,,0,0,0,,0,0.0,1,1,0
30,2000,2000-09-24,4,25.264,NYJ,@,TAM,W 21-17,,,,,,,,,,,,,
31,2000,2000-10-08,5,25.278,NYJ,,PIT,L 3-20,,,,,,,,,,,,,
32,2000,2000-10-15,6,25.285,NYJ,@,NWE,W 34-17,,,,,,,,,,,,,
33,2000,2000-10-23,7,25.293,NYJ,,MIA,W 40-37,,,,,,,,,,,,,
34,2000,2000-10-29,8,25.299,NYJ,@,BUF,L 20-23,*,,,,,,,,,,,,
35,2000,2000-11-05,9,25.306,NYJ,,DEN,L 23-30,,,,,,,,,,,,,
36,2000,2000-11-12,10,25.313,NYJ,@,IND,L 15-23,,,,,,,,,,,,,
37,2000,2000-11-19,11,25.320,NYJ,@,MIA,W 20-3,,,,,,,,,,,,,
38,2000,2000-11-26,12,25.327,NYJ,,CHI,W 17-10,,,,,,,,,,,,,
39,2000,2000-12-03,13,25.334,NYJ,,IND,W 27-17,,,,,,,,,,,,,
40,2000,2000-12-10,14,25.341,NYJ,@,OAK,L 7-31,,0,0,,0,0,0,,0,1.0,0,0,0
41,2000,2000-12-17,15,25.348,NYJ,,DET,L 7-10,,,,,,,,,,,,,
42,2000,2000-12-24,16,25.355,NYJ,@,BAL,L 20-34,,,,,,,,,,,,,
43,2001,2001-09-09,1,26.248,CLE,,SEA,L 6-9,,,,,,,,,,,,,
44,2001,2001-09-23,2,26.262,CLE,,DET,W 24-14,,,,,,,,,,,,,
45,2001,2001-09-30,3,26.269,CLE,@,JAX,W 23-14,,,,,,,,,,,,,
