ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1964,1964-09-13,1,26.244,NYG,@,PHI,L 7-38,4,9,2.25,0,0,0,,0,3,79,26.33,0,1,0,0.00,0,0,0,0,0,0
2,1964,1964-09-20,2,26.251,NYG,@,PIT,L 24-27,3,17,5.67,0,1,19,19.00,0,1,28,28.00,0,0,0,,0,0,0,0,0,0
3,1964,1964-09-25,3,26.256,NYG,,WAS,W 13-10,14,50,3.57,0,2,13,6.50,0,3,81,27.00,0,1,0,0.00,0,0,0,0,0,0
4,1964,1964-10-04,4,26.265,NYG,@,DET,L 3-26,5,7,1.40,0,1,11,11.00,0,2,42,21.00,0,0,0,,0,0,0,0,0,0
5,1964,1964-10-11,5,26.272,NYG,@,DAL,T 13-13,5,16,3.20,0,2,13,6.50,0,2,37,18.50,0,1,27,27.00,0,0,0,0,0,0
6,1964,1964-10-18,6,26.279,NYG,,PHI,L 17-23,4,-2,-0.50,0,1,24,24.00,0,0,0,,0,2,0,0.00,0,0,0,0,0,0
7,1964,1964-10-25,7,26.286,NYG,@,CLE,L 20-42,0,0,,0,0,0,,0,3,59,19.67,0,1,13,13.00,0,0,0,0,0,0
8,1964,1964-11-01,8,26.293,NYG,,STL,W 34-17,0,0,,0,0,0,,0,3,60,20.00,0,0,0,,0,0,0,0,0,0
9,1964,1964-11-08,9,26.300,NYG,,DAL,L 21-31,0,0,,0,1,5,5.00,0,4,133,33.25,0,0,0,,0,0,0,0,0,0
10,1964,1964-11-15,10,26.307,NYG,@,STL,T 10-10,0,0,,0,0,0,,0,3,99,33.00,0,0,0,,0,0,0,0,0,0
11,1964,1964-11-22,11,26.314,NYG,,PIT,L 17-44,5,5,1.00,0,3,12,4.00,0,5,145,29.00,0,0,0,,0,0,0,0,0,0
12,1964,1964-11-29,12,26.321,NYG,@,WAS,L 21-36,0,0,,0,0,0,,0,2,100,50.00,0,0,0,,0,0,0,0,0,0
13,1964,1964-12-06,13,26.328,NYG,,MIN,L 21-30,0,0,,0,0,0,,0,3,124,41.33,1,0,0,,0,1,6,0,0,0
14,1965,1965-09-19,1,27.249,NYG,@,DAL,L 2-31,0,0,,0,0,0,,0,3,61,20.33,0,0,0,,0,0,0,0,0,0
15,1965,1965-09-26,2,27.256,NYG,@,PHI,W 16-14,0,0,,0,0,0,,0,1,0,0.00,0,0,0,,0,0,0,0,0,0
16,1965,1965-10-09,4,27.269,NYG,@,MIN,L 14-40,0,0,,0,0,0,,0,2,66,33.00,0,0,0,,0,0,0,0,0,0
17,1965,1965-10-17,5,27.277,NYG,,PHI,W 35-27,0,0,,0,0,0,,0,2,39,19.50,0,0,0,,0,0,0,0,0,0
18,1965,1965-10-24,6,27.284,NYG,,CLE,L 14-38,0,0,,0,0,0,,0,5,158,31.60,0,0,0,,0,0,0,0,0,0
19,1965,1965-10-31,7,27.291,NYG,,STL,W 14-10,0,0,,0,0,0,,0,2,53,26.50,0,0,0,,0,0,0,0,0,0
20,1965,1965-11-07,8,27.298,NYG,,WAS,L 7-23,0,0,,0,0,0,,0,3,60,20.00,0,0,0,,0,0,0,0,0,0
21,1965,1965-11-14,9,27.305,NYG,@,CLE,L 21-34,0,0,,0,0,0,,0,2,68,34.00,0,0,0,,0,0,0,0,0,0
22,1965,1965-11-28,11,27.319,NYG,,CHI,L 14-35,0,0,,0,0,0,,0,2,63,31.50,0,0,0,,0,0,0,0,0,0
23,1965,1965-12-05,12,27.326,NYG,,PIT,W 35-10,0,0,,0,0,0,,0,1,23,23.00,0,0,0,,0,0,0,0,0,0
24,1965,1965-12-12,13,27.333,NYG,@,WAS,W 27-10,0,0,,0,0,0,,0,2,47,23.50,0,0,0,,0,0,0,0,0,0
25,1965,1965-12-19,14,27.340,NYG,,DAL,L 20-38,0,0,,0,0,0,,0,4,80,20.00,0,0,0,,0,0,0,0,0,0
26,1966,1966-09-11,1,28.241,NYG,@,PIT,T 34-34,0,0,,0,0,0,,0,4,98,24.50,0,0,0,,0,0,0,0,0,0
27,1966,1966-09-18,2,28.248,NYG,@,DAL,L 7-52,0,0,,0,0,0,,0,5,97,19.40,0,0,0,,0,0,0,1,3,0
28,1966,1966-09-25,3,28.255,NYG,@,PHI,L 17-35,0,0,,0,0,0,,0,3,91,30.33,0,0,0,,0,0,0,0,0,0
29,1966,1966-10-02,4,28.262,NYG,,CLE,L 7-28,0,0,,0,0,0,,0,2,43,21.50,0,0,0,,0,0,0,0,0,0
30,1966,1966-10-09,5,28.269,NYG,@,STL,L 19-24,0,0,,0,0,0,,0,1,23,23.00,0,0,0,,0,0,0,1,29,0
31,1966,1966-10-16,6,28.276,NYG,,WAS,W 13-10,0,0,,0,0,0,,0,1,20,20.00,0,0,0,,0,0,0,0,0,0
32,1966,1966-10-23,7,28.283,NYG,,PHI,L 3-31,0,0,,0,0,0,,0,1,14,14.00,0,0,0,,0,0,0,0,0,0
33,1966,1966-11-06,8,28.297,NYG,,STL,L 17-20,0,0,,0,0,0,,0,1,28,28.00,0,0,0,,0,0,0,0,0,0
34,1966,1966-11-13,9,28.304,NYG,@,RAM,L 14-55,0,0,,0,0,0,,0,1,25,25.00,0,0,0,,0,0,0,0,0,0
35,1966,1966-11-20,10,28.311,NYG,,ATL,L 16-27,0,0,,0,0,0,,0,2,73,36.50,0,0,0,,0,0,0,0,0,0
36,1966,1966-11-27,11,28.318,NYG,@,WAS,L 41-72,0,0,,0,0,0,,0,2,65,32.50,0,0,,,0,0,0,0,0,0
37,1966,1966-12-04,12,28.325,NYG,@,CLE,L 40-49,0,0,,0,0,0,,0,6,170,28.33,1,0,,,0,1,6,0,0,0
38,1966,1966-12-11,13,28.332,NYG,,PIT,L 28-47,0,0,,0,0,0,,0,4,92,23.00,0,0,0,,0,0,0,0,0,0
39,1966,1966-12-18,14,28.339,NYG,,DAL,L 7-17,0,0,,0,0,0,,0,1,16,16.00,0,0,0,,0,0,0,0,0,0
40,1967,1967-09-17,1,29.247,NYG,@,STL,W 37-20,0,0,,0,0,0,,0,3,86,28.67,0,0,0,,0,0,0,0,0,0
41,1967,1967-09-24,2,29.254,NYG,@,DAL,L 24-38,0,0,,0,0,0,,0,2,40,20.00,0,0,0,,0,0,0,0,0,0
42,1967,1967-10-01,3,29.261,NYG,@,WAS,L 34-38,0,0,,0,0,0,,0,5,95,19.00,0,0,0,,0,0,0,0,0,0
43,1967,1967-10-15,5,29.275,NYG,@,PIT,W 27-24,0,0,,0,0,0,,0,1,16,16.00,0,0,0,,0,0,0,0,0,0
44,1967,1967-10-22,6,29.282,NYG,,GNB,L 21-48,0,0,,0,0,0,,0,1,0,0.00,0,0,0,,0,0,0,0,0,0
45,1967,1967-11-05,8,29.296,NYG,@,MIN,L 24-27,0,0,,0,0,0,,0,3,87,29.00,0,0,0,,0,0,0,0,0,0
46,1967,1967-11-12,9,29.303,NYG,@,CHI,L 7-34,0,0,,0,0,0,,0,3,49,16.33,0,0,0,,0,0,0,0,0,0
47,1967,1967-11-19,10,29.310,NYG,,PIT,W 28-20,0,0,,0,0,0,,0,4,74,18.50,0,0,0,,0,0,0,0,0,0
48,1967,1967-11-26,11,29.317,NYG,,PHI,W 44-7,0,0,,0,0,0,,0,1,17,17.00,0,0,0,,0,0,0,0,0,0
49,1967,1967-12-03,12,29.324,NYG,@,CLE,L 14-24,0,0,,0,0,0,,0,2,46,23.00,0,0,0,,0,0,0,0,0,0
50,1967,1967-12-10,13,29.331,NYG,,DET,L 7-30,0,0,,0,0,0,,0,2,54,27.00,0,0,0,,0,0,0,0,0,0
51,1967,1967-12-17,14,29.338,NYG,,STL,W 37-14,0,0,,0,0,0,,0,2,39,19.50,0,0,0,,0,0,0,0,0,0
52,1968,1968-11-24,11,30.316,CHI,,DAL,L 3-34,0,0,,0,0,0,,0,1,53,53.00,0,0,0,,0,0,0,0,0,0
53,1968,1968-12-01,12,30.323,CHI,@,NOR,W 23-17,0,0,,0,0,0,,0,1,56,56.00,0,0,0,,0,0,0,0,0,0
54,1968,1968-12-08,13,30.330,CHI,@,RAM,W 17-16,0,0,,0,0,0,,0,2,111,55.50,0,0,0,,0,0,0,0,0,0
55,1968,1968-12-15,14,30.337,CHI,,GNB,L 27-28,0,0,,0,0,0,,0,4,71,17.75,0,0,0,,0,0,0,0,0,0
