ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1989,1989-09-10,1,23.104,NOR,,DAL,W 28-0,,2,23,11.50,0,,,0,0,,0,0,0,,0,0,0
2,1989,1989-09-17,2,23.111,NOR,@,GNB,L 34-35,,3,31,10.33,0,,,1,6,6.00,0,0,0,,0,0,0
3,1989,1989-09-24,3,23.118,NOR,@,TAM,L 10-20,,2,14,7.00,0,,,0,0,,0,0,0,,0,0,0
4,1989,1989-10-01,4,23.125,NOR,,WAS,L 14-16,,1,20,20.00,0,,,0,0,,0,0,0,,0,0,0
5,1989,1989-10-08,5,23.132,NOR,,SFO,L 20-24,,1,11,11.00,0,,,0,0,,0,1,7,7.00,0,0,0
6,1989,1989-10-15,6,23.139,NOR,,NYJ,W 29-14,,2,20,10.00,0,,,0,0,,0,0,0,,0,0,0
7,1989,1989-10-22,7,23.146,NOR,@,RAM,W 40-21,,3,73,24.33,1,,,0,0,,0,0,0,,0,1,6
8,1989,1989-10-29,8,23.153,NOR,,ATL,W 20-13,,2,23,11.50,0,,,0,0,,0,0,0,,0,0,0
9,1989,1989-11-06,9,23.161,NOR,@,SFO,L 13-31,,3,42,14.00,0,,,0,0,,0,0,0,,0,0,0
10,1989,1989-11-12,10,23.167,NOR,@,NWE,W 28-24,,0,0,,0,,,0,0,,0,0,0,,0,0,
11,1989,1989-11-19,11,23.174,NOR,@,ATL,W 26-17,,1,5,5.00,0,,,1,2,2.00,0,0,0,,0,0,0
12,1989,1989-11-26,12,23.181,NOR,,RAM,L 17-20,,2,17,8.50,0,,,0,0,,0,0,0,,0,0,0
13,1989,1989-12-03,13,23.188,NOR,@,DET,L 14-21,,0,0,,0,,,0,0,,0,0,0,,0,0,
14,1990,1990-09-10,1,24.104,NOR,,SFO,L 12-13,,1,42,42.00,0,,,0,0,,0,0,0,,0,0,0
15,1990,1990-09-16,2,24.110,NOR,@,MIN,L 3-32,,2,33,16.50,0,,,0,0,,0,0,0,,0,0,0
16,1990,1990-09-23,3,24.117,NOR,,PHO,W 28-7,,2,55,27.50,0,,,0,0,,0,0,0,,0,0,0
17,1990,1990-10-07,4,24.131,NOR,@,ATL,L 27-28,,2,79,39.50,1,,,0,0,,0,0,0,,0,1,6
18,1990,1990-10-14,5,24.138,NOR,,CLE,W 25-20,,3,58,19.33,1,,,0,0,,0,0,0,,0,1,6
19,1990,1990-10-21,6,24.145,NOR,@,HOU,L 10-23,,2,25,12.50,0,,,0,0,,0,0,0,,0,0,0
