ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1985,1985-09-08,1,23.105,CLE,,STL,L 24-27,,1,9,9.00,0,,,0,0,,0,0,0
2,1985,1985-09-16,2,23.113,CLE,,PIT,W 17-7,,1,17,17.00,1,,,0,0,,0,1,6
3,1985,1985-09-22,3,23.119,CLE,@,DAL,L 7-20,,0,0,,0,,,,,,,,
4,1985,1985-09-29,4,23.126,CLE,@,SDG,W 21-7,,1,15,15.00,0,,,0,0,,0,0,0
5,1985,1985-11-17,11,23.175,CLE,,BUF,W 17-7,,0,0,,0,,,,,,,,
6,1985,1985-11-24,12,23.182,CLE,,CIN,W 24-6,,0,0,,0,,,,,,,,
7,1985,1985-12-01,13,23.189,CLE,@,NYG,W 35-33,,0,0,,0,,,,,,,,
8,1985,1985-12-08,14,23.196,CLE,@,SEA,L 13-31,,1,13,13.00,0,,,0,0,,0,0,0
9,1985,1985-12-15,15,23.203,CLE,,HOU,W 28-21,,1,8,8.00,1,,,0,0,,0,1,6
10,1985,1985-12-22,16,23.210,CLE,@,NYJ,L 10-37,,0,0,,0,,,,,,,,
11,1987,1987-09-13,1,25.110,MIA,@,NWE,L 21-28,,0,0,,0,,,,,,,,
12,1987,1987-09-20,2,25.117,MIA,@,IND,W 23-10,,0,0,,0,,,,,,,,
13,1987,1987-11-15,9,25.173,MIA,,IND,L 21-40,,1,10,10.00,1,,,0,0,,0,1,6
14,1988,1988-10-02,5,26.129,MIA,,MIN,W 24-7,,2,18,9.00,0,,,0,0,,0,0,0
15,1988,1988-10-09,6,26.136,MIA,@,RAI,W 24-14,,1,15,15.00,0,,,0,0,,0,0,0
16,1988,1988-10-16,7,26.143,MIA,,SDG,W 31-28,,2,26,13.00,0,,,0,0,,0,0,0
17,1988,1988-10-23,8,26.150,MIA,,NYJ,L 30-44,,2,50,25.00,0,,,0,0,,0,0,0
18,1988,1988-10-30,9,26.157,MIA,@,TAM,W 17-14,,2,18,9.00,0,,,0,0,,0,0,0
19,1988,1988-11-06,10,26.164,MIA,@,NWE,L 10-21,,2,24,12.00,0,,,0,0,,0,0,0
20,1988,1988-11-14,11,26.172,MIA,,BUF,L 6-31,,2,32,16.00,0,,,0,0,,0,0,0
21,1988,1988-11-20,12,26.178,MIA,,NWE,L 3-6,,0,0,,0,,,,,,,,
22,1988,1988-11-27,13,26.185,MIA,@,NYJ,L 34-38,,3,74,24.67,2,,,0,0,,0,2,12
23,1988,1988-12-04,14,26.192,MIA,,IND,L 28-31,,1,55,55.00,0,,,0,0,,0,0,0
24,1988,1988-12-12,15,26.200,MIA,,CLE,W 38-31,,6,118,19.67,0,,,0,0,,0,0,0
25,1989,1989-09-10,1,27.107,MIA,,BUF,L 24-27,,1,11,11.00,0,,,0,0,,0,0,0
26,1989,1989-09-24,3,27.121,MIA,,NYJ,L 33-40,,1,43,43.00,1,,,0,0,,0,1,6
27,1989,1989-10-01,4,27.128,MIA,@,HOU,L 7-39,,0,0,,0,,,,,,,,
28,1989,1989-10-08,5,27.135,MIA,,CLE,W 13-10,,2,36,18.00,0,,,0,0,,0,0,0
29,1989,1989-10-15,6,27.142,MIA,@,CIN,W 20-13,,1,18,18.00,0,,,0,0,,0,0,0
30,1989,1989-10-22,7,27.149,MIA,,GNB,W 23-20,,2,85,42.50,0,,,0,0,,0,0,0
31,1989,1989-10-29,8,27.156,MIA,@,BUF,L 17-31,,4,39,9.75,0,,,0,0,,0,0,0
32,1989,1989-11-05,9,27.163,MIA,,IND,W 19-13,,4,41,10.25,0,,,0,0,,0,0,0
33,1989,1989-11-12,10,27.170,MIA,@,NYJ,W 31-23,,4,79,19.75,0,,,0,0,,0,0,0
34,1989,1989-11-19,11,27.177,MIA,@,DAL,W 17-14,,0,0,,0,,,,,,,,
35,1989,1989-11-26,12,27.184,MIA,,PIT,L 14-34,,0,0,,0,,,,,,,,
36,1989,1989-12-03,13,27.191,MIA,@,KAN,L 21-26,,2,14,7.00,0,,,0,0,,0,0,0
37,1989,1989-12-10,14,27.198,MIA,,NWE,W 31-10,,6,119,19.83,0,,,0,0,,0,0,0
38,1989,1989-12-17,15,27.205,MIA,@,IND,L 13-42,,2,26,13.00,0,,,0,0,,0,0,0
39,1989,1989-12-24,16,27.212,MIA,,KAN,L 24-27,,1,9,9.00,0,,,0,0,,0,0,0
40,1990,1990-09-09,1,28.106,MIA,@,NWE,W 27-24,,6,53,8.83,0,,,0,0,,0,0,0
41,1990,1990-09-16,2,28.113,MIA,,BUF,W 30-7,,2,33,16.50,0,,,1,3,3.00,0,0,0
42,1990,1990-09-23,3,28.120,MIA,@,NYG,L 3-20,,0,0,,0,,,0,0,,0,0,
43,1990,1990-10-07,5,28.134,MIA,,NYJ,W 20-16,,4,30,7.50,0,,,0,0,,0,0,0
44,1990,1990-10-18,6,28.145,MIA,,NWE,W 17-10,,0,0,,0,,,0,0,,0,0,
45,1990,1990-10-28,7,28.155,MIA,@,IND,W 27-7,,1,15,15.00,0,,,0,0,,0,0,0
46,1990,1990-11-04,8,28.162,MIA,,PHO,W 23-3,,0,0,,0,,,0,0,,0,0,
47,1990,1990-11-11,9,28.169,MIA,@,NYJ,W 17-3,,0,0,,0,,,0,0,,0,0,
48,1991,1991-09-01,1,29.098,MIA,@,BUF,L 31-35,,1,25,25.00,0,,,0,0,,0,0,0
49,1991,1991-09-08,2,29.105,MIA,,IND,W 17-6,,1,20,20.00,0,,,0,0,,0,0,0
50,1991,1991-09-15,3,29.112,MIA,@,DET,L 13-17,,1,13,13.00,0,,,0,0,,0,0,0
51,1991,1991-11-03,9,29.161,MIA,@,IND,W 10-6,,3,33,11.00,0,,,0,0,,0,0,0
52,1991,1991-11-10,10,29.168,MIA,,NWE,W 30-20,,1,5,5.00,1,,,0,0,,0,1,6
53,1991,1991-11-18,11,29.176,MIA,,BUF,L 27-41,,1,11,11.00,0,,,0,0,,0,0,0
54,1991,1991-11-24,12,29.182,MIA,@,CHI,W 16-13,,1,12,12.00,0,,,0,0,,0,0,0
55,1992,1992-09-14,1,30.111,MIA,@,CLE,W 27-23,2,2,40,20.00,0,100.0%,20.00,0,0,,0,0,0
56,1992,1992-09-20,2,30.117,MIA,,RAM,W 26-10,3,2,27,13.50,0,66.7%,9.00,0,0,,0,0,0
57,1992,1992-09-27,3,30.124,MIA,@,SEA,W 19-17,2,2,23,11.50,1,100.0%,11.50,0,0,,0,1,6
58,1992,1992-10-04,4,30.131,MIA,@,BUF,W 37-10,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0
59,1992,1992-10-11,5,30.138,MIA,,ATL,W 21-17,3,1,10,10.00,0,33.3%,3.33,0,0,,0,0,0
60,1992,1992-10-18,6,30.145,MIA,,NWE,W 38-17,1,0,0,,0,0.0%,0.00,,,,,,
61,1992,1992-10-25,7,30.152,MIA,,IND,L 20-31,3,2,33,16.50,0,66.7%,11.00,0,0,,0,0,0
62,1992,1992-11-01,8,30.159,MIA,@,NYJ,L 14-26,,0,0,,0,0.0%,,,,,,,
63,1992,1992-11-08,9,30.166,MIA,@,IND,W 28-0,2,2,12,6.00,1,100.0%,6.00,0,0,,0,1,6
64,1992,1992-11-16,10,30.174,MIA,,BUF,L 20-26,2,0,0,,0,0.0%,0.00,,,,,,
65,1992,1992-11-22,11,30.180,MIA,,HOU,W 19-16,6,4,85,21.25,1,66.7%,14.17,0,0,,0,1,6
66,1992,1992-11-29,12,30.187,MIA,@,NOR,L 13-24,3,3,48,16.00,0,100.0%,16.00,0,0,,0,0,0
67,1992,1992-12-06,13,30.194,MIA,@,SFO,L 3-27,2,0,0,,0,0.0%,0.00,,,,,,
68,1992,1992-12-14,14,30.202,MIA,,RAI,W 20-7,1,0,0,,0,0.0%,0.00,,,,,,
69,1992,1992-12-20,15,30.208,MIA,,NYJ,W 19-17,5,3,35,11.67,0,60.0%,7.00,0,0,,0,0,0
70,1992,1992-12-27,16,30.215,MIA,@,NWE,W 16-13,,0,0,,0,0.0%,,,,,,,
71,1993,1993-09-12,2,31.109,MIA,,NYJ,L 14-24,3,1,26,26.00,0,33.3%,8.67,0,0,,0,0,0
72,1993,1993-09-26,3,31.123,MIA,@,BUF,W 22-13,,0,0,,0,0.0%,,,,,,,
73,1993,1993-11-07,8,31.165,CHI,,RAI,L 14-16,2,1,19,19.00,0,50.0%,9.50,0,0,,0,0,0
74,1993,1993-11-14,9,31.172,CHI,@,SDG,W 16-13,,0,0,,0,0.0%,,,,,,,
75,1993,1993-11-21,10,31.179,CHI,@,KAN,W 19-17,,0,0,,0,0.0%,,,,,,,
76,1993,1993-11-25,11,31.183,CHI,@,DET,W 10-6,,0,0,,0,0.0%,,,,,,,
77,1993,1993-12-05,12,31.193,CHI,,GNB,W 30-17,1,0,0,,0,0.0%,0.00,,,,,,
78,1993,1993-12-12,13,31.200,CHI,@,TAM,L 10-13,1,0,0,,0,0.0%,0.00,,,,,,
79,1993,1993-12-18,14,31.206,CHI,,DEN,L 3-13,,0,0,,0,0.0%,,,,,,,
80,1993,1993-12-26,15,31.214,CHI,,DET,L 14-20,,0,0,,0,0.0%,,,,,,,
