ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1978,1978-09-03,1,23.085,MIA,@,NYJ,L 20-33,0,0,,0,4,154,38.50,0
2,1978,1978-09-10,2,23.092,MIA,@,BAL,W 42-0,0,0,,0,5,177,35.40,0
3,1978,1978-09-17,3,23.099,MIA,,BUF,W 31-24,0,0,,0,4,186,46.50,0
4,1978,1978-09-24,4,23.106,MIA,@,PHI,L 3-17,0,0,,0,5,211,42.20,0
5,1978,1978-10-01,5,23.113,MIA,,STL,W 24-10,0,0,,0,4,172,43.00,0
6,1978,1978-10-09,6,23.121,MIA,,CIN,W 21-0,0,0,,0,5,221,44.20,0
7,1978,1978-10-15,7,23.127,MIA,@,SDG,W 28-21,0,0,,0,6,235,39.17,0
8,1978,1978-10-22,8,23.134,MIA,@,NWE,L 24-33,0,0,,0,5,188,37.60,0
9,1978,1978-10-29,9,23.141,MIA,,BAL,W 26-8,1,-7,-7.00,0,6,247,41.17,0
10,1978,1978-11-05,10,23.148,MIA,,DAL,W 23-16,0,0,,0,5,192,38.40,0
11,1978,1978-11-12,11,23.155,MIA,@,BUF,W 25-24,0,0,,0,4,123,30.75,0
12,1978,1978-11-20,12,23.163,MIA,@,HOU,L 30-35,0,0,,0,5,232,46.40,0
13,1978,1978-11-26,13,23.169,MIA,,NYJ,L 13-24,0,0,,0,5,175,35.00,0
14,1978,1978-12-03,14,23.176,MIA,@,WAS,W 16-0,0,0,,0,7,292,41.71,0
15,1978,1978-12-10,15,23.183,MIA,,OAK,W 23-6,0,0,,0,6,258,43.00,0
16,1978,1978-12-18,16,23.191,MIA,,NWE,W 23-3,0,0,,0,5,200,40.00,0
17,1979,1979-09-02,1,24.084,MIA,@,BUF,W 9-7,0,0,,0,5,201,40.20,0
18,1979,1979-09-09,2,24.091,MIA,,SEA,W 19-10,0,0,,0,7,261,37.29,0
19,1979,1979-09-16,3,24.098,MIA,@,MIN,W 27-12,0,0,,0,4,130,32.50,0
20,1979,1979-09-23,4,24.105,MIA,,CHI,W 31-16,,,,,,,,
21,1979,1979-09-30,5,24.112,MIA,@,NYJ,L 27-33,0,0,,0,5,195,39.00,1
22,1979,1979-10-08,6,24.120,MIA,@,OAK,L 3-13,0,0,,0,4,164,41.00,0
23,1979,1979-10-14,7,24.126,MIA,,BUF,W 17-7,0,0,,0,2,78,39.00,0
24,1979,1979-10-21,8,24.133,MIA,@,NWE,L 13-28,0,0,,0,5,164,32.80,0
25,1979,1979-10-28,9,24.140,MIA,,GNB,W 27-7,0,0,,0,2,106,53.00,0
26,1979,1979-11-05,10,24.148,MIA,,HOU,L 6-9,0,0,,0,5,194,38.80,0
27,1979,1979-11-11,11,24.154,MIA,,BAL,W 19-0,0,0,,0,7,303,43.29,0
28,1979,1979-11-18,12,24.161,MIA,@,CLE,L 24-30,0,0,,0,6,255,42.50,0
29,1979,1979-11-25,13,24.168,MIA,@,BAL,W 28-24,0,0,,0,6,253,42.17,0
30,1979,1979-11-29,14,24.172,MIA,,NWE,W 39-24,0,0,,0,4,192,48.00,0
31,1979,1979-12-09,15,24.182,MIA,@,DET,W 28-10,0,0,,0,5,183,36.60,0
32,1979,1979-12-15,16,24.188,MIA,,NYJ,L 24-27,0,0,,0,2,93,46.50,0
33,1980,1980-09-07,1,25.089,MIA,@,BUF,L 7-17,0,0,,0,5,194,38.80,0
34,1980,1980-09-14,2,25.096,MIA,,CIN,W 17-16,0,0,,0,5,198,39.60,0
35,1980,1980-09-21,3,25.103,MIA,@,ATL,W 20-17,0,0,,0,7,303,43.29,0
36,1980,1980-09-28,4,25.110,MIA,,NOR,W 21-16,0,0,,0,5,215,43.00,1
37,1980,1980-10-05,5,25.117,MIA,,BAL,L 17-30,0,0,,0,3,125,41.67,0
38,1980,1980-10-12,6,25.124,MIA,@,NWE,L 0-34,0,0,,0,10,445,44.50,0
39,1980,1980-10-19,7,25.131,MIA,,BUF,W 17-14,0,0,,0,5,219,43.80,0
40,1980,1980-10-27,8,25.139,MIA,@,NYJ,L 14-17,0,0,,0,4,157,39.25,0
41,1980,1980-11-02,9,25.145,MIA,@,OAK,L 10-16,0,0,,0,6,285,47.50,0
42,1980,1980-11-09,10,25.152,MIA,@,RAM,W 35-14,0,0,,0,3,129,43.00,1
43,1980,1980-11-16,11,25.159,MIA,,SFO,W 17-13,0,0,,0,2,78,39.00,0
44,1980,1980-11-20,12,25.163,MIA,,SDG,L 24-27,0,0,,0,2,93,46.50,0
45,1980,1980-11-30,13,25.173,MIA,@,PIT,L 10-23,0,0,,0,6,236,39.33,0
46,1980,1980-12-08,14,25.181,MIA,,NWE,W 16-13,0,0,,0,4,192,48.00,0
47,1980,1980-12-14,15,25.187,MIA,@,BAL,W 24-14,0,0,,0,8,334,41.75,0
48,1980,1980-12-20,16,25.193,MIA,,NYJ,L 17-24,0,0,,0,2,76,38.00,0
49,1981,1981-09-07,1,26.089,SDG,@,CLE,W 44-14,0,0,,0,2,84,42.00,0
50,1981,1981-09-13,2,26.095,SDG,,DET,W 28-23,0,0,,0,3,125,41.67,0
51,1981,1981-09-20,3,26.102,SDG,@,KAN,W 42-31,1,2,2.00,0,5,201,40.20,0
52,1981,1981-09-27,4,26.109,SDG,@,DEN,L 24-42,0,0,,0,3,120,40.00,0
53,1981,1981-10-04,5,26.116,SDG,,SEA,W 24-10,0,0,,0,5,207,41.40,0
54,1981,1981-10-11,6,26.123,SDG,,MIN,L 31-33,0,0,,0,4,165,41.25,0
55,1981,1981-10-18,7,26.130,SDG,@,BAL,W 43-14,0,0,,0,4,181,45.25,0
56,1981,1981-10-25,8,26.137,SDG,@,CHI,L 17-20,0,0,,0,5,220,44.00,0
57,1981,1981-11-01,9,26.144,SDG,,KAN,W 22-20,0,0,,0,4,192,48.00,0
58,1981,1981-11-08,10,26.151,SDG,,CIN,L 17-40,0,0,,0,5,196,39.20,0
59,1981,1981-11-16,11,26.159,SDG,@,SEA,L 23-44,0,0,,0,1,40,40.00,0
60,1981,1981-11-22,12,26.165,SDG,@,OAK,W 55-21,0,0,,0,3,129,43.00,0
61,1981,1981-11-29,13,26.172,SDG,,DEN,W 34-17,0,0,,0,6,231,38.50,0
62,1981,1981-12-06,14,26.179,SDG,,BUF,L 27-28,0,0,,0,4,133,33.25,0
63,1981,1981-12-13,15,26.186,SDG,@,TAM,W 24-23,0,0,,0,4,189,47.25,0
64,1981,1981-12-21,16,26.194,SDG,,OAK,W 23-10,0,0,,0,4,127,31.75,1
65,1982,1982-12-19,7,27.192,ATL,@,SFO,W 17-7,0,0,,0,6,212,35.33,0
66,1982,1982-12-26,8,27.199,ATL,,GNB,L 7-38,0,0,,0,6,250,41.67,0
67,1982,1983-01-02,9,27.206,ATL,@,NOR,L 6-35,0,0,,0,5,228,45.60,0
