ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,2013,2013-09-15,2,22.155,TAM,,NOR,L 14-16,,,,,,,,,,,0.0%,,,,,,,,,,,,
2,2013,2013-09-22,3,22.162,TAM,@,NWE,L 3-23,,1,5,5.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,
3,2013,2013-09-29,4,22.169,TAM,,ARI,L 10-13,,0,0,,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,,
4,2013,2013-10-13,5,22.183,TAM,,PHI,L 20-31,,2,7,3.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,
5,2013,2013-10-20,6,22.190,TAM,@,ATL,L 23-31,,14,45,3.21,0,3,3,8,2.67,0,100.0%,2.67,0,0,,0,0,0,,0,0,,
6,2013,2013-10-24,7,22.194,TAM,,CAR,L 13-31,*,10,39,3.90,0,5,4,25,6.25,0,80.0%,5.00,0,0,,0,0,0,,0,0,,
7,2013,2013-11-03,8,22.204,TAM,@,SEA,L 24-27,*,28,158,5.64,0,2,2,8,4.00,0,100.0%,4.00,1,1,100.00,2,1,0,118.7,0,0,2.00,22.00
8,2013,2013-11-11,9,22.212,TAM,,MIA,W 22-19,*,5,41,8.20,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,
9,2014,2014-09-07,1,23.147,TAM,,CAR,L 14-20,,,,,,,,,,,0.0%,,,,,,,,,,,,
10,2014,2014-09-14,2,23.154,TAM,,STL,L 17-19,,6,7,1.17,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,
11,2014,2014-09-18,3,23.158,TAM,@,ATL,L 14-56,,4,4,1.00,0,1,1,-5,-5.00,0,100.0%,-5.00,0,0,,0,0,0,,0,0,,
12,2014,2014-10-05,5,23.175,TAM,@,NOR,L 31-37,,,,,,,,,,,0.0%,,,,,,,,,,,,
13,2014,2014-10-12,6,23.182,TAM,,BAL,L 17-48,,,,,,,,,,,0.0%,,,,,,,,,,,,
14,2014,2014-10-26,7,23.196,TAM,,MIN,L 13-19,,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,
15,2014,2014-11-02,8,23.203,TAM,@,CLE,L 17-22,,4,9,2.25,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,
16,2014,2014-11-09,9,23.210,TAM,,ATL,L 17-27,,4,16,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,
17,2014,2014-11-30,12,23.231,TAM,,CIN,L 13-14,,,,,,,,,,,0.0%,,,,,,,,,,,,
18,2014,2014-12-07,13,23.238,TAM,@,DET,L 17-34,,,,,,,,,,,0.0%,,,,,,,,,,,,
19,2014,2014-12-14,14,23.245,TAM,@,CAR,L 17-19,,,,,,,,,,,0.0%,,,,,,,,,,,,
20,2016,2016-11-03,8,25.204,TAM,,ATL,L 28-43,,1,3,3.00,0,3,3,17,5.67,0,100.0%,5.67,0,0,,0,0,0,,0,0,,
21,2016,2016-11-13,9,25.214,TAM,,CHI,W 36-10,,2,7,3.50,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,
22,2016,2016-11-20,10,25.221,TAM,@,KAN,W 19-17,,1,9,9.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,
23,2016,2016-11-27,11,25.228,TAM,,SEA,W 14-5,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,
