ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1960,1960-10-16,5,23.004,BUF,,NYT,L 13-17,*,10,24,41.67,127,1,2,38.0,0,0,5.29,2.38,1,-5,-5.00,0,0,0,,0,0,0,0,0,,0
2,1960,1960-10-23,6,23.011,BUF,,OAK,W 38-9,*,14,32,43.75,243,4,2,83.7,0,0,7.59,7.28,5,16,3.20,1,0,0,,0,1,6,0,0,,0
3,1960,1960-10-30,7,23.018,BUF,,HOU,W 25-24,*,18,49,36.73,334,2,1,66.2,0,0,6.82,6.71,6,-1,-0.17,0,0,0,,0,0,0,0,0,,0
4,1960,1960-11-06,8,23.025,BUF,,DTX,L 28-45,*,9,26,34.62,153,1,4,28.7,0,0,5.88,-0.27,1,3,3.00,0,0,0,,0,0,0,0,0,,0
5,1960,1960-11-13,9,23.032,BUF,@,OAK,L 7-20,*,14,32,43.75,133,0,1,42.8,0,0,4.16,2.75,2,-1,-0.50,0,0,0,,0,0,0,0,0,,0
6,1960,1960-11-20,10,23.039,BUF,@,LAC,W 32-3,,6,12,50.00,87,1,0,101.7,0,0,7.25,8.92,1,-3,-3.00,0,1,0,0.00,0,0,0,0,0,,0
7,1960,1960-11-27,11,23.046,BUF,@,DEN,T 38-38,,4,9,44.44,33,0,0,54.4,0,0,3.67,3.67,1,7,7.00,0,0,0,,0,0,0,0,0,,0
8,1960,1960-12-04,12,23.053,BUF,,BOS,W 38-14,*,3,13,23.08,27,0,0,39.6,0,0,2.08,2.08,2,9,4.50,1,0,0,,0,1,6,0,0,,0
9,1960,1960-12-11,13,23.060,BUF,@,HOU,L 23-31,,4,12,33.33,55,1,0,76.7,0,0,4.58,6.25,2,4,2.00,0,0,0,,0,0,0,0,0,,0
10,1960,1960-12-18,14,23.067,BUF,@,DTX,L 7-24,,7,19,36.84,75,0,0,49.2,0,0,3.95,3.95,0,0,,0,0,0,,0,0,0,0,0,,0
11,1961,1961-11-05,9,24.024,BUF,,OAK,L 22-31,*,12,28,42.86,244,2,2,68.2,0,0,8.71,6.93,3,-1,-0.33,0,0,0,,0,0,0,0,0,,0
12,1961,1961-11-12,10,24.031,BUF,@,DTX,W 30-20,,9,23,39.13,97,0,2,16.0,0,0,4.22,0.30,3,2,0.67,1,0,0,,0,1,6,0,0,,0
13,1961,1961-11-19,11,24.038,BUF,@,DEN,W 23-10,*,13,25,52.00,209,2,0,106.9,0,0,8.36,9.96,5,20,4.00,0,0,0,,0,0,0,0,0,,0
14,1961,1961-11-23,12,24.042,BUF,@,NYT,L 14-21,*,10,19,52.63,180,1,1,81.0,0,0,9.47,8.16,2,9,4.50,0,0,0,,0,0,0,0,0,,0
15,1961,1961-12-03,13,24.052,BUF,@,OAK,W 26-21,*,1,6,16.67,21,1,0,81.2,0,0,3.50,6.83,0,0,,0,0,0,,0,0,0,0,0,,0
16,1961,1961-12-10,14,24.059,BUF,@,SDG,L 10-28,*,11,25,44.00,152,0,0,64.1,0,0,6.08,6.08,1,-15,-15.00,0,0,0,,0,0,0,0,0,,0
17,1962,1962-09-09,1,24.332,NYT,@,OAK,W 28-17,,0,0,,0,0,0,,0,0,,,1,1,1.00,0,0,0,,0,0,0,0,0,,0
18,1962,1962-10-21,7,25.009,NYT,@,DTX,L 17-20,*,13,25,52.00,190,0,3,37.5,0,0,7.60,2.20,3,12,4.00,1,0,0,,0,1,6,0,0,,0
19,1962,1962-10-28,8,25.016,NYT,,SDG,W 23-3,*,17,30,56.67,313,2,1,101.1,0,0,10.43,10.27,1,0,0.00,0,0,0,,0,0,0,2,66,33.00,0
20,1962,1962-11-04,9,25.023,NYT,,OAK,W 31-21,*,17,34,50.00,246,1,4,44.1,0,0,7.24,2.53,3,5,1.67,1,0,0,,0,1,6,0,0,,0
21,1962,1962-11-11,10,25.030,NYT,,DTX,L 31-52,*,21,37,56.76,205,1,2,59.0,0,0,5.54,3.65,4,6,1.50,1,0,0,,0,1,6,0,0,,0
22,1962,1962-11-22,11,25.041,NYT,@,DEN,W 46-45,*,22,46,47.83,292,5,3,77.4,0,0,6.35,5.59,3,8,2.67,0,0,0,,0,0,0,1,55,55.00,0
23,1962,1962-11-30,12,25.049,NYT,@,BOS,L 17-24,*,16,39,41.03,243,1,0,70.8,0,0,6.23,6.74,1,2,2.00,0,0,0,,0,0,0,0,0,,0
24,1962,1962-12-08,13,25.057,NYT,,BUF,L 3-20,*,20,39,51.28,206,0,3,34.8,0,0,5.28,1.82,1,1,1.00,0,0,0,,0,0,0,0,0,,0
25,1962,1962-12-15,14,25.064,NYT,,HOU,L 10-44,*,2,8,25.00,46,0,2,11.5,0,0,5.75,-5.50,0,0,,0,0,0,,0,0,0,0,0,,0
26,1963,1963-09-08,1,25.331,NYJ,@,BOS,L 14-38,,2,6,33.33,10,0,1,2.8,0,0,1.67,-5.83,0,0,,0,0,0,,0,0,0,0,0,,0
