ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2005,2005-09-11,1,22.269,ARI,@,NYG,L 19-42,*,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
2,2005,2005-09-18,2,22.276,ARI,,STL,L 12-17,*,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
3,2005,2005-09-25,3,22.283,ARI,@,SEA,L 12-37,*,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
4,2005,2005-12-11,13,22.360,ARI,,WAS,L 13-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,,1,29,0
5,2005,2005-12-18,14,23.002,ARI,@,HOU,L 19-30,*,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
6,2006,2006-09-10,1,23.268,ARI,,SFO,W 34-27,*,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
7,2006,2006-09-17,2,23.275,ARI,@,SEA,L 10-21,*,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
8,2006,2006-09-24,3,23.282,ARI,,STL,L 14-16,*,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
9,2006,2006-10-01,4,23.289,ARI,@,ATL,L 10-32,*,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
10,2006,2006-10-08,5,23.296,ARI,,KAN,L 20-23,*,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
11,2006,2006-10-16,6,23.304,ARI,,CHI,L 23-24,*,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
12,2006,2006-10-22,7,23.310,ARI,@,OAK,L 9-22,*,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
13,2006,2006-10-29,8,23.317,ARI,@,GNB,L 14-31,*,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
14,2006,2006-11-12,9,23.331,ARI,,DAL,L 10-27,*,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
15,2006,2006-11-19,10,23.338,ARI,,DET,W 17-10,*,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
16,2006,2006-11-26,11,23.345,ARI,@,MIN,L 26-31,*,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
17,2006,2006-12-03,12,23.352,ARI,@,STL,W 34-20,*,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
18,2006,2006-12-10,13,23.359,ARI,,SEA,W 27-21,*,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
19,2006,2006-12-17,14,24.001,ARI,,DEN,L 20-37,*,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
20,2006,2006-12-24,15,24.008,ARI,@,SFO,W 26-20,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,,1,23,0
21,2006,2006-12-31,16,24.015,ARI,@,SDG,L 20-27,*,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
22,2007,2007-09-10,1,24.268,ARI,@,SFO,L 17-20,,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
