ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1980,1980-09-07,1,22.093,NYG,@,STL,W 41-35,,,,,,,
2,1980,1980-09-14,2,22.100,NYG,,WAS,L 21-23,,,,,,,
3,1980,1980-09-22,3,22.108,NYG,@,PHI,L 3-35,0,0,,0,1,28,0
4,1980,1980-09-28,4,22.114,NYG,,RAM,L 7-28,0,0,,0,1,19,0
5,1980,1980-10-05,5,22.121,NYG,@,DAL,L 3-24,0,0,,0,1,0,0
6,1980,1980-10-12,6,22.128,NYG,,PHI,L 16-31,,,,,,,
7,1980,1980-10-19,7,22.135,NYG,@,SDG,L 7-44,0,0,,0,1,21,0
8,1980,1980-10-26,8,22.142,NYG,,DEN,L 9-14,,,,,,,
9,1980,1980-11-02,9,22.149,NYG,@,TAM,L 13-30,,,,,,,
10,1980,1980-11-09,10,22.156,NYG,,DAL,W 38-35,0,0,,0,1,0,0
11,1980,1980-11-16,11,22.163,NYG,,GNB,W 27-21,,,,,,,
12,1980,1980-11-23,12,22.170,NYG,@,SFO,L 0-12,,,,,,,
13,1980,1980-11-30,13,22.177,NYG,,STL,L 7-23,,,,,,,
14,1981,1981-09-06,1,23.092,NYG,,PHI,L 10-24,0,0,,0,,,
15,1981,1981-09-13,2,23.099,NYG,@,WAS,W 17-7,0,0,,0,,,
16,1981,1981-09-20,3,23.106,NYG,,NOR,W 20-7,0,0,,0,,,
17,1981,1981-09-27,4,23.113,NYG,@,DAL,L 10-18,0,0,,0,,,
18,1981,1981-10-04,5,23.120,NYG,,GNB,L 14-27,0,0,,0,,,
19,1981,1981-10-11,6,23.127,NYG,,STL,W 34-14,0,0,,0,,,
20,1981,1981-10-18,7,23.134,NYG,@,SEA,W 32-0,0,0,,0,,,
21,1981,1981-10-25,8,23.141,NYG,@,ATL,W 27-24,1,17,17.00,0,0,0,0
22,1981,1981-11-01,9,23.148,NYG,,NYJ,L 7-26,1,17,17.00,0,0,0,0
23,1981,1981-11-08,10,23.155,NYG,@,GNB,L 24-26,0,0,,0,,,
24,1981,1981-11-15,11,23.162,NYG,,WAS,L 27-30,0,0,,0,,,
25,1981,1981-11-22,12,23.169,NYG,@,PHI,W 20-10,0,0,,0,,,
26,1981,1981-11-29,13,23.176,NYG,@,SFO,L 10-17,1,17,17.00,0,0,0,0
27,1981,1981-12-06,14,23.183,NYG,,RAM,W 10-7,0,0,,0,,,
28,1981,1981-12-13,15,23.190,NYG,@,STL,W 20-10,0,0,,0,,,
29,1981,1981-12-19,16,23.196,NYG,,DAL,W 13-10,0,0,,0,,,
30,1982,1982-09-12,1,24.098,NYG,,ATL,L 14-16,2,41,20.50,0,0,0,0
31,1982,1982-09-20,2,24.106,NYG,,GNB,L 19-27,0,0,,0,,,
32,1982,1982-11-21,3,24.168,NYG,,WAS,L 17-27,0,0,,0,,,
33,1982,1982-11-25,4,24.172,NYG,@,DET,W 13-6,0,0,,0,,,
34,1982,1982-12-05,5,24.182,NYG,,HOU,W 17-14,0,0,,0,,,
35,1982,1982-12-11,6,24.188,NYG,,PHI,W 23-7,0,0,,0,,,
36,1982,1982-12-19,7,24.196,NYG,@,WAS,L 14-15,1,27,27.00,0,0,0,0
37,1982,1982-12-26,8,24.203,NYG,@,STL,L 21-24,0,0,,0,,,
38,1982,1983-01-02,9,24.210,NYG,@,PHI,W 26-24,0,0,,0,,,
39,1983,1983-09-04,1,25.090,NYG,,RAM,L 6-16,0,0,,0,1,0,0
40,1983,1983-09-11,2,25.097,NYG,@,ATL,W 16-13,1,54,54.00,0,0,0,0
41,1983,1983-09-18,3,25.104,NYG,@,DAL,L 13-28,0,0,,0,,,
42,1983,1983-09-26,4,25.112,NYG,,GNB,W 27-3,0,0,,0,,,
43,1983,1983-10-02,5,25.118,NYG,,SDG,L 34-41,0,0,,0,,,
44,1983,1983-10-09,6,25.125,NYG,,PHI,L 13-17,0,0,,0,,,
45,1983,1983-10-16,7,25.132,NYG,@,KAN,L 17-38,0,0,,0,,,
46,1983,1983-10-24,8,25.140,NYG,@,STL,T 20-20,0,0,,0,,,
47,1983,1983-10-30,9,25.146,NYG,,DAL,L 20-38,0,0,,0,,,
48,1983,1983-11-07,10,25.154,NYG,@,DET,L 9-15,0,0,,0,,,
49,1983,1983-11-13,11,25.160,NYG,,WAS,L 17-33,0,0,,0,,,
50,1983,1983-11-20,12,25.167,NYG,@,PHI,W 23-0,0,0,,0,,,
51,1983,1983-11-27,13,25.174,NYG,@,RAI,L 12-27,0,0,,0,,,
52,1983,1983-12-04,14,25.181,NYG,,STL,L 6-10,0,0,,0,,,
53,1983,1983-12-11,15,25.188,NYG,,SEA,L 12-17,0,0,,0,,,
54,1983,1983-12-17,16,25.194,NYG,@,WAS,L 22-31,0,0,,0,,,
55,1984,1984-10-07,6,26.123,SDG,@,GNB,W 34-28,,,,,,,
56,1984,1984-10-14,7,26.130,SDG,@,KAN,L 13-31,,,,,,,
57,1984,1984-11-26,13,26.173,NYJ,@,MIA,L 17-28,,,,,,,
58,1984,1984-12-02,14,26.179,NYJ,,NYG,L 10-20,,,,,,,
59,1984,1984-12-08,15,26.185,NYJ,,BUF,W 21-17,,,,,,,
60,1984,1984-12-16,16,26.193,NYJ,@,TAM,L 21-41,,,,,,,
