ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1995,1995-12-24,16,23.163,OAK,,DEN,L 28-31,,,,,,,,,,0.0%,,,,,,,
2,1996,1996-09-01,1,24.049,OAK,@,BAL,L 14-19,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
3,1996,1996-09-08,2,24.056,OAK,@,KAN,L 3-19,4,11,2.75,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
4,1996,1996-09-15,3,24.063,OAK,,JAX,W 17-3,2,11,5.50,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
5,1996,1996-09-22,4,24.070,OAK,,SDG,L 34-40,1,24,24.00,0,5,4,55,13.75,0,80.0%,11.00,1,17,17.00,0,0,0
6,1996,1996-09-29,5,24.077,OAK,@,CHI,L 17-19,13,86,6.62,0,0,0,0,,0,0.0%,,0,0,,0,0,0
7,1996,1996-10-06,6,24.084,OAK,@,NYJ,W 34-13,21,136,6.48,1,1,1,3,3.00,0,100.0%,3.00,0,0,,0,1,6
8,1996,1996-10-13,7,24.091,OAK,,DET,W 37-21,16,44,2.75,0,4,3,5,1.67,0,75.0%,1.25,0,0,,0,0,0
9,1996,1996-10-21,8,24.099,OAK,@,SDG,W 23-14,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
10,1996,1996-11-04,9,24.113,OAK,,DEN,L 21-22,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
11,1996,1996-11-10,10,24.119,OAK,@,TAM,L 17-20,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
12,1996,1996-11-24,12,24.133,OAK,@,SEA,W 27-21,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
13,1996,1996-12-01,13,24.140,OAK,,MIA,W 17-7,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
14,1996,1996-12-09,14,24.148,OAK,,KAN,W 26-7,4,14,3.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0
15,1996,1996-12-15,15,24.154,OAK,@,DEN,L 19-24,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
16,1996,1996-12-22,16,24.161,OAK,,SEA,L 21-28,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
17,1997,1997-08-31,1,25.048,OAK,@,TEN,L 21-24,4,6,1.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0
18,1997,1997-09-08,2,25.056,OAK,,KAN,L 27-28,4,-1,-0.25,0,0,0,0,,0,0.0%,,0,0,,0,0,0
19,1997,1997-09-14,3,25.062,OAK,@,ATL,W 36-31,0,0,,0,,,,,,0.0%,,0,0,,0,,
20,1997,1997-09-21,4,25.069,OAK,@,NYJ,L 22-23,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
21,1997,1997-09-28,5,25.076,OAK,,STL,W 35-17,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
22,1997,1997-11-16,11,25.125,OAK,@,SDG,W 38-13,2,1,0.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0
23,1997,1997-12-14,15,25.153,OAK,,SEA,L 21-22,0,0,,0,0,0,0,,0,0.0%,,2,46,23.00,0,0,0
