ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1991,1991-09-08,2,23.253,BUF,,PIT,W 52-34,,,,,,,,,,,,,,,
2,1991,1991-09-15,3,23.260,BUF,@,NYJ,W 23-20,,,,,,,,,,,,,,,
3,1991,1991-09-22,4,23.267,BUF,@,TAM,W 17-10,,,,,,,,,,,,,,,
4,1991,1991-09-29,5,23.274,BUF,,CHI,W 35-20,,,,,,,,,,,,,,,
5,1991,1991-10-07,6,23.282,BUF,@,KAN,L 6-33,,,,,,,,,,,,,,,
6,1991,1991-10-13,7,23.288,BUF,,IND,W 42-6,,,,,,,,,,,,,,,
7,1991,1991-10-21,8,23.296,BUF,,CIN,W 35-16,,,,,,,,,,,,,,,
8,1991,1991-11-03,9,23.309,BUF,,NWE,W 22-17,,,,,,,,,,,,,,,
9,1991,1991-11-10,10,23.316,BUF,@,GNB,W 34-24,,,,,,,,,,,,,,,
10,1991,1991-11-18,11,23.324,BUF,@,MIA,W 41-27,,,,,,,,,,,,,,,
11,1991,1991-11-24,12,23.330,BUF,@,NWE,L 13-16,,,,,,,,,,,,,,,
12,1991,1991-12-01,13,23.337,BUF,,NYJ,W 24-13,,,,,,,,,,,,,,,
13,1991,1991-12-08,14,23.344,BUF,@,RAI,W 30-27,,,,,,,,,,,,,,,
14,1991,1991-12-15,15,23.351,BUF,@,IND,W 35-7,,,,,,,,,,,,,,,
15,1991,1991-12-22,16,23.358,BUF,,DET,L 14-17,,,,,,,,,,,,,,,
16,1992,1992-09-06,1,24.252,BUF,,RAM,W 40-7,,0,0,,0,0,0,,0,0,0,0.0,2,67,0
17,1992,1992-09-13,2,24.259,BUF,@,SFO,W 34-31,,,,,,,,,,,,,,,
18,1992,1992-09-20,3,24.266,BUF,,IND,W 38-0,,0,0,,0,0,0,,0,2,12,0.0,2,105,2
19,1992,1992-09-27,4,24.273,BUF,@,NWE,W 41-7,,,,,,,,,,,,,,,
20,1992,1992-10-04,5,24.280,BUF,,MIA,L 10-37,,,,,,,,,,,,,,,
21,1992,1992-10-11,6,24.287,BUF,@,RAI,L 3-20,,0,0,,0,0,0,,0,0,0,0.0,1,6,0
22,1992,1992-10-26,7,24.302,BUF,@,NYJ,W 24-20,,0,0,,0,0,0,,0,0,0,0.0,1,36,0
23,1992,1992-11-01,8,24.308,BUF,,NWE,W 16-7,,,,,,,,,,,,,,,
24,1992,1992-11-08,9,24.315,BUF,,PIT,W 28-20,,,,,,,,,,,,,,,
25,1992,1992-11-16,10,24.323,BUF,@,MIA,W 26-20,,0,0,,0,0,0,,0,0,0,0.0,1,22,0
26,1992,1992-11-22,11,24.329,BUF,,ATL,W 41-14,,0,0,,0,0,0,,0,0,0,0.0,1,27,0
27,1992,1992-11-29,12,24.336,BUF,@,IND,L 13-16,,,,,,,,,,,,,,,
28,1992,1992-12-06,13,24.343,BUF,,NYJ,L 17-24,,,,,,,,,,,,,,,
29,1992,1992-12-12,14,24.349,BUF,,DEN,W 27-17,,,,,,,,,,,,,,,
30,1992,1992-12-20,15,24.357,BUF,@,NOR,W 20-16,,,,,,,,,,,,,,,
31,1992,1992-12-27,16,24.364,BUF,@,HOU,L 3-27,,,,,,,,,,,,,,,
