ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2012,2012-09-09,1,22.057,SEA,@,ARI,L 16-20,,,,,,,,,,,
2,2012,2012-09-24,3,22.072,SEA,,GNB,W 14-12,,0,0,,0,0.0,0,0,0,0,0
3,2012,2012-09-30,4,22.078,SEA,@,STL,L 13-19,,0,0,,0,0.0,1,0,0,0,0
4,2012,2012-10-18,7,22.096,SEA,@,SFO,L 6-13,,,,,,,,,,,
5,2012,2012-10-28,8,22.106,SEA,@,DET,L 24-28,,,,,,,,,,,
6,2012,2012-11-04,9,22.113,SEA,,MIN,W 30-20,,0,0,,0,0.0,0,0,0,0,0
7,2012,2012-11-11,10,22.120,SEA,,NYJ,W 28-7,,0,0,,0,0.0,0,0,0,0,0
8,2012,2012-11-25,11,22.134,SEA,@,MIA,L 21-24,,,,,,,,,,,
9,2012,2012-12-02,12,22.141,SEA,@,CHI,W 23-17,,,,,,,,,,,
10,2012,2012-12-09,13,22.148,SEA,,ARI,W 58-0,,0,0,,0,0.0,0,1,0,0,0
11,2012,2012-12-16,14,22.155,SEA,@,BUF,W 50-17,*,0,0,,0,0.0,2,1,0,0,0
12,2012,2012-12-23,15,22.162,SEA,,SFO,W 42-13,*,0,0,,0,0.0,2,2,0,0,0
13,2012,2012-12-30,16,22.169,SEA,,STL,W 20-13,*,0,0,,0,0.0,1,1,0,0,0
14,2013,2013-09-08,1,23.056,SEA,@,CAR,W 12-7,,,,,,,,,,,
15,2013,2013-09-15,2,23.063,SEA,,SFO,W 29-3,,0,0,,0,0.0,2,0,0,0,0
16,2013,2013-09-22,3,23.070,SEA,,JAX,W 45-17,,1,22,22.00,0,0.0,1,0,0,0,0
17,2013,2013-09-29,4,23.077,SEA,@,HOU,W 23-20,,1,25,25.00,0,0.0,1,0,0,0,0
18,2013,2013-10-13,6,23.091,SEA,,TEN,W 20-13,,,,,,,,,,,
19,2013,2013-10-17,7,23.095,SEA,@,ARI,W 34-22,,0,0,,0,0.0,1,0,0,0,0
20,2013,2013-10-28,8,23.106,SEA,@,STL,W 14-9,,0,0,,0,0.0,1,0,0,0,0
21,2013,2013-11-03,9,23.112,SEA,,TAM,W 27-24,,0,0,,0,0.0,1,0,0,0,0
22,2013,2013-11-10,10,23.119,SEA,@,ATL,W 33-10,,,,,,,,,,,
23,2013,2013-11-17,11,23.126,SEA,,MIN,W 41-20,,,,,,,,,,,
24,2013,2013-12-02,12,23.141,SEA,,NOR,W 34-7,,0,0,,0,0.0,1,2,0,0,0
25,2013,2013-12-08,13,23.147,SEA,@,SFO,L 17-19,,0,0,,0,0.0,1,1,0,0,0
26,2013,2013-12-15,14,23.154,SEA,@,NYG,W 23-0,,0,0,,0,0.0,6,1,0,0,0
27,2013,2013-12-22,15,23.161,SEA,,ARI,L 10-17,,0,0,,0,0.0,3,0,0,0,0
28,2013,2013-12-29,16,23.168,SEA,,STL,W 27-9,,0,0,,0,0.0,0,3,0,0,0
29,2014,2014-09-04,1,24.052,SEA,,GNB,W 36-16,*,0,0,,0,0.0,3,1,0,0,0
30,2014,2014-11-09,9,24.118,SEA,,NYG,W 38-17,,0,0,,0,0.0,2,2,0,0,0
31,2014,2014-11-16,10,24.125,SEA,@,KAN,L 20-24,,,,,,,,,,,
32,2014,2014-11-23,11,24.132,SEA,,ARI,W 19-3,,0,0,,0,0.0,3,0,0,0,0
33,2014,2014-12-14,14,24.153,SEA,,SFO,W 17-7,,,,,,,,,,,
34,2014,2014-12-21,15,24.160,SEA,@,ARI,W 35-6,,0,0,,0,0.0,1,0,0,0,0
35,2014,2014-12-28,16,24.167,SEA,,STL,W 20-6,,0,0,,0,0.0,0,1,0,0,0
36,2015,2015-11-29,11,25.138,SEA,,PIT,W 39-30,,0,0,,0,0.0,1,1,1,54,0
37,2015,2015-12-06,12,25.145,SEA,@,MIN,W 38-7,,0,0,,0,0.0,0,0,0,0,0
38,2015,2015-12-13,13,25.152,SEA,@,BAL,W 35-6,,0,0,,0,0.0,2,0,0,0,0
39,2015,2015-12-20,14,25.159,SEA,,CLE,W 30-13,*,0,0,,0,0.0,4,0,0,0,0
40,2015,2015-12-27,15,25.166,SEA,,STL,L 17-23,,0,0,,0,0.0,2,0,0,0,0
41,2015,2016-01-03,16,25.173,SEA,@,ARI,W 36-6,*,0,0,,0,0.0,1,0,1,6,0
42,2016,2016-09-11,1,26.059,SEA,,MIA,W 12-10,*,0,0,,0,0.0,2,1,0,0,0
43,2016,2016-09-18,2,26.066,SEA,@,LAR,L 3-9,,0,0,,0,0.0,1,0,0,0,0
44,2016,2016-09-25,3,26.073,SEA,,SFO,W 37-18,*,0,0,,0,0.0,3,1,0,0,0
45,2016,2016-10-02,4,26.080,SEA,@,NYJ,W 27-17,*,0,0,,0,0.0,3,1,0,0,0
46,2016,2016-10-16,5,26.094,SEA,,ATL,W 26-24,*,0,0,,0,0.0,1,1,0,0,0
47,2016,2016-10-23,6,26.101,SEA,@,ARI,T 6-6,,0,0,,0,0.0,6,1,0,0,0
48,2016,2016-10-30,7,26.108,SEA,@,NOR,L 20-25,,0,0,,0,0.0,2,0,0,0,0
49,2016,2016-11-07,8,26.116,SEA,,BUF,W 31-25,,0,0,,0,0.0,2,1,0,0,0
50,2016,2016-11-13,9,26.122,SEA,@,NWE,W 31-24,*,0,0,,0,0.0,0,0,0,0,0
51,2016,2016-11-20,10,26.129,SEA,,PHI,W 26-15,,0,0,,0,0.0,5,1,0,0,0
52,2016,2016-11-27,11,26.136,SEA,@,TAM,L 5-14,*,0,0,,0,0.0,2,1,0,0,0
53,2016,2016-12-04,12,26.143,SEA,,CAR,W 40-7,,0,0,,0,0.0,0,1,0,0,0
54,2016,2016-12-11,13,26.150,SEA,@,GNB,L 10-38,*,0,0,,0,0.0,1,1,0,0,0
55,2016,2016-12-15,14,26.154,SEA,,LAR,W 24-3,*,0,0,,0,0.0,2,2,0,0,0
56,2016,2016-12-24,15,26.163,SEA,,ARI,L 31-34,*,0,0,,0,0.0,1,1,0,0,0
57,2016,2017-01-01,16,26.171,SEA,@,SFO,W 25-23,,0,0,,0,0.0,2,0,0,0,0
58,2017,2017-09-10,1,27.058,SEA,@,GNB,L 9-17,*,0,0,,0,0.0,1,0,0,0,0
59,2017,2017-09-17,2,27.065,SEA,,SFO,W 12-9,*,0,0,,0,0.0,5,0,0,0,0
60,2017,2017-09-24,3,27.072,SEA,@,TEN,L 27-33,*,0,0,,0,0.0,3,0,0,0,0
61,2017,2017-10-01,4,27.079,SEA,,IND,W 46-18,*,0,0,,0,0.0,0,0,0,0,0
62,2017,2017-10-29,7,27.107,SEA,,HOU,W 41-38,,0,0,,0,0.0,0,0,0,0,0
63,2017,2017-11-09,9,27.118,SEA,@,ARI,W 22-16,,0,0,,0,0.0,2,0,0,0,0
64,2017,2017-11-20,10,27.129,SEA,,ATL,L 31-34,*,0,0,,0,0.0,2,5,0,0,0
65,2017,2017-11-26,11,27.135,SEA,@,SFO,W 24-13,*,0,0,,0,0.0,3,1,0,0,0
66,2017,2017-12-03,12,27.142,SEA,,PHI,W 24-10,,0,0,,0,0.0,0,0,0,0,0
67,2017,2017-12-10,13,27.149,SEA,@,JAX,L 24-30,,0,0,,0,0.0,0,0,0,0,0
68,2017,2017-12-17,14,27.156,SEA,,LAR,L 7-42,,0,0,,0,0.0,1,4,0,0,0
69,2017,2017-12-24,15,27.163,SEA,@,DAL,W 21-12,,0,0,,0,0.0,0,0,0,0,0
70,2017,2017-12-31,16,27.170,SEA,,ARI,L 24-26,,0,0,,0,0.0,1,0,0,0,0
