ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1976,1976-09-12,1,22.267,CIN,,DEN,W 17-7,,,,,,
2,1976,1976-09-19,2,22.274,CIN,@,BAL,L 27-28,,,,,,
3,1976,1976-09-26,3,22.281,CIN,,GNB,W 28-7,,,,,,
4,1976,1976-10-03,4,22.288,CIN,@,CLE,W 45-24,,,,,,
5,1976,1976-10-10,5,22.295,CIN,,TAM,W 21-0,,,,,,
6,1976,1976-10-17,6,22.302,CIN,@,PIT,L 6-23,,,,,,
7,1976,1976-10-24,7,22.309,CIN,@,HOU,W 27-7,,,,,,
8,1976,1976-10-31,8,22.316,CIN,,CLE,W 21-6,,,,,,
9,1976,1976-11-08,9,22.324,CIN,,RAM,W 20-12,,,,,,
10,1976,1976-11-14,10,22.330,CIN,,HOU,W 31-27,,,,,,
11,1976,1976-11-21,11,22.337,CIN,@,KAN,W 27-24,,,,,,
12,1976,1976-11-28,12,22.344,CIN,,PIT,L 3-7,,,,,,
13,1976,1976-12-06,13,22.352,CIN,@,OAK,L 20-35,,,,,,
14,1976,1976-12-12,14,22.358,CIN,@,NYJ,W 42-3,,,,,,
15,1977,1977-09-25,2,23.279,CIN,,SEA,W 42-20,,,,,,
16,1977,1977-10-02,3,23.286,CIN,@,SDG,L 3-24,,,,,,
17,1977,1977-10-09,4,23.293,CIN,@,GNB,W 17-7,,,,,,
18,1977,1977-10-17,5,23.301,CIN,@,PIT,L 14-20,1,4,4.00,1,1,6
19,1977,1977-10-23,6,23.307,CIN,,DEN,L 13-24,,,,,,
20,1977,1977-10-30,7,23.314,CIN,,HOU,W 13-10,,,,,,
21,1977,1977-11-06,8,23.321,CIN,@,CLE,W 10-7,,,,,,
22,1977,1977-11-13,9,23.328,CIN,@,MIN,L 10-42,,,,,,
23,1977,1977-11-20,10,23.335,CIN,,MIA,W 23-17,,,,,,
24,1977,1977-11-27,11,23.342,CIN,,NYG,W 30-13,,,,,,
25,1977,1977-12-04,12,23.349,CIN,@,KAN,W 27-7,,,,,,
26,1977,1977-12-10,13,23.355,CIN,,PIT,W 17-10,,,,,,
27,1977,1977-12-18,14,23.363,CIN,@,HOU,L 16-21,,,,,,
28,1978,1978-09-03,1,24.257,CIN,,KAN,L 23-24,,,,,,
29,1978,1978-09-10,2,24.264,CIN,@,CLE,L 10-13,,,,,,
30,1978,1978-09-17,3,24.271,CIN,,PIT,L 3-28,,,,,,
31,1978,1978-09-24,4,24.278,CIN,,NOR,L 18-20,,,,,,
32,1978,1978-10-01,5,24.285,CIN,@,SFO,L 12-28,,,,,,
33,1978,1978-10-09,6,24.293,CIN,@,MIA,L 0-21,,,,,,
34,1978,1978-10-15,7,24.299,CIN,,NWE,L 3-10,,,,,,
35,1978,1978-10-22,8,24.306,CIN,@,BUF,L 0-5,,,,,,
36,1978,1978-10-29,9,24.313,CIN,,HOU,W 28-13,,,,,,
37,1978,1978-11-05,10,24.320,CIN,@,SDG,L 13-22,,,,,,
38,1978,1978-11-13,11,24.328,CIN,,OAK,L 21-34,,,,,,
39,1978,1978-11-19,12,24.334,CIN,@,PIT,L 6-7,,,,,,
40,1978,1978-11-26,13,24.341,CIN,@,HOU,L 10-17,,,,,,
41,1978,1978-12-03,14,24.348,CIN,,ATL,W 37-7,,,,,,
