ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1982,1982-09-13,1,22.019,DAL,,PIT,L 28-36,0,0,,0
2,1982,1982-09-19,2,22.025,DAL,@,STL,W 24-7,0,0,,0
3,1982,1982-11-21,3,22.088,DAL,,TAM,W 14-9,0,0,,0
4,1982,1982-11-25,4,22.092,DAL,,CLE,W 31-14,7,22,3.14,0
5,1982,1982-12-13,6,22.110,DAL,@,HOU,W 37-7,0,0,,0
6,1982,1982-12-19,7,22.116,DAL,,NOR,W 21-7,0,0,,0
7,1982,1982-12-26,8,22.123,DAL,,PHI,L 20-24,0,0,,0
8,1982,1983-01-03,9,22.131,DAL,@,MIN,L 27-31,0,0,,0
9,1983,1983-09-04,1,23.010,NWE,,BAL,L 23-29,,,,
10,1983,1983-09-11,2,23.017,NWE,@,MIA,L 24-34,,,,
11,1983,1983-09-18,3,23.024,NWE,,NYJ,W 23-13,,,,
12,1983,1983-09-25,4,23.031,NWE,@,PIT,W 28-23,,,,
13,1983,1983-10-02,5,23.038,NWE,,SFO,L 13-33,,,,
14,1983,1983-10-09,6,23.045,NWE,@,BAL,L 7-12,,,,
15,1983,1983-10-16,7,23.052,NWE,,SDG,W 37-21,,,,
16,1983,1983-10-23,8,23.059,NWE,@,BUF,W 31-0,,,,
17,1983,1983-10-30,9,23.066,NWE,@,ATL,L 13-24,,,,
18,1983,1983-11-06,10,23.073,NWE,,BUF,W 21-7,,,,
19,1983,1983-11-13,11,23.080,NWE,,MIA,W 17-6,,,,
20,1983,1983-11-20,12,23.087,NWE,,CLE,L 0-30,,,,
21,1983,1983-11-27,13,23.094,NWE,@,NYJ,L 3-26,,,,
22,1983,1983-12-04,14,23.101,NWE,,NOR,W 7-0,,,,
23,1983,1983-12-11,15,23.108,NWE,@,RAM,W 21-7,,,,
24,1983,1983-12-18,16,23.115,NWE,@,SEA,L 6-24,,,,
25,1984,1984-11-11,11,24.078,TAM,,NYG,W 20-17,0,0,,0
26,1984,1984-11-18,12,24.085,TAM,@,SFO,L 17-24,0,0,,0
27,1984,1984-11-25,13,24.092,TAM,,RAM,L 33-34,0,0,,0
28,1984,1984-12-02,14,24.099,TAM,@,GNB,L 14-27,0,0,,0
29,1984,1984-12-09,15,24.106,TAM,,ATL,W 23-6,1,2,2.00,0
30,1984,1984-12-16,16,24.113,TAM,,NYJ,W 41-21,0,0,,0
31,1985,1985-12-15,15,25.112,TAM,,IND,L 23-31,,,,
32,1985,1985-12-22,16,25.119,TAM,,GNB,L 17-20,,,,
