ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1972,1972-09-17,1,22.080,CHI,,ATL,L 21-37,1,6,6.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
2,1972,1972-09-24,2,22.087,CHI,,RAM,T 13-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1972,1972-10-01,3,22.094,CHI,,DET,L 24-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1972,1972-10-15,5,22.108,CHI,@,CLE,W 17-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1972,1972-10-23,6,22.116,CHI,,MIN,W 13-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1972,1972-10-29,7,22.122,CHI,@,STL,W 27-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1972,1972-11-05,8,22.129,CHI,@,DET,L 0-14,0,0,,0,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
8,1972,1972-11-12,9,22.136,CHI,,GNB,L 17-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1972,1972-11-19,10,22.143,CHI,,SFO,L 21-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1972,1972-11-26,11,22.150,CHI,,CIN,L 3-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1972,1972-12-03,12,22.157,CHI,@,MIN,L 10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1972,1972-12-10,13,22.164,CHI,@,PHI,W 21-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1972,1972-12-17,14,22.171,CHI,@,OAK,L 21-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1973,1973-09-16,1,23.079,CHI,,DAL,L 17-20,0,0,,0,2,2,1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
15,1973,1973-09-23,2,23.086,CHI,,MIN,L 13-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1973,1973-09-30,3,23.093,CHI,@,DEN,W 33-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1973,1973-10-07,4,23.100,CHI,@,NOR,L 16-21,1,17,17.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
18,1973,1973-10-14,5,23.107,CHI,@,ATL,L 6-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1973,1973-10-21,6,23.114,CHI,,NWE,L 10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1973,1973-10-28,7,23.121,CHI,,HOU,W 35-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,4,106,26.50,0
21,1973,1973-11-04,8,23.128,CHI,@,GNB,W 31-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1973,1973-11-12,9,23.136,CHI,@,KAN,L 7-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1973,1973-11-18,10,23.142,CHI,,DET,L 7-30,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0,0,0,0,,0
24,1973,1973-11-25,11,23.149,CHI,@,MIN,L 13-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,15,15.00,0,0,0,0,0,,0
25,1973,1973-12-02,12,23.156,CHI,,RAM,L 0-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1973,1973-12-09,13,23.163,CHI,@,DET,L 7-40,1,6,6.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
27,1973,1973-12-16,14,23.170,CHI,,GNB,L 0-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1974,1974-09-15,1,24.078,CHI,,DET,W 17-9,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,8,264,33.00,1
29,1974,1974-09-22,2,24.085,CHI,,NYJ,L 21-23,1,4,4.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,6,234,39.00,0
30,1974,1974-09-29,3,24.092,CHI,@,MIN,L 7-11,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,4,123,30.75,0
31,1974,1974-10-06,4,24.099,CHI,,NOR,W 24-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,4,174,43.50,0
32,1974,1974-10-13,5,24.106,CHI,@,ATL,L 10-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,9,372,41.33,0
33,1974,1974-10-21,6,24.114,CHI,,GNB,W 10-9,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,5,132,26.40,0
34,1974,1974-10-27,7,24.120,CHI,@,BUF,L 6-16,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,4,163,40.75,0
35,1974,1974-11-03,8,24.127,CHI,,MIN,L 0-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,8,270,33.75,0
36,1974,1974-11-10,9,24.134,CHI,@,GNB,L 3-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,7,295,42.14,0
37,1974,1974-11-17,10,24.141,CHI,,SFO,L 0-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,8,291,36.38,0
38,1974,1974-11-24,11,24.148,CHI,@,DET,L 17-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,7,276,39.43,0
39,1974,1974-12-01,12,24.155,CHI,,NYG,W 16-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,5,187,37.40,0
40,1974,1974-12-08,13,24.162,CHI,@,SDG,L 21-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,6,273,45.50,0
41,1974,1974-12-15,14,24.169,CHI,@,WAS,L 0-42,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,9,354,39.33,0
42,1975,1975-09-21,1,25.084,CHI,,BAL,L 7-35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,7,249,35.57,0
43,1975,1975-09-28,2,25.091,CHI,,PHI,W 15-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,6,254,42.33,0
44,1975,1975-10-05,3,25.098,CHI,@,MIN,L 3-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,10,441,44.10,0
45,1975,1975-10-12,4,25.105,CHI,@,DET,L 7-27,2,43,21.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,8,296,37.00,0
46,1975,1975-10-19,5,25.112,CHI,@,PIT,L 3-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,7,260,37.14,0
47,1975,1975-10-27,6,25.120,CHI,,MIN,L 9-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,9,308,34.22,0
48,1975,1975-11-02,7,25.126,CHI,,MIA,L 13-46,2,31,15.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,36,36.00,0
49,1975,1975-11-09,8,25.133,CHI,,GNB,W 27-14,4,55,13.75,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,6,269,44.83,0
50,1975,1975-11-16,9,25.140,CHI,@,SFO,L 3-31,2,16,8.00,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,8,306,38.25,0
51,1975,1975-11-23,10,25.147,CHI,@,RAM,L 10-38,1,20,20.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,9,391,43.44,0
52,1975,1975-11-30,11,25.154,CHI,@,GNB,L 7-28,2,19,9.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,7,271,38.71,0
53,1975,1975-12-07,12,25.161,CHI,,DET,W 25-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,6,219,36.50,0
54,1975,1975-12-14,13,25.168,CHI,,STL,L 20-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,5,166,33.20,0
55,1975,1975-12-21,14,25.175,CHI,@,NOR,W 42-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,4,159,39.75,0
56,1976,1976-09-12,1,26.075,CHI,,DET,W 10-3,1,9,9.00,0,0,0,,0,1,1,100.00,23,0,0,118.7,0,0,23.00,23.00,0,0,,0,0,0,9,331,36.78,1
57,1976,1976-09-19,2,26.082,CHI,@,SFO,W 19-12,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,7,253,36.14,0
58,1976,1976-09-26,3,26.089,CHI,,ATL,L 0-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,5,202,40.40,0
59,1976,1976-10-03,4,26.096,CHI,,WAS,W 33-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,5,190,38.00,0
60,1976,1976-10-10,5,26.103,CHI,@,MIN,L 19-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,7,225,32.14,0
61,1976,1976-10-17,6,26.110,CHI,@,RAM,L 12-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,7,277,39.57,0
62,1976,1976-10-24,7,26.117,CHI,@,DAL,L 21-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,9,372,41.33,0
63,1976,1976-10-31,8,26.124,CHI,,MIN,W 14-13,0,0,,0,0,0,,0,1,1,100.00,25,0,0,118.7,0,0,25.00,25.00,0,0,,0,0,0,8,283,35.38,0
64,1976,1976-11-07,9,26.131,CHI,,OAK,L 27-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,7,229,32.71,0
65,1976,1976-11-14,10,26.138,CHI,,GNB,W 24-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,6,256,42.67,0
66,1976,1976-11-21,11,26.145,CHI,@,DET,L 10-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,8,350,43.75,0
67,1976,1976-11-28,12,26.152,CHI,@,GNB,W 16-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,5,181,36.20,0
68,1976,1976-12-05,13,26.159,CHI,@,SEA,W 34-7,0,0,,0,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,5,219,43.80,0
69,1976,1976-12-12,14,26.166,CHI,,DEN,L 14-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,11,358,32.55,0
70,1977,1977-09-18,1,27.081,CHI,,DET,W 30-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,5,203,40.60,0
71,1977,1977-09-25,2,27.088,CHI,@,STL,L 13-16,0,0,,0,0,0,,0,1,1,100.00,7,0,0,95.8,0,0,7.00,7.00,0,0,,0,0,0,5,234,46.80,0
72,1977,1977-10-02,3,27.095,CHI,,NOR,L 24-42,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,6,210,35.00,0
73,1977,1977-10-10,4,27.103,CHI,,RAM,W 24-23,0,0,,0,0,0,,0,1,1,100.00,12,0,0,116.7,0,0,12.00,12.00,0,0,,0,0,0,5,194,38.80,0
74,1977,1977-10-16,5,27.109,CHI,@,MIN,L 16-22,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,7,240,34.29,0
75,1977,1977-10-23,6,27.116,CHI,,ATL,L 10-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,7,289,41.29,1
76,1977,1977-10-30,7,27.123,CHI,@,GNB,W 26-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,4,148,37.00,0
77,1977,1977-11-06,8,27.130,CHI,@,HOU,L 0-47,0,0,,0,0,0,,0,1,1,100.00,10,0,0,108.3,0,0,10.00,10.00,0,0,,0,0,0,10,431,43.10,0
78,1977,1977-11-13,9,27.137,CHI,,KAN,W 28-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,3,131,43.67,0
79,1977,1977-11-20,10,27.144,CHI,,MIN,W 10-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,4,156,39.00,1
80,1977,1977-11-24,11,27.148,CHI,@,DET,W 31-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,4,206,51.50,0
81,1977,1977-12-04,12,27.158,CHI,@,TAM,W 10-0,0,0,,0,0,0,,0,1,1,100.00,32,0,0,118.7,0,0,32.00,32.00,0,0,,0,0,0,8,330,41.25,0
82,1977,1977-12-11,13,27.165,CHI,,GNB,W 21-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,4,148,37.00,0
83,1977,1977-12-18,14,27.172,CHI,@,NYG,W 12-9,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,8,312,39.00,0
84,1978,1978-09-03,1,28.066,CHI,,STL,W 17-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,8,286,35.75,0
85,1978,1978-09-10,2,28.073,CHI,@,SFO,W 16-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,7,297,42.43,0
86,1978,1978-09-17,3,28.080,CHI,@,DET,W 19-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,7,280,40.00,0
87,1978,1978-09-25,4,28.088,CHI,,MIN,L 20-24,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,3,115,38.33,0
