ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-14,2,22.336,IND,@,MIN,W 18-15,,0,0,,0,0,0,0,,0,0.0%,,4,84,21.00,0,2,30,15.00,0,,0,0,0.0,0,0
2,2008,2008-09-21,3,22.343,IND,,JAX,L 21-23,,0,0,,0,0,0,0,,0,0.0%,,2,49,24.50,0,1,0,0.00,0,,0,0,0.0,0,0
3,2008,2008-10-05,4,22.357,IND,@,HOU,W 31-27,,0,0,,0,0,0,0,,0,0.0%,,5,115,23.00,0,1,6,6.00,0,,0,0,0.0,0,0
4,2008,2008-10-19,6,23.005,SEA,@,TAM,L 10-20,,0,0,,0,0,0,0,,0,0.0%,,1,24,24.00,0,2,36,18.00,0,,0,0,0.0,0,0
5,2008,2008-10-26,7,23.012,SEA,@,SFO,W 34-13,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,4,26,6.50,0,,0,0,0.0,0,0
6,2008,2008-11-02,8,23.019,SEA,,PHI,L 7-26,,0,0,,0,0,0,0,,0,0.0%,,2,51,25.50,0,4,28,7.00,0,,0,0,0.0,0,0
7,2008,2008-11-09,9,23.026,SEA,@,MIA,L 19-21,,0,0,,0,0,0,0,,0,0.0%,,1,32,32.00,0,3,49,16.33,0,,0,0,0.0,0,0
8,2008,2008-11-16,10,23.033,SEA,,ARI,L 20-26,,0,0,,0,0,0,0,,0,0.0%,,1,23,23.00,0,1,20,20.00,0,,0,0,0.0,0,0
9,2008,2008-11-23,11,23.040,SEA,,WAS,L 17-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,1,10,10.00,0,,0,0,0.0,0,0
10,2008,2008-11-27,12,23.044,SEA,@,DAL,L 9-34,,0,0,,0,0,0,0,,0,0.0%,,1,20,20.00,0,2,12,6.00,0,,0,0,0.0,0,0
11,2008,2008-12-07,13,23.054,SEA,,NWE,L 21-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
12,2008,2008-12-14,14,23.061,SEA,@,STL,W 23-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,3,25,8.33,0,,0,0,0.0,0,0
13,2008,2008-12-21,15,23.068,SEA,,NYJ,W 13-3,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,2,21,10.50,0,,0,0,0.0,0,0
14,2008,2008-12-28,16,23.075,SEA,@,ARI,L 21-34,,0,0,,0,0,0,0,,0,0.0%,,1,24,24.00,0,1,0,0.00,0,,0,0,0.0,0,0
15,2009,2009-09-13,1,23.334,SEA,,STL,W 28-0,,3,17,5.67,0,0,0,0,,0,0.0%,,0,0,,0,2,14,7.00,0,,0,0,0.0,0,0
16,2009,2009-09-20,2,23.341,SEA,@,SFO,L 10-23,,5,35,7.00,0,6,6,57,9.50,0,100.0%,9.50,1,17,17.00,0,2,10,5.00,0,,0,0,0.0,0,0
17,2009,2009-09-27,3,23.348,SEA,,CHI,L 19-25,,2,4,2.00,0,0,0,0,,0,0.0%,,3,69,23.00,0,1,6,6.00,0,,0,0,0.0,0,0
18,2009,2009-10-04,4,23.355,SEA,@,IND,L 17-34,,0,0,,0,4,3,8,2.67,0,75.0%,2.00,3,78,26.00,0,0,0,,0,,0,0,0.0,0,1
19,2009,2009-10-11,5,23.362,SEA,,JAX,W 41-0,,6,43,7.17,0,2,0,0,,0,0.0%,0.00,0,0,,0,3,0,0.00,0,,0,0,0.0,0,0
20,2009,2009-10-18,6,24.004,SEA,,ARI,L 3-27,,2,4,2.00,0,1,1,16,16.00,0,100.0%,16.00,1,24,24.00,0,4,28,7.00,0,,0,0,0.0,0,0
21,2009,2009-11-01,7,24.018,SEA,@,DAL,L 17-38,,1,6,6.00,0,2,1,14,14.00,0,50.0%,7.00,0,0,,0,1,1,1.00,0,,0,0,0.0,0,0
22,2009,2009-11-08,8,24.025,SEA,,DET,W 32-20,,1,14,14.00,0,8,5,45,9.00,0,62.5%,5.63,2,62,31.00,0,0,0,,0,,0,0,0.0,0,0
23,2009,2009-11-15,9,24.032,SEA,@,ARI,L 20-31,,17,123,7.24,1,8,5,26,5.20,0,62.5%,3.25,1,19,19.00,0,0,0,,0,,1,6,0.0,0,0
24,2009,2009-11-22,10,24.039,SEA,@,MIN,L 9-35,*,8,9,1.13,1,9,8,80,10.00,0,88.9%,8.89,0,0,,0,0,0,,0,,1,6,0.0,0,0
25,2009,2009-11-29,11,24.046,SEA,@,STL,W 27-17,*,22,130,5.91,2,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,2,12,0.0,0,0
26,2009,2009-12-06,12,24.053,SEA,,SFO,W 20-17,,5,9,1.80,0,3,3,25,8.33,1,100.0%,8.33,0,0,,0,0,0,,0,,1,6,0.0,0,0
27,2009,2009-12-13,13,24.060,SEA,@,HOU,L 7-34,,9,26,2.89,0,4,4,47,11.75,0,100.0%,11.75,3,84,28.00,0,1,5,5.00,0,,0,0,0.0,0,0
28,2009,2009-12-20,14,24.067,SEA,,TAM,L 7-24,,9,55,6.11,0,3,2,14,7.00,0,66.7%,4.67,1,16,16.00,0,0,0,,0,,0,0,0.0,0,0
29,2009,2009-12-27,15,24.074,SEA,@,GNB,L 10-48,,14,70,5.00,0,2,1,4,4.00,0,50.0%,2.00,3,63,21.00,0,1,20,20.00,0,,0,0,0.0,0,0
30,2009,2010-01-03,16,24.081,SEA,,TEN,L 13-17,,10,74,7.40,0,3,2,14,7.00,0,66.7%,4.67,0,0,,0,1,8,8.00,0,,0,0,0.0,0,0
31,2010,2010-09-12,1,24.333,SEA,,SFO,W 31-6,*,7,43,6.14,0,3,3,17,5.67,0,100.0%,5.67,0,0,,0,3,17,5.67,0,,0,0,0.0,1,0
32,2010,2010-09-19,2,24.340,SEA,@,DEN,L 14-31,*,8,44,5.50,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
33,2010,2010-09-26,3,24.347,SEA,,SDG,W 27-20,*,17,63,3.71,0,4,3,31,10.33,0,75.0%,7.75,0,0,,0,0,0,,0,,0,0,0.0,0,0
34,2010,2010-10-03,4,24.354,SEA,@,STL,L 3-20,*,19,65,3.42,0,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
35,2010,2010-10-17,5,25.003,SEA,@,CHI,W 23-20,,10,67,6.70,1,4,1,9,9.00,0,25.0%,2.25,0,0,,0,0,0,,0,,1,6,0.0,0,0
