ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2014,2014-11-02,9,23.223,NYJ,@,KAN,L 10-24,*,0,0,0,,0,0.0%,,0.0,7,0,0,0,0
2,2014,2014-11-09,10,23.230,NYJ,,PIT,W 20-13,*,0,0,0,,0,0.0%,,0.0,4,0,0,0,0
3,2014,2014-11-24,11,23.245,NYJ,@,BUF,L 3-38,*,0,0,0,,0,0.0%,,0.0,2,0,0,0,0
4,2014,2014-12-01,12,23.252,NYJ,,MIA,L 13-16,*,0,0,0,,0,0.0%,,0.0,1,4,0,0,0
5,2014,2014-12-07,13,23.258,NYJ,@,MIN,L 24-30,*,0,0,0,,0,0.0%,,0.0,2,0,0,0,0
6,2014,2014-12-14,14,23.265,NYJ,@,TEN,W 16-11,*,0,0,0,,0,0.0%,,0.0,4,2,0,0,0
7,2014,2014-12-21,15,23.272,NYJ,,NWE,L 16-17,*,0,0,0,,0,0.0%,,0.0,5,2,1,1,0
8,2014,2014-12-28,16,23.279,NYJ,@,MIA,W 37-24,*,0,0,0,,0,0.0%,,0.0,4,0,0,0,0
9,2015,2015-09-13,1,24.173,NYJ,,CLE,W 31-10,,0,0,0,,0,0.0%,,0.0,3,0,1,18,0
10,2015,2015-09-21,2,24.181,NYJ,@,IND,W 20-7,,0,0,0,,0,0.0%,,0.0,0,0,0,0,0
11,2015,2015-09-27,3,24.187,NYJ,,PHI,L 17-24,,0,0,0,,0,0.0%,,0.0,0,0,0,0,0
12,2015,2015-10-04,4,24.194,NYJ,@,MIA,W 27-14,,0,0,0,,0,0.0%,,0.0,0,0,1,0,0
13,2015,2015-10-25,6,24.215,NYJ,@,NWE,L 23-30,,0,0,0,,0,0.0%,,0.0,0,0,0,0,0
14,2015,2015-11-01,7,24.222,NYJ,@,OAK,L 20-34,*,0,0,0,,0,0.0%,,0.0,2,2,0,0,0
