ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,all_td,scoring,def_int,def_int_yds,def_int_td
1,1988,1988-09-04,1,22.166,MIN,@,BUF,L 10-13,,,,,
2,1988,1988-09-11,2,22.173,MIN,,NWE,W 36-6,,,,,
3,1988,1988-09-18,3,22.180,MIN,@,CHI,W 31-7,,,,,
4,1988,1988-09-25,4,22.187,MIN,,PHI,W 23-21,,,,,
5,1988,1988-10-02,5,22.194,MIN,@,MIA,L 7-24,,,,,
6,1988,1988-10-09,6,22.201,MIN,,TAM,W 14-13,0,0,1,10,0
7,1988,1988-10-16,7,22.208,MIN,,GNB,L 14-34,,,,,
8,1988,1988-10-23,8,22.215,MIN,@,TAM,W 49-20,1,6,1,37,1
9,1988,1988-10-30,9,22.222,MIN,@,SFO,L 21-24,,,,,
10,1988,1988-11-06,10,22.229,MIN,,DET,W 44-17,,,,,
11,1988,1988-11-13,11,22.236,MIN,@,DAL,W 43-3,,,,,
12,1988,1988-11-20,12,22.243,MIN,,IND,W 12-3,,,,,
13,1988,1988-11-24,13,22.247,MIN,@,DET,W 23-0,,,,,
14,1988,1988-12-04,14,22.257,MIN,,NOR,W 45-3,,,,,
15,1988,1988-12-11,15,22.264,MIN,@,GNB,L 6-18,,,,,
16,1988,1988-12-19,16,22.272,MIN,,CHI,W 28-27,,,,,
17,1989,1989-09-10,1,23.172,MIN,,HOU,W 38-7,,,,,
18,1989,1989-11-05,9,23.228,MIN,,RAM,W 23-21,,,,,
19,1989,1989-11-12,10,23.235,MIN,@,TAM,W 24-10,,,,,
20,1989,1989-11-19,11,23.242,MIN,@,PHI,L 9-10,,,,,
21,1989,1989-11-26,12,23.249,MIN,@,GNB,L 19-20,,,,,
22,1989,1989-12-03,13,23.256,MIN,,CHI,W 27-16,0,0,1,18,0
23,1989,1989-12-10,14,23.263,MIN,,ATL,W 43-17,,,,,
24,1989,1989-12-17,15,23.270,MIN,@,CLE,L 17-23,,,,,
25,1989,1989-12-25,16,23.278,MIN,,CIN,W 29-21,,,,,
26,1990,1990-09-09,1,24.171,WAS,,PHO,W 31-0,,,,,
27,1990,1990-09-16,2,24.178,WAS,@,SFO,L 13-26,,,,,
28,1990,1990-09-23,3,24.185,WAS,,DAL,W 19-15,,,,,
29,1990,1990-09-30,4,24.192,WAS,@,PHO,W 38-10,,,,,
30,1990,1990-10-14,5,24.206,WAS,,NYG,L 20-24,,,,,
31,1990,1990-10-21,6,24.213,WAS,,PHI,W 13-7,,,,,
32,1990,1990-10-28,7,24.220,WAS,@,NYG,L 10-21,,,,,
33,1990,1990-11-04,8,24.227,WAS,@,DET,W 41-38,,,,,
34,1990,1990-11-12,9,24.235,WAS,@,PHI,L 14-28,,,,,
35,1990,1990-11-18,10,24.241,WAS,,NOR,W 31-17,,,,,
36,1990,1990-11-22,11,24.245,WAS,@,DAL,L 17-27,,,,,
37,1990,1990-12-02,12,24.255,WAS,,MIA,W 42-20,0,0,1,0,0
38,1990,1990-12-09,13,24.262,WAS,,CHI,W 10-9,0,0,1,33,0
39,1990,1990-12-15,14,24.268,WAS,@,NWE,W 25-10,,,,,
40,1990,1990-12-22,15,24.275,WAS,@,IND,L 28-35,,,,,
41,1990,1990-12-30,16,24.283,WAS,,BUF,W 29-14,,,,,
42,1991,1991-09-01,1,25.163,WAS,,DET,W 45-0,,,,,
43,1991,1991-09-09,2,25.171,WAS,@,DAL,W 33-31,,,,,
44,1991,1991-09-15,3,25.177,WAS,,PHO,W 34-0,0,0,1,0,0
45,1991,1991-09-22,4,25.184,WAS,@,CIN,W 34-27,0,0,1,0,0
46,1991,1991-09-30,5,25.192,WAS,,PHI,W 23-0,,,,,
47,1991,1991-10-06,6,25.198,WAS,@,CHI,W 20-7,,,,,
48,1991,1991-10-13,7,25.205,WAS,,CLE,W 42-17,,,,,
49,1991,1991-10-27,8,25.219,WAS,@,NYG,W 17-13,,,,,
50,1991,1991-11-03,9,25.226,WAS,,HOU,W 16-13,0,0,1,27,0
51,1991,1991-11-10,10,25.233,WAS,,ATL,W 56-17,,,,,
52,1991,1991-11-17,11,25.240,WAS,@,PIT,W 41-14,,,,,
53,1991,1991-11-24,12,25.247,WAS,,DAL,L 21-24,,,,,
54,1991,1991-12-01,13,25.254,WAS,@,RAM,W 27-6,,,,,
55,1991,1991-12-08,14,25.261,WAS,@,PHO,W 20-14,0,0,1,25,0
56,1991,1991-12-15,15,25.268,WAS,,NYG,W 34-17,,,,,
57,1991,1991-12-22,16,25.275,WAS,@,PHI,L 22-24,,,,,
58,1992,1992-09-07,1,26.169,WAS,@,DAL,L 10-23,0,0,1,28,0
59,1992,1992-09-13,2,26.175,WAS,,ATL,W 24-17,,,,,
60,1992,1992-09-20,3,26.182,WAS,,DET,W 13-10,,,,,
61,1992,1992-10-04,4,26.196,WAS,@,PHO,L 24-27,0,0,1,9,0
62,1992,1992-10-12,5,26.204,WAS,,DEN,W 34-3,,,,,
63,1992,1992-10-18,6,26.210,WAS,,PHI,W 16-12,,,,,
64,1992,1992-10-25,7,26.217,WAS,@,MIN,W 15-13,,,,,
65,1992,1992-11-01,8,26.224,WAS,,NYG,L 7-24,,,,,
66,1992,1992-11-08,9,26.231,WAS,@,SEA,W 16-3,,,,,
67,1992,1992-11-15,10,26.238,WAS,@,KAN,L 16-35,0,0,1,17,0
68,1992,1992-11-23,11,26.246,WAS,@,NOR,L 3-20,,,,,
