ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td
1,2001,2001-10-28,7,29.088,MIN,@,TAM,L 14-41,,1,2,50.00,4,0,0,56.2,2,18,2.00,2.00,1,-1,-1.00,0
2,2001,2001-12-02,11,29.123,MIN,@,PIT,L 16-21,,11,15,73.33,200,2,1,127.1,0,0,13.33,13.00,1,4,4.00,0
3,2001,2001-12-09,12,29.130,MIN,,TEN,W 42-24,*,21,31,67.74,348,4,1,131.5,0,0,11.23,12.35,4,27,6.75,0
4,2001,2001-12-16,13,29.137,MIN,@,DET,L 24-27,*,18,38,47.37,243,2,2,63.8,2,9,6.39,5.08,3,31,10.33,0
5,2001,2001-12-23,14,29.144,MIN,,JAX,L 3-33,*,0,3,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0
6,2002,2002-11-10,9,30.101,MIN,,NYG,L 20-27,,3,6,50.00,85,0,0,95.8,2,22,14.17,14.17,1,9,9.00,0
7,2003,2003-09-28,4,31.058,NOR,,IND,L 21-55,,5,8,62.50,62,1,0,126.0,0,0,7.75,10.25,0,0,,0
8,2003,2003-10-19,7,31.079,NOR,@,ATL,W 45-17,,0,1,0.00,0,0,0,39.6,1,1,0.00,0.00,0,0,,0
9,2003,2003-10-26,8,31.086,NOR,,CAR,L 20-23,,,,,,,,,0,,,,,,,
10,2003,2003-12-14,14,31.135,NOR,,NYG,W 45-7,,2,4,50.00,19,0,0,63.5,1,7,4.75,4.75,3,1,0.33,0
11,2004,2004-09-12,1,32.042,NOR,,SEA,L 7-21,,,,,,,,,,,,,,,,
12,2004,2004-09-19,2,32.049,NOR,,SFO,W 30-27,,,,,,,,,,,,,,,,
13,2004,2004-09-26,3,32.056,NOR,@,STL,W 28-25,,,,,,,,,,,,,,,,
14,2004,2004-10-03,4,32.063,NOR,@,ARI,L 10-34,,,,,,,,,,,,,,,,
15,2004,2004-10-10,5,32.070,NOR,,TAM,L 17-20,,,,,,,,,,,,,,,,
16,2004,2004-10-17,6,32.077,NOR,,MIN,L 31-38,,,,,,,,,,,,,,,,
17,2004,2004-10-24,7,32.084,NOR,@,OAK,W 31-26,,,,,,,,,,,,,,,,
18,2004,2004-11-07,8,32.098,NOR,@,SDG,L 17-43,,,,,,,,,,,,,,,,
19,2004,2004-11-14,9,32.105,NOR,,KAN,W 27-20,,,,,,,,,,,,,,,,
20,2004,2004-11-21,10,32.112,NOR,,DEN,L 13-34,,,,,,,,,,,,,,,,
21,2004,2004-11-28,11,32.119,NOR,@,ATL,L 21-24,,,,,,,,,,,,,,,,
22,2004,2004-12-05,12,32.126,NOR,,CAR,L 21-32,,,,,,,,,,,,,,,,
23,2004,2004-12-12,13,32.133,NOR,@,DAL,W 27-13,,,,,,,,,,,,,,,,
24,2004,2004-12-19,14,32.140,NOR,@,TAM,W 21-17,,,,,,,,,,,,,,,,
25,2004,2004-12-26,15,32.147,NOR,,ATL,W 26-13,,,,,,,,,,,,,,,,
26,2004,2005-01-02,16,32.154,NOR,@,CAR,W 21-18,,,,,,,,,,,,,,,,
27,2005,2005-09-11,1,33.041,NOR,@,CAR,W 23-20,,0,0,,0,0,0,,0,,,,0,0,,0
28,2005,2005-09-19,2,33.049,NOR,,NYG,L 10-27,,0,0,,0,0,0,,0,,,,0,0,,0
29,2005,2005-09-25,3,33.055,NOR,@,MIN,L 16-33,,0,0,,0,0,0,,0,,,,0,0,,0
30,2005,2005-10-02,4,33.062,NOR,,BUF,W 19-7,,0,0,,0,0,0,,0,,,,0,0,,0
31,2005,2005-10-09,5,33.069,NOR,@,GNB,L 3-52,,5,13,38.46,31,0,1,14.6,2,12,2.38,-1.08,0,0,,0
32,2005,2005-10-16,6,33.076,NOR,,ATL,L 31-34,,0,0,,0,0,0,,0,,,,0,0,,0
33,2005,2005-10-23,7,33.083,NOR,@,STL,L 17-28,,0,0,,0,0,0,,0,,,,1,0,0.00,0
34,2005,2005-10-30,8,33.090,NOR,,MIA,L 6-21,,0,0,,0,0,0,,0,,,,0,0,,0
35,2005,2005-11-06,9,33.097,NOR,,CHI,L 17-20,,0,0,,0,0,0,,0,,,,0,0,,0
36,2005,2005-11-20,10,33.111,NOR,@,NWE,L 17-24,,0,0,,0,0,0,,0,,,,0,0,,0
37,2005,2005-11-27,11,33.118,NOR,@,NYJ,W 21-19,,0,0,,0,0,0,,0,,,,0,0,,0
38,2005,2005-12-04,12,33.125,NOR,,TAM,L 3-10,,0,0,,0,0,0,,0,,,,0,0,,0
39,2005,2005-12-12,13,33.133,NOR,@,ATL,L 17-36,,0,0,,0,0,0,,0,,,,0,0,,0
40,2005,2005-12-18,14,33.139,NOR,,CAR,L 10-27,*,17,34,50.00,193,1,4,37.6,1,10,5.68,0.97,3,10,3.33,0
41,2005,2005-12-24,15,33.145,NOR,,DET,L 12-13,*,21,38,55.26,233,0,0,73.7,1,7,6.13,6.13,3,6,2.00,0
42,2005,2006-01-01,16,33.153,NOR,@,TAM,L 13-27,*,25,37,67.57,265,1,2,74.7,4,30,7.16,5.27,1,-1,-1.00,0
43,2007,2007-12-09,13,35.130,STL,@,CIN,L 10-19,,0,0,,0,0,0,,0,0,,,0,0,,0
44,2010,2010-10-24,7,38.084,JAX,@,KAN,L 20-42,*,18,34,52.94,222,2,2,68.5,1,6,6.53,5.06,2,8,4.00,0
